"gene_id" "number_uORF"
"588" "ENSG00000102572" 2
"589" "ENSG00000102683" 1
"590" "ENSG00000102710" 1
"591" "ENSG00000102781" 2
"592" "ENSG00000102804" 3
"593" "ENSG00000102854" 1
"594" "ENSG00000102858" 1
"595" "ENSG00000102871" 1
"596" "ENSG00000102898" 1
"597" "ENSG00000102901" 2
"598" "ENSG00000102996" 1
"599" "ENSG00000103018" 1
"600" "ENSG00000103042" 1
"601" "ENSG00000103043" 2
"602" "ENSG00000103064" 1
"603" "ENSG00000103111" 2
"604" "ENSG00000103168" 1
"605" "ENSG00000103194" 2
"606" "ENSG00000103266" 1
"607" "ENSG00000103275" 1
"608" "ENSG00000103335" 1
"609" "ENSG00000103343" 2
"610" "ENSG00000103429" 1
"611" "ENSG00000103502" 1
"612" "ENSG00000103549" 1
"613" "ENSG00000103550" 1
"614" "ENSG00000103569" 1
"615" "ENSG00000103591" 1
"616" "ENSG00000103653" 1
"617" "ENSG00000103852" 2
"618" "ENSG00000103876" 1
"619" "ENSG00000103932" 1
"620" "ENSG00000103994" 2
"621" "ENSG00000104047" 1
"622" "ENSG00000104064" 1
"623" "ENSG00000104093" 1
"624" "ENSG00000104131" 1
"625" "ENSG00000104142" 1
"626" "ENSG00000104154" 1
"627" "ENSG00000104205" 1
"628" "ENSG00000104219" 1
"629" "ENSG00000104290" 2
"630" "ENSG00000104299" 1
"631" "ENSG00000104312" 1
"632" "ENSG00000104320" 1
"633" "ENSG00000104331" 1
"634" "ENSG00000104419" 1
"635" "ENSG00000104490" 1
"636" "ENSG00000104497" 1
"637" "ENSG00000104517" 1
"638" "ENSG00000104549" 1
"639" "ENSG00000104626" 1
"640" "ENSG00000104738" 1
"641" "ENSG00000104763" 2
"642" "ENSG00000104866" 2
"643" "ENSG00000104872" 1
"644" "ENSG00000104884" 1
"645" "ENSG00000104885" 1
"646" "ENSG00000104915" 1
"647" "ENSG00000104936" 1
"648" "ENSG00000104946" 2
"649" "ENSG00000104951" 1
"650" "ENSG00000104972" 1
"651" "ENSG00000104976" 1
"652" "ENSG00000105053" 1
"653" "ENSG00000105127" 1
"654" "ENSG00000105136" 2
"655" "ENSG00000105176" 1
"656" "ENSG00000105186" 1
"657" "ENSG00000105221" 2
"658" "ENSG00000105223" 1
"659" "ENSG00000105254" 3
"660" "ENSG00000105258" 1
"661" "ENSG00000105281" 1
"662" "ENSG00000105323" 1
"663" "ENSG00000105393" 1
"664" "ENSG00000105429" 3
"665" "ENSG00000105438" 1
"666" "ENSG00000105483" 2
"667" "ENSG00000105486" 1
"668" "ENSG00000105497" 2
"669" "ENSG00000105499" 1
"670" "ENSG00000105514" 1
"671" "ENSG00000105516" 1
"672" "ENSG00000105520" 1
"673" "ENSG00000105552" 1
"674" "ENSG00000105559" 2
"675" "ENSG00000105568" 1
"676" "ENSG00000105576" 1
"677" "ENSG00000105640" 1
"678" "ENSG00000105643" 1
"679" "ENSG00000105647" 1
"680" "ENSG00000105699" 1
"681" "ENSG00000105701" 1
"682" "ENSG00000105707" 1
"683" "ENSG00000105738" 1
"684" "ENSG00000105792" 1
"685" "ENSG00000105810" 2
"686" "ENSG00000105821" 1
"687" "ENSG00000105829" 1
"688" "ENSG00000105854" 1
"689" "ENSG00000105855" 1
"690" "ENSG00000105879" 1
"691" "ENSG00000105889" 2
"692" "ENSG00000105926" 1
"693" "ENSG00000105963" 1
"694" "ENSG00000105976" 1
"695" "ENSG00000106012" 1
"696" "ENSG00000106025" 1
"697" "ENSG00000106028" 1
"698" "ENSG00000106034" 2
"699" "ENSG00000106052" 1
"700" "ENSG00000106070" 1
"701" "ENSG00000106078" 1
"702" "ENSG00000106080" 1
"703" "ENSG00000106100" 2
"704" "ENSG00000106245" 2
"705" "ENSG00000106290" 2
"706" "ENSG00000106299" 1
"707" "ENSG00000106330" 1
"708" "ENSG00000106397" 1
"709" "ENSG00000106484" 1
"710" "ENSG00000106511" 1
"711" "ENSG00000106538" 1
"712" "ENSG00000106603" 3
"713" "ENSG00000106609" 1
"714" "ENSG00000106665" 1
"715" "ENSG00000106723" 2
"716" "ENSG00000106733" 1
"717" "ENSG00000106819" 1
"718" "ENSG00000106948" 1
"719" "ENSG00000106991" 2
"720" "ENSG00000107020" 2
"721" "ENSG00000107077" 1
"722" "ENSG00000107104" 3
"723" "ENSG00000107185" 1
"724" "ENSG00000107242" 1
"725" "ENSG00000107249" 2
"726" "ENSG00000107263" 2
"727" "ENSG00000107282" 1
"728" "ENSG00000107290" 1
"729" "ENSG00000107443" 2
"730" "ENSG00000107485" 1
"731" "ENSG00000107551" 1
"732" "ENSG00000107560" 1
"733" "ENSG00000107566" 2
"734" "ENSG00000107643" 2
"735" "ENSG00000107745" 1
"736" "ENSG00000107758" 1
"737" "ENSG00000107779" 2
"738" "ENSG00000107798" 3
"739" "ENSG00000107815" 3
"740" "ENSG00000107816" 1
"741" "ENSG00000107821" 1
"742" "ENSG00000107862" 2
"743" "ENSG00000107863" 1
"744" "ENSG00000107872" 2
"745" "ENSG00000107874" 2
"746" "ENSG00000107960" 1
"747" "ENSG00000108001" 1
"748" "ENSG00000108018" 1
"749" "ENSG00000108021" 2
"750" "ENSG00000108091" 1
"751" "ENSG00000108094" 3
"752" "ENSG00000108175" 4
"753" "ENSG00000108176" 1
"754" "ENSG00000108219" 1
"755" "ENSG00000108349" 1
"756" "ENSG00000108370" 1
"757" "ENSG00000108375" 3
"758" "ENSG00000108389" 1
"759" "ENSG00000108395" 1
"760" "ENSG00000108424" 1
"761" "ENSG00000108448" 1
"762" "ENSG00000108468" 2
"763" "ENSG00000108469" 1
"764" "ENSG00000108510" 1
"765" "ENSG00000108518" 1
"766" "ENSG00000108523" 3
"767" "ENSG00000108557" 1
"768" "ENSG00000108599" 1
"769" "ENSG00000108622" 1
"770" "ENSG00000108651" 1
"771" "ENSG00000108799" 1
"772" "ENSG00000108819" 1
"773" "ENSG00000108821" 1
"774" "ENSG00000108828" 1
"775" "ENSG00000108829" 1
"776" "ENSG00000108840" 3
"777" "ENSG00000108946" 1
"778" "ENSG00000108984" 1
"779" "ENSG00000109089" 1
"780" "ENSG00000109171" 2
"781" "ENSG00000109265" 1
"782" "ENSG00000109332" 2
"783" "ENSG00000109339" 3
"784" "ENSG00000109381" 1
"785" "ENSG00000109390" 4
"786" "ENSG00000109452" 1
"787" "ENSG00000109458" 1
"788" "ENSG00000109466" 1
"789" "ENSG00000109475" 1
"790" "ENSG00000109519" 1
"791" "ENSG00000109534" 2
"792" "ENSG00000109572" 4
"793" "ENSG00000109654" 4
"794" "ENSG00000109667" 1
"795" "ENSG00000109670" 1
"796" "ENSG00000109685" 1
"797" "ENSG00000109686" 1
"798" "ENSG00000109771" 2
"799" "ENSG00000109846" 2
"800" "ENSG00000109906" 2
"801" "ENSG00000110031" 1
"802" "ENSG00000110075" 3
"803" "ENSG00000110077" 2
"804" "ENSG00000110079" 1
"805" "ENSG00000110080" 1
"806" "ENSG00000110108" 2
"807" "ENSG00000110200" 1
"808" "ENSG00000110218" 1
"809" "ENSG00000110274" 1
"810" "ENSG00000110328" 1
"811" "ENSG00000110330" 1
"812" "ENSG00000110344" 1
"813" "ENSG00000110400" 1
"814" "ENSG00000110422" 3
"815" "ENSG00000110435" 1
"816" "ENSG00000110436" 1
"817" "ENSG00000110446" 1
"818" "ENSG00000110665" 1
"819" "ENSG00000110697" 1
"820" "ENSG00000110711" 1
"821" "ENSG00000110713" 1
"822" "ENSG00000110768" 1
"823" "ENSG00000110799" 1
"824" "ENSG00000110851" 1
"825" "ENSG00000110852" 1
"826" "ENSG00000110931" 1
"827" "ENSG00000110958" 1
"828" "ENSG00000111145" 1
"829" "ENSG00000111186" 1
"830" "ENSG00000111196" 1
"831" "ENSG00000111215" 1
"832" "ENSG00000111224" 1
"833" "ENSG00000111252" 1
"834" "ENSG00000111261" 1
"835" "ENSG00000111266" 1
"836" "ENSG00000111269" 1
"837" "ENSG00000111276" 1
"838" "ENSG00000111305" 1
"839" "ENSG00000111325" 1
"840" "ENSG00000111339" 1
"841" "ENSG00000111371" 3
"842" "ENSG00000111412" 1
"843" "ENSG00000111424" 1
"844" "ENSG00000111639" 1
"845" "ENSG00000111640" 1
"846" "ENSG00000111652" 1
"847" "ENSG00000111670" 1
"848" "ENSG00000111678" 1
"849" "ENSG00000111716" 1
"850" "ENSG00000111728" 1
"851" "ENSG00000111729" 1
"852" "ENSG00000111790" 1
"853" "ENSG00000111799" 1
"854" "ENSG00000111801" 2
"855" "ENSG00000111816" 1
"856" "ENSG00000111817" 1
"857" "ENSG00000111845" 1
"858" "ENSG00000111846" 6
"859" "ENSG00000111859" 1
"860" "ENSG00000111880" 1
"861" "ENSG00000111885" 1
"862" "ENSG00000111911" 1
"863" "ENSG00000111912" 3
"864" "ENSG00000111961" 1
"865" "ENSG00000111962" 1
"866" "ENSG00000112029" 1
"867" "ENSG00000112033" 1
"868" "ENSG00000112081" 1
"869" "ENSG00000112110" 1
"870" "ENSG00000112137" 1
"871" "ENSG00000112144" 1
"872" "ENSG00000112146" 1
"873" "ENSG00000112159" 1
