"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_start" "aug_end" "cadd_start"
"119" "ENST00000186436.10" "2" 97995902 97995922 "-" 119 "uORF" 97995920 97995922 2.22900933333333
"120" "ENST00000186436.10" "2" 97995847 97995867 "-" 120 "uORF" 97995865 97995867 2.12210855555555
"127" "ENST00000193391.8" "3" 101320455 101320517 "-" 127 "uORF" 101320515 101320517 1.42933522222222
"128" "ENST00000193391.8" "3" 101320412 101320474 "-" 128 "uORF" 101320472 101320474 0.709135777777778
"130" "ENST00000196489.4" "19" 57578841 57578888 "-" 130 "uORF" 57578886 57578888 0.310765888888889
"142" "ENST00000202677.12" "20" 20712539 20712547 "-" 142 "uORF" 20712545 20712547 1.27394466666666
"144" "ENST00000203630.10" "12" 6752956 6752967 "-" 144 "uORF" 6752965 6752967 2.54766966666667
"149" "ENST00000205214.11" "4" 56387431 56387487 "-" 149 "uORF" 56387485 56387487 0.344895222222222
"150" "ENST00000205214.11" "4" 56387362 56387394 "-" 150 "uORF" 56387392 56387394 0.465753555555556
"151" "ENST00000205214.11" "4" 56384311 56384322 "-" 151 "uORF" 56384320 56384322 0.672719333333333
"153" "ENST00000206262.2" "6" 153131192 153131215 "-" 153 "uORF" 153131213 153131215 2.40778333333333
"154" "ENST00000206423.8" "3" 112641060 112641101 "-" 154 "uORF" 112641099 112641101 1.95666233333334
"155" "ENST00000206423.8" "3" 112640738 112640776 "-" 155 "uORF" 112640774 112640776 1.90829355555556
"156" "ENST00000206423.8" "3" 112640560 112640622 "-" 156 "uORF" 112640620 112640622 2.26125511111111
"158" "ENST00000209718.8" "17" 40937409 40937579 "-" 158 "uORF" 40937577 40937579 -0.153081888888889
"159" "ENST00000209718.8" "17" 40937450 40937542 "-" 159 "uORF" 40937540 40937542 0.728244333333334
"160" "ENST00000209718.8" "17" 40936946 40937370 "-" 160 "uORF" 40937368 40937370 2.10278177777778
"161" "ENST00000209718.8" "17" 40936917 40936949 "-" 161 "uORF" 40936947 40936949 0.418846666666667
"162" "ENST00000209718.8" "17" 40936829 40936942 "-" 162 "uORF" 40936940 40936942 0.714128777777778
"163" "ENST00000209718.8" "17" 40936829 40936888 "-" 163 "uORF" 40936886 40936888 0.338609777777778
"164" "ENST00000209718.8" "17" 40936818 40936829 "-" 164 "uORF" 40936827 40936829 0.691702888888889
"165" "ENST00000209718.8" "17" 40936692 40936751 "-" 165 "uORF" 40936749 40936751 1.84892733333333
"177" "ENST00000212355.9" "1" 91885998 91886006 "-" 177 "uORF" 91886004 91886006 2.54957411111111
"178" "ENST00000215057.7" "19" 58573195 58573296 "-" 178 "uORF" 58573294 58573296 0.559093555555556
"179" "ENST00000215057.7" "19" 58573195 58573266 "-" 179 "uORF" 58573264 58573266 0.843653666666667
"180" "ENST00000215057.7" "19" 58573236 58573244 "-" 180 "uORF" 58573242 58573244 0.786306888888889
"182" "ENST00000215742.9" "22" 21002082 21002096 "-" 182 "uORF" 21002094 21002096 2.255653
"183" "ENST00000215742.9" "22" 21001930 21001956 "-" 183 "uORF" 21001954 21001956 0.789626555555556
"186" "ENST00000215886.6" "22" 37579954 37580064 "-" 186 "uORF" 37580062 37580064 0.501580666666667
"187" "ENST00000215886.6" "22" 37579954 37580001 "-" 187 "uORF" 37579999 37580001 1.86033944444444
"190" "ENST00000216085.12" "22" 29267809 29267898 "-" 190 "uORF" 29267896 29267898 0.837893888888889
"191" "ENST00000216085.12" "22" 29267801 29267845 "-" 191 "uORF" 29267843 29267845 0.974136555555557
"195" "ENST00000216133.10" "22" 39152545 39152622 "-" 195 "uORF" 39152620 39152622 2.29209888888889
"212" "ENST00000216445.8" "14" 57493837 57493845 "-" 212 "uORF" 57493843 57493845 0.283289777777778
"213" "ENST00000216445.8" "14" 57493817 57493840 "-" 213 "uORF" 57493838 57493840 0.290087555555556
"214" "ENST00000216445.8" "14" 57493817 57493831 "-" 214 "uORF" 57493829 57493831 0.203482
"215" "ENST00000216445.8" "14" 57493788 57493796 "-" 215 "uORF" 57493794 57493796 0.275020222222222
"216" "ENST00000216445.8" "14" 57493717 57493731 "-" 216 "uORF" 57493729 57493731 0.723246555555556
"218" "ENST00000216513.5" "14" 60724270 60724341 "-" 218 "uORF" 60724339 60724341 2.11005766666666
"219" "ENST00000216513.5" "14" 60724142 60724258 "-" 219 "uORF" 60724256 60724258 2.30187877777778
"221" "ENST00000216733.8" "14" 23365078 23365101 "-" 221 "uORF" 23365099 23365101 1.92870777777778
"222" "ENST00000216840.11" "14" 24271551 24271577 "-" 222 "uORF" 24271575 24271577 0.863339888888888
"223" "ENST00000216862.8" "20" 54173783 54173986 "-" 223 "uORF" 54173984 54173986 0.386045888888889
"224" "ENST00000216862.8" "20" 54173783 54173791 "-" 224 "uORF" 54173789 54173791 0.458403888888889
"225" "ENST00000217086.9" "20" 51802483 51802509 "-" 225 "uORF" 51802507 51802509 2.32815577777778
"228" "ENST00000217244.9" "20" 527952 528014 "-" 228 "uORF" 528012 528014 0.412875666666667
"229" "ENST00000217244.9" "20" 527984 528004 "-" 229 "uORF" 528002 528004 0.282994666666667
"231" "ENST00000217455.9" "20" 45857316 45857369 "-" 231 "uORF" 45857367 45857369 0.335295222222222
"232" "ENST00000217893.10" "5" 69365750 69369490 "-" 232 "uORF" 69369488 69369490 3.33596577777778
"233" "ENST00000217893.10" "5" 69366512 69366526 "-" 233 "uORF" 69366524 69366526 3.22463833333334
"234" "ENST00000217939.7" "X" 3346584 3346610 "-" 234 "uORF" 3346608 3346610 1.34802911111111
"235" "ENST00000218006.3" "X" 109482033 109482065 "-" 235 "uORF" 109482063 109482065 1.00464555555556
"236" "ENST00000218006.3" "X" 109481967 109482008 "-" 236 "uORF" 109482006 109482008 1.04384933333334
"237" "ENST00000218006.3" "X" 109481928 109481966 "-" 237 "uORF" 109481964 109481966 -0.0653555555555554
"238" "ENST00000218006.3" "X" 109481896 109481955 "-" 238 "uORF" 109481953 109481955 0.343020777777778
"239" "ENST00000218006.3" "X" 109481928 109481945 "-" 239 "uORF" 109481943 109481945 1.03538388888889
"240" "ENST00000218006.3" "X" 109481896 109481925 "-" 240 "uORF" 109481923 109481925 0.480730555555556
"241" "ENST00000218006.3" "X" 109481896 109481910 "-" 241 "uORF" 109481908 109481910 0.00906
"249" "ENST00000218176.4" "X" 48971088 48971570 "-" 249 "uORF" 48971568 48971570 0.754375333333333
"250" "ENST00000218176.4" "X" 48971332 48971553 "-" 250 "uORF" 48971551 48971553 0.858815555555556
"251" "ENST00000218176.4" "X" 48970858 48970917 "-" 251 "uORF" 48970915 48970917 0.354023
"252" "ENST00000218176.4" "X" 48970878 48970892 "-" 252 "uORF" 48970890 48970892 -0.207928777777778
"253" "ENST00000218176.4" "X" 48970685 48970870 "-" 253 "uORF" 48970868 48970870 0.0396298888888887
"254" "ENST00000218176.4" "X" 48970636 48970743 "-" 254 "uORF" 48970741 48970743 0.503952444444444
"255" "ENST00000218176.4" "X" 48970426 48970518 "-" 255 "uORF" 48970516 48970518 0.162524333333333
"256" "ENST00000218176.4" "X" 48970394 48970456 "-" 256 "uORF" 48970454 48970456 0.385922777777778
"260" "ENST00000219197.11" "16" 49281683 49281721 "-" 260 "uORF" 49281719 49281721 2.29773477777778
"262" "ENST00000219320.9" "16" 58684162 58684765 "-" 262 "uORF" 58684763 58684765 0.867015
"263" "ENST00000219320.9" "16" 58684074 58684761 "-" 263 "uORF" 58684759 58684761 0.488768777777778
"264" "ENST00000219320.9" "16" 58684074 58684169 "-" 264 "uORF" 58684167 58684169 0.52189311111111
"265" "ENST00000219320.9" "16" 58680169 58680180 "-" 265 "uORF" 58680178 58680180 1.21581455555556
"266" "ENST00000219334.10" "16" 68372344 68372367 "-" 266 "uORF" 68372365 68372367 1.01849966666667
"267" "ENST00000219334.10" "16" 68372288 68372347 "-" 267 "uORF" 68372345 68372347 1.64085111111111
"273" "ENST00000219689.12" "16" 23149292 23149342 "-" 273 "uORF" 23149340 23149342 1.453655
"274" "ENST00000219789.11" "16" 29862929 29863027 "-" 274 "uORF" 29863025 29863027 0.578224222222221
"275" "ENST00000219789.11" "16" 29862929 29862949 "-" 275 "uORF" 29862947 29862949 0.945979111111111
"291" "ENST00000220597.4" "8" 81111742 81111765 "-" 291 "uORF" 81111763 81111765 1.02805366666667
"292" "ENST00000220597.4" "8" 80993265 80993288 "-" 292 "uORF" 80993286 80993288 1.83432355555556
"295" "ENST00000220931.11" "8" 101790863 101790946 "-" 295 "uORF" 101790944 101790946 1.92261233333333
"296" "ENST00000220931.11" "8" 101790885 101790896 "-" 296 "uORF" 101790894 101790896 1.64629455555556
"298" "ENST00000221315.10" "19" 52047017 52048824 "-" 298 "uORF" 52048822 52048824 0.779534666666666
"299" "ENST00000221315.10" "19" 52046991 52047020 "-" 299 "uORF" 52047018 52047020 0.428840111111111
"300" "ENST00000221315.10" "19" 52046959 52046988 "-" 300 "uORF" 52046986 52046988 0.0790213333333332
"305" "ENST00000221665.5" "19" 55597900 55599495 "-" 305 "uORF" 55599493 55599495 2.26552277777778
"306" "ENST00000221730.8" "19" 15232286 15232297 "-" 306 "uORF" 15232295 15232297 0.702573333333333
"310" "ENST00000222122.10" "19" 48637147 48637215 "-" 310 "uORF" 48637213 48637215 1.60829544444444
"311" "ENST00000222122.10" "19" 48637017 48637028 "-" 311 "uORF" 48637026 48637028 2.20652955555556
"328" "ENST00000222547.8" "7" 94004298 94004351 "-" 328 "uORF" 94004349 94004351 1.74015466666667
"337" "ENST00000222718.7" "7" 27102522 27102608 "-" 337 "uORF" 27102606 27102608 2.01255722222222
"338" "ENST00000222747.8" "7" 120857883 120857927 "-" 338 "uORF" 120857925 120857927 1.28022522222222
"339" "ENST00000222747.8" "7" 120856796 120857886 "-" 339 "uORF" 120857884 120857886 1.78859644444444
"340" "ENST00000222747.8" "7" 120856796 120856804 "-" 340 "uORF" 120856802 120856804 2.26714933333333
"342" "ENST00000222803.10" "7" 30026632 30026649 "-" 342 "uORF" 30026647 30026649 1.36772511111111
"343" "ENST00000222803.10" "7" 30026534 30026566 "-" 343 "uORF" 30026564 30026566 1.07216411111111
"344" "ENST00000222823.9" "7" 30478619 30478669 "-" 344 "uORF" 30478667 30478669 0.535798555555556
"345" "ENST00000222823.9" "7" 30459208 30459999 "-" 345 "uORF" 30459997 30459999 0.354517111111111
"346" "ENST00000222823.9" "7" 30459208 30459933 "-" 346 "uORF" 30459931 30459933 0.856444555555555
"347" "ENST00000222823.9" "7" 30459193 30459204 "-" 347 "uORF" 30459202 30459204 0.771285666666667
"348" "ENST00000222823.9" "7" 30459156 30459173 "-" 348 "uORF" 30459171 30459173 0.368335888888889
"349" "ENST00000222823.9" "7" 30459156 30459170 "-" 349 "uORF" 30459168 30459170 0.313905777777778
"353" "ENST00000223023.5" "7" 123748833 123748847 "-" 353 "uORF" 123748845 123748847 2.11072677777778
"363" "ENST00000223127.8" "7" 101217412 101217579 "-" 363 "uORF" 101217577 101217579 0.692389555555557
"364" "ENST00000223129.8" "7" 7715206 7718556 "-" 364 "uORF" 7718554 7718556 0.245942333333334
"365" "ENST00000223129.8" "7" 7687238 7715200 "-" 365 "uORF" 7715198 7715200 0.678302111111111
"366" "ENST00000223129.8" "7" 7687270 7687284 "-" 366 "uORF" 7687282 7687284 0.559736666666667
"367" "ENST00000223129.8" "7" 7687238 7687273 "-" 367 "uORF" 7687271 7687273 0.088227333333333
"368" "ENST00000223129.8" "7" 7685938 7687241 "-" 368 "uORF" 7687239 7687241 0.668690555555555
"369" "ENST00000223129.8" "7" 7685963 7687230 "-" 369 "uORF" 7687228 7687230 1.13949955555556
"370" "ENST00000223129.8" "7" 7685908 7685922 "-" 370 "uORF" 7685920 7685922 0.0284
"371" "ENST00000223129.8" "7" 7641149 7685850 "-" 371 "uORF" 7685848 7685850 0.225264333333334
"372" "ENST00000223129.8" "7" 7640852 7641076 "-" 372 "uORF" 7641074 7641076 0.437925777777778
"373" "ENST00000223129.8" "7" 7640852 7640866 "-" 373 "uORF" 7640864 7640866 0.746984888888889
"374" "ENST00000223136.5" "7" 101245037 101245057 "-" 374 "uORF" 101245055 101245057 2.06814822222222
"376" "ENST00000223167.5" "7" 101629257 101629277 "-" 376 "uORF" 101629275 101629277 0.340672333333333
"377" "ENST00000223167.5" "7" 101629163 101629246 "-" 377 "uORF" 101629244 101629246 0.212137111111111
"378" "ENST00000223167.5" "7" 101629167 101629217 "-" 378 "uORF" 101629215 101629217 0.291997888888889
"379" "ENST00000223167.5" "7" 101629163 101629210 "-" 379 "uORF" 101629208 101629210 0.0365534444444445
"380" "ENST00000223167.5" "7" 101629163 101629174 "-" 380 "uORF" 101629172 101629174 0.12699
"384" "ENST00000223428.9" "9" 96776127 96776159 "-" 384 "uORF" 96776157 96776159 0.236157555555555
"385" "ENST00000223795.3" "9" 114930352 114930513 "-" 385 "uORF" 114930511 114930513 1.96012822222222
"386" "ENST00000223795.3" "9" 114930405 114930506 "-" 386 "uORF" 114930504 114930506 2.126651
"387" "ENST00000223795.3" "9" 114930352 114930408 "-" 387 "uORF" 114930406 114930408 2.12463611111111
"388" "ENST00000223795.3" "9" 114930326 114930367 "-" 388 "uORF" 114930365 114930367 1.81361788888889
"389" "ENST00000223795.3" "9" 114930326 114930346 "-" 389 "uORF" 114930344 114930346 2.09074366666667
"390" "ENST00000224140.6" "9" 132354940 132354954 "-" 390 "uORF" 132354952 132354954 1.53373988888889
"391" "ENST00000224140.6" "9" 132353691 132353753 "-" 391 "uORF" 132353751 132353753 1.54695066666667
"392" "ENST00000224140.6" "9" 132353681 132353722 "-" 392 "uORF" 132353720 132353722 0.734193777777778
"393" "ENST00000224140.6" "9" 132353662 132353718 "-" 393 "uORF" 132353716 132353718 0.539484666666667
"394" "ENST00000224337.10" "10" 96271446 96271478 "-" 394 "uORF" 96271476 96271478 1.63630055555556
"397" "ENST00000225171.7" "10" 67838088 67838168 "-" 397 "uORF" 67838166 67838168 1.48140188888889
"398" "ENST00000225171.7" "10" 67838099 67838119 "-" 398 "uORF" 67838117 67838119 0.615680444444445
"399" "ENST00000225171.7" "10" 67838099 67838110 "-" 399 "uORF" 67838108 67838110 0.464294333333333
"400" "ENST00000225275.4" "17" 58280856 58280891 "-" 400 "uORF" 58280889 58280891 0.498444444444444
"401" "ENST00000225737.11" "17" 19977723 19977800 "-" 401 "uORF" 19977798 19977800 2.28068988888889
"402" "ENST00000225823.7" "17" 33292533 33292598 "-" 402 "uORF" 33292596 33292598 1.71527466666667
"403" "ENST00000225823.7" "17" 33292533 33292583 "-" 403 "uORF" 33292581 33292583 1.934375
"404" "ENST00000225823.7" "17" 33292116 33292172 "-" 404 "uORF" 33292170 33292172 1.85618177777778
"405" "ENST00000225873.9" "17" 35578116 35578136 "-" 405 "uORF" 35578134 35578136 0.387443666666667
"406" "ENST00000225916.10" "17" 42121345 42121356 "-" 406 "uORF" 42121354 42121356 2.28737533333333
"407" "ENST00000225964.10" "17" 50201558 50201572 "-" 407 "uORF" 50201570 50201572 2.59704477777778
"408" "ENST00000225964.10" "17" 50201516 50201530 "-" 408 "uORF" 50201528 50201530 2.62199711111111
"418" "ENST00000226413.5" "4" 67754355 67754378 "-" 418 "uORF" 67754376 67754378 0.419400333333333
"422" "ENST00000226730.5" "4" 122456561 122456617 "-" 422 "uORF" 122456615 122456617 1.62593255555556
"423" "ENST00000226730.5" "4" 122456561 122456608 "-" 423 "uORF" 122456606 122456608 1.77391911111111
"424" "ENST00000226730.5" "4" 122456561 122456575 "-" 424 "uORF" 122456573 122456575 1.91239266666667
"429" "ENST00000227618.9" "11" 72111464 72111496 "-" 429 "uORF" 72111494 72111496 1.72648244444444
"432" "ENST00000227756.5" "11" 11621864 11621950 "-" 432 "uORF" 11621948 11621950 1.71529555555555
"458" "ENST00000228437.10" "12" 107760611 107761008 "-" 458 "uORF" 107761006 107761008 2.25417077777778
"459" "ENST00000228437.10" "12" 107760611 107760715 "-" 459 "uORF" 107760713 107760715 1.75953444444445
"460" "ENST00000228437.10" "12" 107760597 107760605 "-" 460 "uORF" 107760603 107760605 2.23766211111111
"461" "ENST00000228438.3" "12" 9869238 9869255 "-" 461 "uORF" 9869253 9869255 0.430345888888889
"463" "ENST00000228515.6" "12" 51076617 51076640 "-" 463 "uORF" 51076638 51076640 2.103075
"464" "ENST00000228567.7" "12" 33439800 33439814 "-" 464 "uORF" 33439812 33439814 0.645114333333333
"465" "ENST00000228567.7" "12" 33439668 33439691 "-" 465 "uORF" 33439689 33439691 1.710994
"466" "ENST00000228567.7" "12" 33439605 33439613 "-" 466 "uORF" 33439611 33439613 1.644049
"467" "ENST00000228705.7" "12" 62935131 62935148 "-" 467 "uORF" 62935146 62935148 2.04523811111111
"468" "ENST00000228705.7" "12" 62934881 62934973 "-" 468 "uORF" 62934971 62934973 2.13135744444444
"469" "ENST00000228705.7" "12" 62934738 62934809 "-" 469 "uORF" 62934807 62934809 2.20372788888889
"472" "ENST00000228837.3" "12" 4445661 4445711 "-" 472 "uORF" 4445709 4445711 0.921839444444446
"473" "ENST00000228837.3" "12" 4445610 4445648 "-" 473 "uORF" 4445646 4445648 2.01666277777778
"474" "ENST00000228850.6" "12" 4648793 4648837 "-" 474 "uORF" 4648835 4648837 -0.0171711111111111
"475" "ENST00000228850.6" "12" 4648771 4648830 "-" 475 "uORF" 4648828 4648830 0.642551888888889
"476" "ENST00000228850.6" "12" 4641973 4645172 "-" 476 "uORF" 4645170 4645172 1.14055666666667
"477" "ENST00000228850.6" "12" 4641973 4641990 "-" 477 "uORF" 4641988 4641990 2.12178433333333
"480" "ENST00000228936.6" "12" 14843453 14843497 "-" 480 "uORF" 14843495 14843497 1.13873866666667
"481" "ENST00000228936.6" "12" 14843172 14843207 "-" 481 "uORF" 14843205 14843207 0.341295111111111
"484" "ENST00000229238.5" "12" 6493209 6493238 "-" 484 "uORF" 6493236 6493238 1.63493766666667
"491" "ENST00000229390.8" "12" 120469706 120469720 "-" 491 "uORF" 120469718 120469720 2.35138222222222
"495" "ENST00000229955.4" "6" 96799785 96837353 "-" 495 "uORF" 96837351 96837353 2.48081566666667
"496" "ENST00000229955.4" "6" 96837269 96837325 "-" 496 "uORF" 96837323 96837325 0.762719000000001
"497" "ENST00000229955.4" "6" 96799785 96837317 "-" 497 "uORF" 96837315 96837317 1.45327266666667
"498" "ENST00000229955.4" "6" 96799804 96799860 "-" 498 "uORF" 96799858 96799860 1.62054911111111
"499" "ENST00000229955.4" "6" 96799736 96799834 "-" 499 "uORF" 96799832 96799834 0.98441311111111
"500" "ENST00000229955.4" "6" 96799785 96799814 "-" 500 "uORF" 96799812 96799814 0.865534333333332
"501" "ENST00000229955.4" "6" 96799736 96799783 "-" 501 "uORF" 96799781 96799783 1.38981044444445
"502" "ENST00000230053.11" "6" 70956519 70956548 "-" 502 "uORF" 70956546 70956548 1.13485844444444
"511" "ENST00000230361.4" "6" 42194893 42194943 "-" 511 "uORF" 42194941 42194943 0.451537555555556
"512" "ENST00000230361.4" "6" 42194893 42194940 "-" 512 "uORF" 42194938 42194940 0.252870666666667
"513" "ENST00000230381.7" "6" 42722412 42722474 "-" 513 "uORF" 42722472 42722474 1.87517077777778
"517" "ENST00000231021.9" "5" 27038548 27038580 "-" 517 "uORF" 27038578 27038580 1.74766033333333
"518" "ENST00000231021.9" "5" 27038559 27038576 "-" 518 "uORF" 27038574 27038576 1.57816777777778
"519" "ENST00000231121.3" "5" 154478044 154478058 "-" 519 "uORF" 154478056 154478058 1.87093922222222
"525" "ENST00000231357.7" "5" 1882848 1882859 "-" 525 "uORF" 1882857 1882859 0.711654333333333
"526" "ENST00000231357.7" "5" 1882774 1882782 "-" 526 "uORF" 1882780 1882782 0.891987555555557
"527" "ENST00000231461.10" "5" 100903095 100903241 "-" 527 "uORF" 100903239 100903241 0.652943555555555
"528" "ENST00000231484.4" "5" 141957989 141958036 "-" 528 "uORF" 141958034 141958036 0.883213555555555
"529" "ENST00000231484.4" "5" 141957989 141958030 "-" 529 "uORF" 141958028 141958030 1.39605366666667
"530" "ENST00000231484.4" "5" 141957885 141957986 "-" 530 "uORF" 141957984 141957986 1.85434855555556
"531" "ENST00000231706.6" "3" 170527038 170527082 "-" 531 "uORF" 170527080 170527082 1.70294766666667
"532" "ENST00000231706.6" "3" 170526992 170527015 "-" 532 "uORF" 170527013 170527015 1.83452366666667
"533" "ENST00000231749.8" "3" 50345632 50345721 "-" 533 "uORF" 50345719 50345721 1.58170611111111
"535" "ENST00000232496.5" "3" 50328142 50328165 "-" 535 "uORF" 50328163 50328165 1.48278444444445
"536" "ENST00000232496.5" "3" 50328101 50328118 "-" 536 "uORF" 50328116 50328118 1.93101888888889
"539" "ENST00000233027.10" "3" 52770823 52770915 "-" 539 "uORF" 52770913 52770915 1.92298711111111
"541" "ENST00000233057.9" "2" 37148961 37148978 "-" 541 "uORF" 37148976 37148978 0.681969333333333
"543" "ENST00000233468.5" "2" 24076308 24076322 "-" 543 "uORF" 24076320 24076322 0.684244333333333
"557" "ENST00000234111.9" "2" 10448122 10448154 "-" 557 "uORF" 10448152 10448154 1.08357133333333
"558" "ENST00000234179.8" "2" 37317081 37317170 "-" 558 "uORF" 37317168 37317170 1.03825722222222
"559" "ENST00000234179.8" "2" 37317127 37317144 "-" 559 "uORF" 37317142 37317144 0.793748666666668
"560" "ENST00000234179.8" "2" 37317029 37317127 "-" 560 "uORF" 37317125 37317127 1.08338644444444
"561" "ENST00000234179.8" "2" 37317103 37317120 "-" 561 "uORF" 37317118 37317120 0.967752000000001
"562" "ENST00000234179.8" "2" 37317029 37317061 "-" 562 "uORF" 37317059 37317061 1.08953266666667
"563" "ENST00000234179.8" "2" 37317029 37317055 "-" 563 "uORF" 37317053 37317055 0.888094888888889
"564" "ENST00000234179.8" "2" 37316837 37316893 "-" 564 "uORF" 37316891 37316893 1.13090755555556
"565" "ENST00000234179.8" "2" 37316739 37316795 "-" 565 "uORF" 37316793 37316795 1.66625022222222
"566" "ENST00000234179.8" "2" 37316689 37316739 "-" 566 "uORF" 37316737 37316739 0.923591555555556
"567" "ENST00000234179.8" "2" 37316573 37316668 "-" 567 "uORF" 37316666 37316668 1.297492
