"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_end" "one_two_three" "phylop2"
"88" "ENST00000164133.7" "11" 64924868 64924876 "+" 88 "uORF" 64924870 3 0.833333333333333
"89" "ENST00000164133.7" "11" 64925639 64925653 "+" 89 "uORF" 64925641 3 2.66666666666667
"90" "ENST00000167106.9" "14" 76761827 76761997 "+" 90 "uORF" 76761829 3 0.5
"91" "ENST00000167106.9" "14" 76761947 76761997 "+" 91 "uORF" 76761949 3 0.666666666666667
"92" "ENST00000167106.9" "14" 76762160 76762360 "+" 92 "uORF" 76762162 3 1.16666666666667
"93" "ENST00000167106.9" "14" 76762529 76762612 "+" 93 "uORF" 76762531 3 1.33333333333333
"94" "ENST00000167106.9" "14" 76762735 76762776 "+" 94 "uORF" 76762737 3 3
"96" "ENST00000169298.8" "3" 186963844 186963882 "+" 96 "uORF" 186963846 3 -0.5
"97" "ENST00000169298.8" "3" 186963849 186963863 "+" 97 "uORF" 186963851 3 -0.333333333333333
"98" "ENST00000169298.8" "3" 186963865 186963882 "+" 98 "uORF" 186963867 3 1.83333333333333
"99" "ENST00000169298.8" "3" 187038742 187038813 "+" 99 "uORF" 187038744 3 3
"100" "ENST00000169298.8" "3" 187038767 187038793 "+" 100 "uORF" 187038769 3 1.5
"101" "ENST00000169298.8" "3" 187038806 187038829 "+" 101 "uORF" 187038808 3 1.66666666666667
"102" "ENST00000169551.11" "18" 74148541 74148558 "+" 102 "uORF" 74148543 3 1.16666666666667
"103" "ENST00000169551.11" "18" 74148559 74148591 "+" 103 "uORF" 74148561 3 0.833333333333333
"104" "ENST00000169551.11" "18" 74148597 74148623 "+" 104 "uORF" 74148599 3 -0.166666666666667
"105" "ENST00000169551.11" "18" 74148737 74148754 "+" 105 "uORF" 74148739 3 0.166666666666667
"107" "ENST00000171757.3" "X" 78945396 78945434 "+" 107 "uORF" 78945398 3 1.16666666666667
"108" "ENST00000171757.3" "X" 78945420 78945434 "+" 108 "uORF" 78945422 3 0.666666666666667
"109" "ENST00000171757.3" "X" 78947818 78947829 "+" 109 "uORF" 78947820 3 0.5
"110" "ENST00000171757.3" "X" 78947826 78952277 "+" 110 "uORF" 78947828 3 -0.166666666666667
"111" "ENST00000171757.3" "X" 78947857 78952197 "+" 111 "uORF" 78947859 3 0.166666666666667
"112" "ENST00000171757.3" "X" 78952204 78952260 "+" 112 "uORF" 78952206 3 0
"113" "ENST00000171757.3" "X" 78952277 78952333 "+" 113 "uORF" 78952279 3 -0.166666666666667
"114" "ENST00000171757.3" "X" 78952304 78952333 "+" 114 "uORF" 78952306 3 -0.666666666666667
"117" "ENST00000181839.10" "7" 39950578 39950592 "+" 117 "uORF" 39950580 3 0.666666666666667
"118" "ENST00000182290.9" "11" 2302019 2302069 "+" 118 "uORF" 2302021 3 -0.666666666666667
"121" "ENST00000190611.9" "2" 178194551 178194571 "+" 121 "uORF" 178194553 3 0
"122" "ENST00000190611.9" "2" 178285022 178285069 "+" 122 "uORF" 178285024 3 -0.166666666666667
"123" "ENST00000190611.9" "2" 178306087 178306095 "+" 123 "uORF" 178306089 3 2
"124" "ENST00000190611.9" "2" 178306092 178306133 "+" 124 "uORF" 178306094 3 0.5
"125" "ENST00000190611.9" "2" 178306146 178306163 "+" 125 "uORF" 178306148 3 4
"126" "ENST00000192788.6" "6" 34792125 34792172 "+" 126 "uORF" 34792127 3 1.66666666666667
"129" "ENST00000194530.8" "2" 201454801 201454836 "+" 129 "uORF" 201454803 3 3.5
"131" "ENST00000199447.9" "7" 37848608 37848637 "+" 131 "uORF" 37848610 3 -0.166666666666667
"132" "ENST00000199447.9" "7" 37848637 37848857 "+" 132 "uORF" 37848639 3 -0.666666666666667
"133" "ENST00000199447.9" "7" 37848934 37849020 "+" 133 "uORF" 37848936 3 -0.5
"134" "ENST00000199936.9" "16" 82035266 82035403 "+" 134 "uORF" 82035268 3 0
"135" "ENST00000199936.9" "16" 82035272 82035403 "+" 135 "uORF" 82035274 3 0.166666666666667
"136" "ENST00000199936.9" "16" 82035283 82035294 "+" 136 "uORF" 82035285 3 -0.5
"137" "ENST00000200453.6" "19" 48872455 48872523 "+" 137 "uORF" 48872457 3 -1.66666666666667
"138" "ENST00000200453.6" "19" 48872554 48872634 "+" 138 "uORF" 48872556 3 3.66666666666667
"139" "ENST00000200557.11" "17" 44759013 44759036 "+" 139 "uORF" 44759015 3 -0.166666666666667
"140" "ENST00000201031.3" "20" 56629393 56629407 "+" 140 "uORF" 56629395 3 2.33333333333333
"141" "ENST00000201979.3" "20" 31476231 31476356 "+" 141 "uORF" 31476233 3 -0.333333333333333
"143" "ENST00000202967.4" "12" 120302325 120302375 "+" 143 "uORF" 120302327 3 0
"145" "ENST00000204961.5" "X" 68829021 68829197 "+" 145 "uORF" 68829023 3 1.33333333333333
"146" "ENST00000204961.5" "X" 68829157 68829222 "+" 146 "uORF" 68829159 3 1.16666666666667
"147" "ENST00000204961.5" "X" 68829562 68829591 "+" 147 "uORF" 68829564 3 0.666666666666667
"148" "ENST00000204961.5" "X" 68829673 68829684 "+" 148 "uORF" 68829675 3 2.5
"152" "ENST00000206249.8" "6" 151807799 151807861 "+" 152 "uORF" 151807801 3 0.833333333333333
"157" "ENST00000206595.11" "14" 30559183 30559242 "+" 157 "uORF" 30559185 3 1
"166" "ENST00000210187.11" "16" 2148645 2148770 "+" 166 "uORF" 2148647 3 0.666666666666667
"167" "ENST00000210187.11" "16" 2148648 2148770 "+" 167 "uORF" 2148650 3 0
"168" "ENST00000210633.4" "10" 100969568 100972579 "+" 168 "uORF" 100969570 3 0.666666666666667
"169" "ENST00000210633.4" "10" 100972630 100972680 "+" 169 "uORF" 100972632 3 1.83333333333333
"170" "ENST00000210633.4" "10" 100972646 100972663 "+" 170 "uORF" 100972648 3 1.33333333333333
"171" "ENST00000210633.4" "10" 100972700 100972786 "+" 171 "uORF" 100972702 3 2.16666666666667
"172" "ENST00000210633.4" "10" 100972724 100972786 "+" 172 "uORF" 100972726 3 1.5
"173" "ENST00000210633.4" "10" 100972750 100972761 "+" 173 "uORF" 100972752 3 0.833333333333333
"174" "ENST00000210633.4" "10" 100972758 100972769 "+" 174 "uORF" 100972760 3 0.333333333333333
"175" "ENST00000210633.4" "10" 100972775 100972786 "+" 175 "uORF" 100972777 3 0.5
"176" "ENST00000210633.4" "10" 100972783 100972821 "+" 176 "uORF" 100972785 3 0.666666666666667
"181" "ENST00000215555.7" "19" 8421801 8421818 "+" 181 "uORF" 8421803 3 2.33333333333333
"184" "ENST00000215794.8" "22" 18150211 18157584 "+" 184 "uORF" 18150213 3 0.166666666666667
"185" "ENST00000215838.8" "22" 30607199 30607210 "+" 185 "uORF" 30607201 3 1
"188" "ENST00000215906.6" "22" 26433569 26433610 "+" 188 "uORF" 26433571 3 1.33333333333333
"189" "ENST00000216029.8" "22" 38656638 38656682 "+" 189 "uORF" 38656640 3 0
"192" "ENST00000216099.13" "22" 39021308 39021337 "+" 192 "uORF" 39021310 3 -0.333333333333333
"193" "ENST00000216106.6" "22" 35257508 35257555 "+" 193 "uORF" 35257510 3 3.33333333333333
"194" "ENST00000216127.5" "22" 35541292 35541378 "+" 194 "uORF" 35541294 3 0.5
"196" "ENST00000216144.4" "22" 29720240 29720272 "+" 196 "uORF" 29720242 3 0.333333333333333
"197" "ENST00000216237.10" "22" 41205320 41205340 "+" 197 "uORF" 41205322 3 3
"198" "ENST00000216268.6" "22" 49853919 49883337 "+" 198 "uORF" 49853921 3 -0.333333333333333
"199" "ENST00000216268.6" "22" 49853923 49883437 "+" 199 "uORF" 49853925 3 0
"200" "ENST00000216268.6" "22" 49883337 49883576 "+" 200 "uORF" 49883339 3 0.333333333333333
"201" "ENST00000216268.6" "22" 49883356 49883370 "+" 201 "uORF" 49883358 3 -0.333333333333333
"202" "ENST00000216268.6" "22" 49883367 49883576 "+" 202 "uORF" 49883369 3 1.83333333333333
"203" "ENST00000216268.6" "22" 49883434 49883445 "+" 203 "uORF" 49883436 3 0
"204" "ENST00000216268.6" "22" 49883474 49883482 "+" 204 "uORF" 49883476 3 0.166666666666667
"205" "ENST00000216268.6" "22" 49883487 49883576 "+" 205 "uORF" 49883489 3 -0.666666666666667
"206" "ENST00000216268.6" "22" 49883520 49883576 "+" 206 "uORF" 49883522 3 -0.166666666666667
"207" "ENST00000216268.6" "22" 49883554 49883565 "+" 207 "uORF" 49883556 3 -0.333333333333333
"208" "ENST00000216268.6" "22" 49883562 49883576 "+" 208 "uORF" 49883564 3 -1.16666666666667
"209" "ENST00000216268.6" "22" 49883602 49883628 "+" 209 "uORF" 49883604 3 0.333333333333333
"210" "ENST00000216277.13" "14" 96502412 96502447 "+" 210 "uORF" 96502414 3 4.66666666666667
"211" "ENST00000216277.13" "14" 96502526 96502567 "+" 211 "uORF" 96502528 3 3.66666666666667
"217" "ENST00000216487.12" "14" 92513853 92513897 "+" 217 "uORF" 92513855 3 0.833333333333333
"220" "ENST00000216554.8" "14" 103335771 103335839 "+" 220 "uORF" 103335773 3 8
"226" "ENST00000217233.9" "20" 380805 381038 "+" 226 "uORF" 380807 3 0
"227" "ENST00000217233.9" "20" 380840 380884 "+" 227 "uORF" 380842 3 1.83333333333333
"230" "ENST00000217420.2" "20" 38724587 38724634 "+" 230 "uORF" 38724589 3 3.33333333333333
"242" "ENST00000218032.7" "X" 12906683 12906694 "+" 242 "uORF" 12906685 3 -0.166666666666667
"243" "ENST00000218075.9" "X" 14529723 14529755 "+" 243 "uORF" 14529725 3 3
"244" "ENST00000218075.9" "X" 14529749 14529769 "+" 244 "uORF" 14529751 3 1.33333333333333
"245" "ENST00000218075.9" "X" 14529755 14529769 "+" 245 "uORF" 14529757 3 2.5
"246" "ENST00000218075.9" "X" 14529844 14529870 "+" 246 "uORF" 14529846 3 3.33333333333333
"247" "ENST00000218075.9" "X" 14529873 14529986 "+" 247 "uORF" 14529875 3 5.66666666666667
"248" "ENST00000218075.9" "X" 14529876 14529986 "+" 248 "uORF" 14529878 3 3.33333333333333
"257" "ENST00000219069.6" "16" 3283606 3283647 "+" 257 "uORF" 3283608 3 -1
"258" "ENST00000219069.6" "16" 3283751 3283798 "+" 258 "uORF" 3283753 3 -0.166666666666667
"259" "ENST00000219070.9" "16" 55479324 55479335 "+" 259 "uORF" 55479326 3 0.833333333333333
"261" "ENST00000219271.4" "16" 58025970 58026029 "+" 261 "uORF" 58025972 3 0
"268" "ENST00000219343.11" "16" 68266674 68266700 "+" 268 "uORF" 68266676 3 0.333333333333333
"269" "ENST00000219343.11" "16" 68266689 68266700 "+" 269 "uORF" 68266691 3 0
"270" "ENST00000219473.12" "16" 84700008 84700079 "+" 270 "uORF" 84700010 3 0.666666666666667
"271" "ENST00000219473.12" "16" 84700024 84700050 "+" 271 "uORF" 84700026 3 2
"272" "ENST00000219611.7" "16" 536042 536059 "+" 272 "uORF" 536044 3 -0.833333333333333
"276" "ENST00000219794.11" "16" 31109047 31109106 "+" 276 "uORF" 31109049 3 3.66666666666667
"277" "ENST00000220003.14" "15" 74782652 74782675 "+" 277 "uORF" 74782654 3 2
"278" "ENST00000220003.14" "15" 74782675 74798270 "+" 278 "uORF" 74782677 3 2
"279" "ENST00000220003.14" "15" 74798238 74798270 "+" 279 "uORF" 74798240 3 4
"280" "ENST00000220562.9" "8" 28701520 28701648 "+" 280 "uORF" 28701522 3 2.66666666666667
"281" "ENST00000220562.9" "8" 28713509 28715590 "+" 281 "uORF" 28713511 3 0.333333333333333
"282" "ENST00000220562.9" "8" 28713548 28715590 "+" 282 "uORF" 28713550 3 0.333333333333333
"283" "ENST00000220562.9" "8" 28715668 28715718 "+" 283 "uORF" 28715670 3 3.33333333333333
"284" "ENST00000220562.9" "8" 28715708 28715902 "+" 284 "uORF" 28715710 3 2.5
"285" "ENST00000220562.9" "8" 28715794 28715826 "+" 285 "uORF" 28715796 3 1
"286" "ENST00000220562.9" "8" 28715831 28715902 "+" 286 "uORF" 28715833 3 1.5
"287" "ENST00000220562.9" "8" 28715908 28715976 "+" 287 "uORF" 28715910 3 7
"288" "ENST00000220562.9" "8" 28715913 28716023 "+" 288 "uORF" 28715915 3 2.83333333333333
"289" "ENST00000220562.9" "8" 28716007 28716033 "+" 289 "uORF" 28716009 3 1.16666666666667
"290" "ENST00000220562.9" "8" 28716013 28716033 "+" 290 "uORF" 28716015 3 8
"293" "ENST00000220676.2" "8" 54616112 54616132 "+" 293 "uORF" 54616114 3 0.333333333333333
"294" "ENST00000220751.5" "8" 89757907 89757927 "+" 294 "uORF" 89757909 3 0.333333333333333
"297" "ENST00000221232.11" "19" 54142948 54142968 "+" 297 "uORF" 54142950 3 7
"301" "ENST00000221462.9" "19" 45093238 45093309 "+" 301 "uORF" 45093240 3 1.83333333333333
"302" "ENST00000221462.9" "19" 45093289 45093309 "+" 302 "uORF" 45093291 3 2.33333333333333
"303" "ENST00000221554.13" "19" 13751624 13751656 "+" 303 "uORF" 13751626 3 -0.5
"304" "ENST00000221554.13" "19" 13751633 13751656 "+" 304 "uORF" 13751635 3 -1.5
"307" "ENST00000221856.11" "19" 4304601 4304624 "+" 307 "uORF" 4304603 3 -0.333333333333333
"308" "ENST00000221856.11" "19" 4304613 4304624 "+" 308 "uORF" 4304615 3 2.33333333333333
"309" "ENST00000222033.6" "19" 5455426 5455467 "+" 309 "uORF" 5455428 3 -0.166666666666667
"312" "ENST00000222248.4" "19" 17872024 17872047 "+" 312 "uORF" 17872026 3 -2.16666666666667
"313" "ENST00000222254.13" "19" 18155481 18155573 "+" 313 "uORF" 18155483 3 4.33333333333333
"314" "ENST00000222254.13" "19" 18155550 18155573 "+" 314 "uORF" 18155552 3 0.333333333333333
"315" "ENST00000222254.13" "19" 18155600 18155623 "+" 315 "uORF" 18155602 3 1.83333333333333
"316" "ENST00000222254.13" "19" 18155612 18155623 "+" 316 "uORF" 18155614 3 0
"317" "ENST00000222254.13" "19" 18155664 18155714 "+" 317 "uORF" 18155666 3 1.66666666666667
"318" "ENST00000222254.13" "19" 18155701 18155709 "+" 318 "uORF" 18155703 3 -0.833333333333333
"319" "ENST00000222254.13" "19" 18155723 18155749 "+" 319 "uORF" 18155725 3 0.5
"320" "ENST00000222254.13" "19" 18155817 18155849 "+" 320 "uORF" 18155819 3 2.16666666666667
"321" "ENST00000222286.9" "19" 35533507 35533521 "+" 321 "uORF" 35533509 3 2.33333333333333
"322" "ENST00000222345.11" "19" 38029089 38029103 "+" 322 "uORF" 38029091 3 0.166666666666667
"323" "ENST00000222345.11" "19" 38081257 38081328 "+" 323 "uORF" 38081259 3 2.16666666666667
"324" "ENST00000222345.11" "19" 38081399 38081497 "+" 324 "uORF" 38081401 3 3.66666666666667
"325" "ENST00000222345.11" "19" 38081490 38081516 "+" 325 "uORF" 38081492 3 4
"326" "ENST00000222462.3" "7" 121329022 121329198 "+" 326 "uORF" 121329024 3 0.833333333333333
"327" "ENST00000222462.3" "7" 121329164 121329217 "+" 327 "uORF" 121329166 3 0.333333333333333
"329" "ENST00000222573.5" "7" 20331075 20331116 "+" 329 "uORF" 20331077 3 1.83333333333333
"330" "ENST00000222573.5" "7" 20331238 20331285 "+" 330 "uORF" 20331240 3 0.666666666666667
"331" "ENST00000222573.5" "7" 20331285 20331365 "+" 331 "uORF" 20331287 3 1.33333333333333
"332" "ENST00000222573.5" "7" 20331355 20331405 "+" 332 "uORF" 20331357 3 0.666666666666667
"333" "ENST00000222573.5" "7" 20331435 20331620 "+" 333 "uORF" 20331437 3 2.66666666666667
"334" "ENST00000222573.5" "7" 20331622 20331708 "+" 334 "uORF" 20331624 3 1.5
"335" "ENST00000222574.9" "7" 107169013 107169057 "+" 335 "uORF" 107169015 3 6.33333333333333
"336" "ENST00000222644.10" "7" 24573490 24573519 "+" 336 "uORF" 24573492 3 1.16666666666667
"341" "ENST00000222792.11" "7" 29194841 29194912 "+" 341 "uORF" 29194843 3 3.33333333333333
"350" "ENST00000222969.10" "7" 99409007 99409048 "+" 350 "uORF" 99409009 3 0.833333333333333
"351" "ENST00000222969.10" "7" 99409088 99409192 "+" 351 "uORF" 99409090 3 -0.666666666666667
"352" "ENST00000222969.10" "7" 99409120 99409143 "+" 352 "uORF" 99409122 3 -0.166666666666667
"354" "ENST00000223026.9" "7" 123845183 123845233 "+" 354 "uORF" 123845185 3 -0.5
"355" "ENST00000223026.9" "7" 123845230 123845265 "+" 355 "uORF" 123845232 3 0
"356" "ENST00000223026.9" "7" 123845356 123845448 "+" 356 "uORF" 123845358 3 0.166666666666667
"357" "ENST00000223026.9" "7" 123845364 123845375 "+" 357 "uORF" 123845366 3 0.166666666666667
"358" "ENST00000223026.9" "7" 123845396 123845491 "+" 358 "uORF" 123845398 3 -0.5
"359" "ENST00000223026.9" "7" 123845421 123845438 "+" 359 "uORF" 123845423 3 -0.166666666666667
"360" "ENST00000223026.9" "7" 123845472 123845567 "+" 360 "uORF" 123845474 3 0.166666666666667
"361" "ENST00000223026.9" "7" 123845512 123845553 "+" 361 "uORF" 123845514 3 0.166666666666667
"362" "ENST00000223026.9" "7" 123845599 123845619 "+" 362 "uORF" 123845601 3 0.166666666666667
"375" "ENST00000223145.10" "7" 7969043 7969096 "+" 375 "uORF" 7969045 3 1.33333333333333
"381" "ENST00000223215.10" "7" 130492298 130492306 "+" 381 "uORF" 130492300 3 1.5
"382" "ENST00000223398.11" "7" 74289718 74317483 "+" 382 "uORF" 74289720 3 0.166666666666667
"383" "ENST00000223398.11" "7" 74317490 74317507 "+" 383 "uORF" 74317492 3 2.66666666666667
"395" "ENST00000224721.12" "10" 71396979 71396990 "+" 395 "uORF" 71396981 3 1.16666666666667
"396" "ENST00000224721.12" "10" 71397052 71397120 "+" 396 "uORF" 71397054 3 0.833333333333333
"409" "ENST00000226067.10" "17" 55264982 55265002 "+" 409 "uORF" 55264984 3 1.33333333333333
"410" "ENST00000226067.10" "17" 55264994 55265002 "+" 410 "uORF" 55264996 3 1.83333333333333
"411" "ENST00000226067.10" "17" 55265315 55265332 "+" 411 "uORF" 55265317 3 1
"412" "ENST00000226067.10" "17" 55265321 55265332 "+" 412 "uORF" 55265323 3 1.16666666666667
"413" "ENST00000226091.3" "17" 7705292 7705336 "+" 413 "uORF" 7705294 3 1.66666666666667
"414" "ENST00000226105.11" "17" 8288723 8288764 "+" 414 "uORF" 8288725 3 1.16666666666667
"415" "ENST00000226105.11" "17" 8288738 8288764 "+" 415 "uORF" 8288740 3 -0.333333333333333
"416" "ENST00000226225.7" "17" 28339418 28339453 "+" 416 "uORF" 28339420 3 3.66666666666667
"417" "ENST00000226299.9" "4" 17577238 17577255 "+" 417 "uORF" 17577240 3 -0.666666666666667
"419" "ENST00000226574.9" "4" 102501608 102501622 "+" 419 "uORF" 102501610 3 -0.166666666666667
"420" "ENST00000226725.11" "4" 165207705 165207746 "+" 420 "uORF" 165207707 3 -0.166666666666667
"421" "ENST00000226725.11" "4" 165207775 165207858 "+" 421 "uORF" 165207777 3 1
"425" "ENST00000227349.7" "11" 122882838 122885775 "+" 425 "uORF" 122882840 3 -0.666666666666667
"426" "ENST00000227349.7" "11" 122882928 122885775 "+" 426 "uORF" 122882930 3 0
"427" "ENST00000227451.4" "11" 59172445 59172459 "+" 427 "uORF" 59172447 3 -0.166666666666667
"428" "ENST00000227525.8" "11" 60914172 60914186 "+" 428 "uORF" 60914174 3 1.5
"430" "ENST00000227638.8" "11" 94128858 94129160 "+" 430 "uORF" 94128860 3 -1.5
"431" "ENST00000227638.8" "11" 94129187 94129243 "+" 431 "uORF" 94129189 3 0.666666666666667
"433" "ENST00000227758.7" "11" 102347237 102347311 "+" 433 "uORF" 102347239 3 -1.33333333333333
"434" "ENST00000227758.7" "11" 102348660 102348692 "+" 434 "uORF" 102348662 3 1.16666666666667
"435" "ENST00000227758.7" "11" 102348703 102348738 "+" 435 "uORF" 102348705 3 0.666666666666667
"436" "ENST00000227758.7" "11" 102348722 102348769 "+" 436 "uORF" 102348724 3 0.666666666666667
"437" "ENST00000227758.7" "11" 102348792 102348842 "+" 437 "uORF" 102348794 3 0.666666666666667
"438" "ENST00000227758.7" "11" 102348886 102348900 "+" 438 "uORF" 102348888 3 -0.333333333333333
"439" "ENST00000227758.7" "11" 102348897 102348917 "+" 439 "uORF" 102348899 3 0.666666666666667
"440" "ENST00000227758.7" "11" 102348929 102348955 "+" 440 "uORF" 102348931 3 0.166666666666667
"441" "ENST00000227758.7" "11" 102348932 102348955 "+" 441 "uORF" 102348934 3 1.33333333333333
"442" "ENST00000227758.7" "11" 102348956 102349036 "+" 442 "uORF" 102348958 3 0.5
"443" "ENST00000227758.7" "11" 102348988 102348999 "+" 443 "uORF" 102348990 3 0.666666666666667
"444" "ENST00000227758.7" "11" 102349004 102349036 "+" 444 "uORF" 102349006 3 0.666666666666667
"445" "ENST00000227758.7" "11" 102349069 102349110 "+" 445 "uORF" 102349071 3 0.5
"446" "ENST00000227758.7" "11" 102349072 102349110 "+" 446 "uORF" 102349074 3 0.166666666666667
"447" "ENST00000227758.7" "11" 102349084 102349110 "+" 447 "uORF" 102349086 3 -0.5
"448" "ENST00000227758.7" "11" 102349100 102349135 "+" 448 "uORF" 102349102 3 0.833333333333333
"449" "ENST00000227758.7" "11" 102349259 102349294 "+" 449 "uORF" 102349261 3 -0.333333333333333
"450" "ENST00000227758.7" "11" 102349262 102349294 "+" 450 "uORF" 102349264 3 -0.333333333333333
"451" "ENST00000227758.7" "11" 102349304 102349366 "+" 451 "uORF" 102349306 3 -0.333333333333333
"452" "ENST00000227758.7" "11" 102349340 102349366 "+" 452 "uORF" 102349342 3 0
"453" "ENST00000227758.7" "11" 102349360 102349377 "+" 453 "uORF" 102349362 3 -0.5
"454" "ENST00000227758.7" "11" 102349603 102349614 "+" 454 "uORF" 102349605 3 0
"455" "ENST00000227758.7" "11" 102349820 102349828 "+" 455 "uORF" 102349822 3 0.833333333333333
"456" "ENST00000228027.12" "11" 75768930 75768974 "+" 456 "uORF" 75768932 3 2.5
"457" "ENST00000228425.11" "12" 27524217 27524225 "+" 457 "uORF" 27524219 3 0.666666666666667
"462" "ENST00000228506.8" "12" 120687180 120687227 "+" 462 "uORF" 120687182 3 2
"470" "ENST00000228741.8" "12" 96194475 96194483 "+" 470 "uORF" 96194477 3 3.33333333333333
"471" "ENST00000228741.8" "12" 96194636 96194671 "+" 471 "uORF" 96194638 3 5.66666666666667
"478" "ENST00000228865.3" "12" 12611922 12611999 "+" 478 "uORF" 12611924 3 3.66666666666667
"479" "ENST00000228918.9" "12" 6384185 6384244 "+" 479 "uORF" 6384187 3 0
"482" "ENST00000229030.5" "12" 130162831 130162902 "+" 482 "uORF" 130162833 3 -0.166666666666667
"483" "ENST00000229195.8" "12" 70243476 70278162 "+" 483 "uORF" 70243478 3 5.33333333333333
"485" "ENST00000229307.9" "12" 7789457 7789561 "+" 485 "uORF" 7789459 3 -0.5
"486" "ENST00000229307.9" "12" 7789465 7789497 "+" 486 "uORF" 7789467 3 -1.33333333333333
"487" "ENST00000229332.12" "12" 8123714 8123770 "+" 487 "uORF" 8123716 3 -0.333333333333333
"488" "ENST00000229332.12" "12" 8123734 8123766 "+" 488 "uORF" 8123736 3 -0.333333333333333
"489" "ENST00000229332.12" "12" 8123798 8123818 "+" 489 "uORF" 8123800 3 -0.166666666666667
"490" "ENST00000229332.12" "12" 8123820 8123828 "+" 490 "uORF" 8123822 3 -0.833333333333333
