"t_id"	"chromosome"	"g_start_coord_ref"	"g_end_coord_ref"	"strand_mane"	"u_id"	"u_id2"
"59"	"ENST00000061240.7"	"4"	165873756	165873773	"+"	59	"uORF"
"60"	"ENST00000064571.3"	"20"	56005036	56005092	"-"	60	"uORF"
"61"	"ENST00000064571.3"	"20"	56004677	56004730	"-"	61	"uORF"
"62"	"ENST00000064571.3"	"20"	56004395	56004490	"-"	62	"uORF"
"63"	"ENST00000064571.3"	"20"	56004435	56004479	"-"	63	"uORF"
"64"	"ENST00000064571.3"	"20"	56004267	56004398	"-"	64	"uORF"
"65"	"ENST00000066544.8"	"17"	47189182	47189250	"-"	65	"uORF"
"66"	"ENST00000072644.7"	"1"	53889353	53889463	"-"	66	"uORF"
"67"	"ENST00000072869.9"	"7"	140673218	140673277	"+"	67	"uORF"
"68"	"ENST00000075120.12"	"12"	7936175	7936183	"-"	68	"uORF"
"69"	"ENST00000075120.12"	"12"	7936125	7936175	"-"	69	"uORF"
"70"	"ENST00000075503.8"	"12"	10637129	10637140	"-"	70	"uORF"
"71"	"ENST00000075503.8"	"12"	10634644	10637123	"-"	71	"uORF"
"72"	"ENST00000075503.8"	"12"	10637092	10637100	"-"	72	"uORF"
"73"	"ENST00000080059.12"	"12"	47819802	47819819	"-"	73	"uORF"
"74"	"ENST00000084798.9"	"19"	48645936	48646025	"-"	74	"uORF"
"75"	"ENST00000084798.9"	"19"	48646001	48646018	"-"	75	"uORF"
"76"	"ENST00000084798.9"	"19"	48645950	48645982	"-"	76	"uORF"
"77"	"ENST00000155093.8"	"Y"	2935695	2953917	"+"	77	"uORF"
"78"	"ENST00000155926.9"	"2"	12717043	12717057	"+"	78	"uORF"
"79"	"ENST00000155926.9"	"2"	12717456	12717470	"+"	79	"uORF"
"80"	"ENST00000155926.9"	"2"	12717589	12717630	"+"	80	"uORF"
"81"	"ENST00000159087.7"	"19"	17334688	17334732	"-"	81	"uORF"
"82"	"ENST00000161863.9"	"5"	113513718	113513750	"+"	82	"uORF"
"83"	"ENST00000162391.8"	"12"	8033735	8033758	"+"	83	"uORF"
"84"	"ENST00000162749.7"	"12"	6341824	6341955	"-"	84	"uORF"
"85"	"ENST00000162749.7"	"12"	6341834	6341845	"-"	85	"uORF"
"86"	"ENST00000164024.5"	"3"	48662790	48662852	"-"	86	"uORF"
"87"	"ENST00000164133.7"	"11"	64924690	64924701	"+"	87	"uORF"
"88"	"ENST00000164133.7"	"11"	64924868	64924876	"+"	88	"uORF"
"89"	"ENST00000164133.7"	"11"	64925639	64925653	"+"	89	"uORF"
"90"	"ENST00000167106.9"	"14"	76761827	76761997	"+"	90	"uORF"
"91"	"ENST00000167106.9"	"14"	76761947	76761997	"+"	91	"uORF"
"92"	"ENST00000167106.9"	"14"	76762160	76762360	"+"	92	"uORF"
"93"	"ENST00000167106.9"	"14"	76762529	76762612	"+"	93	"uORF"
"94"	"ENST00000167106.9"	"14"	76762735	76762776	"+"	94	"uORF"
"95"	"ENST00000168712.3"	"11"	69775250	69775264	"-"	95	"uORF"
"96"	"ENST00000169298.8"	"3"	186963844	186963882	"+"	96	"uORF"
"97"	"ENST00000169298.8"	"3"	186963849	186963863	"+"	97	"uORF"
"98"	"ENST00000169298.8"	"3"	186963865	186963882	"+"	98	"uORF"
"99"	"ENST00000169298.8"	"3"	187038742	187038813	"+"	99	"uORF"
"100"	"ENST00000169298.8"	"3"	187038767	187038793	"+"	100	"uORF"
"101"	"ENST00000169298.8"	"3"	187038806	187038829	"+"	101	"uORF"
"102"	"ENST00000169551.11"	"18"	74148541	74148558	"+"	102	"uORF"
"103"	"ENST00000169551.11"	"18"	74148559	74148591	"+"	103	"uORF"
"104"	"ENST00000169551.11"	"18"	74148597	74148623	"+"	104	"uORF"
"105"	"ENST00000169551.11"	"18"	74148737	74148754	"+"	105	"uORF"
"106"	"ENST00000170168.9"	"19"	1848413	1848466	"-"	106	"uORF"
"107"	"ENST00000171757.3"	"X"	78945396	78945434	"+"	107	"uORF"
"108"	"ENST00000171757.3"	"X"	78945420	78945434	"+"	108	"uORF"
"109"	"ENST00000171757.3"	"X"	78947818	78947829	"+"	109	"uORF"
"110"	"ENST00000171757.3"	"X"	78947826	78952277	"+"	110	"uORF"
"111"	"ENST00000171757.3"	"X"	78947857	78952197	"+"	111	"uORF"
"112"	"ENST00000171757.3"	"X"	78952204	78952260	"+"	112	"uORF"
"113"	"ENST00000171757.3"	"X"	78952277	78952333	"+"	113	"uORF"
"114"	"ENST00000171757.3"	"X"	78952304	78952333	"+"	114	"uORF"
"115"	"ENST00000181796.7"	"10"	14774833	14774868	"-"	115	"uORF"
"116"	"ENST00000181796.7"	"10"	14774689	14774724	"-"	116	"uORF"
"117"	"ENST00000181839.10"	"7"	39950578	39950592	"+"	117	"uORF"
"118"	"ENST00000182290.9"	"11"	2302019	2302069	"+"	118	"uORF"
"119"	"ENST00000186436.10"	"2"	97995902	97995922	"-"	119	"uORF"
"120"	"ENST00000186436.10"	"2"	97995847	97995867	"-"	120	"uORF"
"121"	"ENST00000190611.9"	"2"	178194551	178194571	"+"	121	"uORF"
"122"	"ENST00000190611.9"	"2"	178285022	178285069	"+"	122	"uORF"
"123"	"ENST00000190611.9"	"2"	178306087	178306095	"+"	123	"uORF"
"124"	"ENST00000190611.9"	"2"	178306092	178306133	"+"	124	"uORF"
"125"	"ENST00000190611.9"	"2"	178306146	178306163	"+"	125	"uORF"
"126"	"ENST00000192788.6"	"6"	34792125	34792172	"+"	126	"uORF"
"127"	"ENST00000193391.8"	"3"	101320455	101320517	"-"	127	"uORF"
"128"	"ENST00000193391.8"	"3"	101320412	101320474	"-"	128	"uORF"
"129"	"ENST00000194530.8"	"2"	201454801	201454836	"+"	129	"uORF"
"130"	"ENST00000196489.4"	"19"	57578841	57578888	"-"	130	"uORF"
"131"	"ENST00000199447.9"	"7"	37848608	37848637	"+"	131	"uORF"
"132"	"ENST00000199447.9"	"7"	37848637	37848857	"+"	132	"uORF"
"133"	"ENST00000199447.9"	"7"	37848934	37849020	"+"	133	"uORF"
"134"	"ENST00000199936.9"	"16"	82035266	82035403	"+"	134	"uORF"
"135"	"ENST00000199936.9"	"16"	82035272	82035403	"+"	135	"uORF"
"136"	"ENST00000199936.9"	"16"	82035283	82035294	"+"	136	"uORF"
"137"	"ENST00000200453.6"	"19"	48872455	48872523	"+"	137	"uORF"
"138"	"ENST00000200453.6"	"19"	48872554	48872634	"+"	138	"uORF"
"139"	"ENST00000200557.11"	"17"	44759013	44759036	"+"	139	"uORF"
"140"	"ENST00000201031.3"	"20"	56629393	56629407	"+"	140	"uORF"
"141"	"ENST00000201979.3"	"20"	31476231	31476356	"+"	141	"uORF"
"142"	"ENST00000202677.12"	"20"	20712539	20712547	"-"	142	"uORF"
"143"	"ENST00000202967.4"	"12"	120302325	120302375	"+"	143	"uORF"
"144"	"ENST00000203630.10"	"12"	6752956	6752967	"-"	144	"uORF"
"145"	"ENST00000204961.5"	"X"	68829021	68829197	"+"	145	"uORF"
"146"	"ENST00000204961.5"	"X"	68829157	68829222	"+"	146	"uORF"
"147"	"ENST00000204961.5"	"X"	68829562	68829591	"+"	147	"uORF"
"148"	"ENST00000204961.5"	"X"	68829673	68829684	"+"	148	"uORF"
"149"	"ENST00000205214.11"	"4"	56387431	56387487	"-"	149	"uORF"
"150"	"ENST00000205214.11"	"4"	56387362	56387394	"-"	150	"uORF"
"151"	"ENST00000205214.11"	"4"	56384311	56384322	"-"	151	"uORF"
"152"	"ENST00000206249.8"	"6"	151807799	151807861	"+"	152	"uORF"
"153"	"ENST00000206262.2"	"6"	153131192	153131215	"-"	153	"uORF"
"154"	"ENST00000206423.8"	"3"	112641060	112641101	"-"	154	"uORF"
"155"	"ENST00000206423.8"	"3"	112640738	112640776	"-"	155	"uORF"
"156"	"ENST00000206423.8"	"3"	112640560	112640622	"-"	156	"uORF"
"157"	"ENST00000206595.11"	"14"	30559183	30559242	"+"	157	"uORF"
"158"	"ENST00000209718.8"	"17"	40937409	40937579	"-"	158	"uORF"
"159"	"ENST00000209718.8"	"17"	40937450	40937542	"-"	159	"uORF"
"160"	"ENST00000209718.8"	"17"	40936946	40937370	"-"	160	"uORF"
"161"	"ENST00000209718.8"	"17"	40936917	40936949	"-"	161	"uORF"
"162"	"ENST00000209718.8"	"17"	40936829	40936942	"-"	162	"uORF"
"163"	"ENST00000209718.8"	"17"	40936829	40936888	"-"	163	"uORF"
"164"	"ENST00000209718.8"	"17"	40936818	40936829	"-"	164	"uORF"
"165"	"ENST00000209718.8"	"17"	40936692	40936751	"-"	165	"uORF"
"166"	"ENST00000210187.11"	"16"	2148645	2148770	"+"	166	"uORF"
"167"	"ENST00000210187.11"	"16"	2148648	2148770	"+"	167	"uORF"
"168"	"ENST00000210633.4"	"10"	100969568	100972579	"+"	168	"uORF"
"169"	"ENST00000210633.4"	"10"	100972630	100972680	"+"	169	"uORF"
"170"	"ENST00000210633.4"	"10"	100972646	100972663	"+"	170	"uORF"
"171"	"ENST00000210633.4"	"10"	100972700	100972786	"+"	171	"uORF"
"172"	"ENST00000210633.4"	"10"	100972724	100972786	"+"	172	"uORF"
"173"	"ENST00000210633.4"	"10"	100972750	100972761	"+"	173	"uORF"
"174"	"ENST00000210633.4"	"10"	100972758	100972769	"+"	174	"uORF"
"175"	"ENST00000210633.4"	"10"	100972775	100972786	"+"	175	"uORF"
"176"	"ENST00000210633.4"	"10"	100972783	100972821	"+"	176	"uORF"
"177"	"ENST00000212355.9"	"1"	91885998	91886006	"-"	177	"uORF"
"178"	"ENST00000215057.7"	"19"	58573195	58573296	"-"	178	"uORF"
"179"	"ENST00000215057.7"	"19"	58573195	58573266	"-"	179	"uORF"
"180"	"ENST00000215057.7"	"19"	58573236	58573244	"-"	180	"uORF"
"181"	"ENST00000215555.7"	"19"	8421801	8421818	"+"	181	"uORF"
"182"	"ENST00000215742.9"	"22"	21002082	21002096	"-"	182	"uORF"
"183"	"ENST00000215742.9"	"22"	21001930	21001956	"-"	183	"uORF"
"184"	"ENST00000215794.8"	"22"	18150211	18157584	"+"	184	"uORF"
"185"	"ENST00000215838.8"	"22"	30607199	30607210	"+"	185	"uORF"
"186"	"ENST00000215886.6"	"22"	37579954	37580064	"-"	186	"uORF"
"187"	"ENST00000215886.6"	"22"	37579954	37580001	"-"	187	"uORF"
"188"	"ENST00000215906.6"	"22"	26433569	26433610	"+"	188	"uORF"
"189"	"ENST00000216029.8"	"22"	38656638	38656682	"+"	189	"uORF"
"190"	"ENST00000216085.12"	"22"	29267809	29267898	"-"	190	"uORF"
"191"	"ENST00000216085.12"	"22"	29267801	29267845	"-"	191	"uORF"
"192"	"ENST00000216099.13"	"22"	39021308	39021337	"+"	192	"uORF"
"193"	"ENST00000216106.6"	"22"	35257508	35257555	"+"	193	"uORF"
"194"	"ENST00000216127.5"	"22"	35541292	35541378	"+"	194	"uORF"
"195"	"ENST00000216133.10"	"22"	39152545	39152622	"-"	195	"uORF"
"196"	"ENST00000216144.4"	"22"	29720240	29720272	"+"	196	"uORF"
"197"	"ENST00000216237.10"	"22"	41205320	41205340	"+"	197	"uORF"
"198"	"ENST00000216268.6"	"22"	49853919	49883337	"+"	198	"uORF"
"199"	"ENST00000216268.6"	"22"	49853923	49883437	"+"	199	"uORF"
"200"	"ENST00000216268.6"	"22"	49883337	49883576	"+"	200	"uORF"
"201"	"ENST00000216268.6"	"22"	49883356	49883370	"+"	201	"uORF"
"202"	"ENST00000216268.6"	"22"	49883367	49883576	"+"	202	"uORF"
"203"	"ENST00000216268.6"	"22"	49883434	49883445	"+"	203	"uORF"
"204"	"ENST00000216268.6"	"22"	49883474	49883482	"+"	204	"uORF"
"205"	"ENST00000216268.6"	"22"	49883487	49883576	"+"	205	"uORF"
"206"	"ENST00000216268.6"	"22"	49883520	49883576	"+"	206	"uORF"
"207"	"ENST00000216268.6"	"22"	49883554	49883565	"+"	207	"uORF"
"208"	"ENST00000216268.6"	"22"	49883562	49883576	"+"	208	"uORF"
"209"	"ENST00000216268.6"	"22"	49883602	49883628	"+"	209	"uORF"
"210"	"ENST00000216277.13"	"14"	96502412	96502447	"+"	210	"uORF"
"211"	"ENST00000216277.13"	"14"	96502526	96502567	"+"	211	"uORF"
"212"	"ENST00000216445.8"	"14"	57493837	57493845	"-"	212	"uORF"
"213"	"ENST00000216445.8"	"14"	57493817	57493840	"-"	213	"uORF"
"214"	"ENST00000216445.8"	"14"	57493817	57493831	"-"	214	"uORF"
"215"	"ENST00000216445.8"	"14"	57493788	57493796	"-"	215	"uORF"
"216"	"ENST00000216445.8"	"14"	57493717	57493731	"-"	216	"uORF"
"217"	"ENST00000216487.12"	"14"	92513853	92513897	"+"	217	"uORF"
"218"	"ENST00000216513.5"	"14"	60724270	60724341	"-"	218	"uORF"
"219"	"ENST00000216513.5"	"14"	60724142	60724258	"-"	219	"uORF"
"220"	"ENST00000216554.8"	"14"	103335771	103335839	"+"	220	"uORF"
"221"	"ENST00000216733.8"	"14"	23365078	23365101	"-"	221	"uORF"
"222"	"ENST00000216840.11"	"14"	24271551	24271577	"-"	222	"uORF"
"223"	"ENST00000216862.8"	"20"	54173783	54173986	"-"	223	"uORF"
"224"	"ENST00000216862.8"	"20"	54173783	54173791	"-"	224	"uORF"
"225"	"ENST00000217086.9"	"20"	51802483	51802509	"-"	225	"uORF"
"226"	"ENST00000217233.9"	"20"	380805	381038	"+"	226	"uORF"
"227"	"ENST00000217233.9"	"20"	380840	380884	"+"	227	"uORF"
"228"	"ENST00000217244.9"	"20"	527952	528014	"-"	228	"uORF"
"229"	"ENST00000217244.9"	"20"	527984	528004	"-"	229	"uORF"
"230"	"ENST00000217420.2"	"20"	38724587	38724634	"+"	230	"uORF"
"231"	"ENST00000217455.9"	"20"	45857316	45857369	"-"	231	"uORF"
"232"	"ENST00000217893.10"	"5"	69365750	69369490	"-"	232	"uORF"
"233"	"ENST00000217893.10"	"5"	69366512	69366526	"-"	233	"uORF"
"234"	"ENST00000217939.7"	"X"	3346584	3346610	"-"	234	"uORF"
"235"	"ENST00000218006.3"	"X"	109482033	109482065	"-"	235	"uORF"
"236"	"ENST00000218006.3"	"X"	109481967	109482008	"-"	236	"uORF"
"237"	"ENST00000218006.3"	"X"	109481928	109481966	"-"	237	"uORF"
"238"	"ENST00000218006.3"	"X"	109481896	109481955	"-"	238	"uORF"
"239"	"ENST00000218006.3"	"X"	109481928	109481945	"-"	239	"uORF"
"240"	"ENST00000218006.3"	"X"	109481896	109481925	"-"	240	"uORF"
"241"	"ENST00000218006.3"	"X"	109481896	109481910	"-"	241	"uORF"
"242"	"ENST00000218032.7"	"X"	12906683	12906694	"+"	242	"uORF"
"243"	"ENST00000218075.9"	"X"	14529723	14529755	"+"	243	"uORF"
"244"	"ENST00000218075.9"	"X"	14529749	14529769	"+"	244	"uORF"
"245"	"ENST00000218075.9"	"X"	14529755	14529769	"+"	245	"uORF"
"246"	"ENST00000218075.9"	"X"	14529844	14529870	"+"	246	"uORF"
"247"	"ENST00000218075.9"	"X"	14529873	14529986	"+"	247	"uORF"
"248"	"ENST00000218075.9"	"X"	14529876	14529986	"+"	248	"uORF"
"249"	"ENST00000218176.4"	"X"	48971088	48971570	"-"	249	"uORF"
"250"	"ENST00000218176.4"	"X"	48971332	48971553	"-"	250	"uORF"
"251"	"ENST00000218176.4"	"X"	48970858	48970917	"-"	251	"uORF"
"252"	"ENST00000218176.4"	"X"	48970878	48970892	"-"	252	"uORF"
"253"	"ENST00000218176.4"	"X"	48970685	48970870	"-"	253	"uORF"
"254"	"ENST00000218176.4"	"X"	48970636	48970743	"-"	254	"uORF"
"255"	"ENST00000218176.4"	"X"	48970426	48970518	"-"	255	"uORF"
"256"	"ENST00000218176.4"	"X"	48970394	48970456	"-"	256	"uORF"
"257"	"ENST00000219069.6"	"16"	3283606	3283647	"+"	257	"uORF"
"258"	"ENST00000219069.6"	"16"	3283751	3283798	"+"	258	"uORF"
"259"	"ENST00000219070.9"	"16"	55479324	55479335	"+"	259	"uORF"
"260"	"ENST00000219197.11"	"16"	49281683	49281721	"-"	260	"uORF"
"261"	"ENST00000219271.4"	"16"	58025970	58026029	"+"	261	"uORF"
"262"	"ENST00000219320.9"	"16"	58684162	58684765	"-"	262	"uORF"
"263"	"ENST00000219320.9"	"16"	58684074	58684761	"-"	263	"uORF"
"264"	"ENST00000219320.9"	"16"	58684074	58684169	"-"	264	"uORF"
"265"	"ENST00000219320.9"	"16"	58680169	58680180	"-"	265	"uORF"
"266"	"ENST00000219334.10"	"16"	68372344	68372367	"-"	266	"uORF"
"267"	"ENST00000219334.10"	"16"	68372288	68372347	"-"	267	"uORF"
"268"	"ENST00000219343.11"	"16"	68266674	68266700	"+"	268	"uORF"
"269"	"ENST00000219343.11"	"16"	68266689	68266700	"+"	269	"uORF"
"270"	"ENST00000219473.12"	"16"	84700008	84700079	"+"	270	"uORF"
"271"	"ENST00000219473.12"	"16"	84700024	84700050	"+"	271	"uORF"
"272"	"ENST00000219611.7"	"16"	536042	536059	"+"	272	"uORF"
"273"	"ENST00000219689.12"	"16"	23149292	23149342	"-"	273	"uORF"
"274"	"ENST00000219789.11"	"16"	29862929	29863027	"-"	274	"uORF"
"275"	"ENST00000219789.11"	"16"	29862929	29862949	"-"	275	"uORF"
"276"	"ENST00000219794.11"	"16"	31109047	31109106	"+"	276	"uORF"
"277"	"ENST00000220003.14"	"15"	74782652	74782675	"+"	277	"uORF"
"278"	"ENST00000220003.14"	"15"	74782675	74798270	"+"	278	"uORF"
"279"	"ENST00000220003.14"	"15"	74798238	74798270	"+"	279	"uORF"
"280"	"ENST00000220562.9"	"8"	28701520	28701648	"+"	280	"uORF"
"281"	"ENST00000220562.9"	"8"	28713509	28715590	"+"	281	"uORF"
"282"	"ENST00000220562.9"	"8"	28713548	28715590	"+"	282	"uORF"
"283"	"ENST00000220562.9"	"8"	28715668	28715718	"+"	283	"uORF"
"284"	"ENST00000220562.9"	"8"	28715708	28715902	"+"	284	"uORF"
"285"	"ENST00000220562.9"	"8"	28715794	28715826	"+"	285	"uORF"
"286"	"ENST00000220562.9"	"8"	28715831	28715902	"+"	286	"uORF"
"287"	"ENST00000220562.9"	"8"	28715908	28715976	"+"	287	"uORF"
"288"	"ENST00000220562.9"	"8"	28715913	28716023	"+"	288	"uORF"
"289"	"ENST00000220562.9"	"8"	28716007	28716033	"+"	289	"uORF"
"290"	"ENST00000220562.9"	"8"	28716013	28716033	"+"	290	"uORF"
"291"	"ENST00000220597.4"	"8"	81111742	81111765	"-"	291	"uORF"
"292"	"ENST00000220597.4"	"8"	80993265	80993288	"-"	292	"uORF"
"293"	"ENST00000220676.2"	"8"	54616112	54616132	"+"	293	"uORF"
"294"	"ENST00000220751.5"	"8"	89757907	89757927	"+"	294	"uORF"
"295"	"ENST00000220931.11"	"8"	101790863	101790946	"-"	295	"uORF"
"296"	"ENST00000220931.11"	"8"	101790885	101790896	"-"	296	"uORF"
"297"	"ENST00000221232.11"	"19"	54142948	54142968	"+"	297	"uORF"
"298"	"ENST00000221315.10"	"19"	52047017	52048824	"-"	298	"uORF"
"299"	"ENST00000221315.10"	"19"	52046991	52047020	"-"	299	"uORF"
"300"	"ENST00000221315.10"	"19"	52046959	52046988	"-"	300	"uORF"
"301"	"ENST00000221462.9"	"19"	45093238	45093309	"+"	301	"uORF"
"302"	"ENST00000221462.9"	"19"	45093289	45093309	"+"	302	"uORF"
"303"	"ENST00000221554.13"	"19"	13751624	13751656	"+"	303	"uORF"
"304"	"ENST00000221554.13"	"19"	13751633	13751656	"+"	304	"uORF"
"305"	"ENST00000221665.5"	"19"	55597900	55599495	"-"	305	"uORF"
"306"	"ENST00000221730.8"	"19"	15232286	15232297	"-"	306	"uORF"
"307"	"ENST00000221856.11"	"19"	4304601	4304624	"+"	307	"uORF"
"308"	"ENST00000221856.11"	"19"	4304613	4304624	"+"	308	"uORF"
"309"	"ENST00000222033.6"	"19"	5455426	5455467	"+"	309	"uORF"
"310"	"ENST00000222122.10"	"19"	48637147	48637215	"-"	310	"uORF"
"311"	"ENST00000222122.10"	"19"	48637017	48637028	"-"	311	"uORF"
"312"	"ENST00000222248.4"	"19"	17872024	17872047	"+"	312	"uORF"
"313"	"ENST00000222254.13"	"19"	18155481	18155573	"+"	313	"uORF"
"314"	"ENST00000222254.13"	"19"	18155550	18155573	"+"	314	"uORF"
"315"	"ENST00000222254.13"	"19"	18155600	18155623	"+"	315	"uORF"
"316"	"ENST00000222254.13"	"19"	18155612	18155623	"+"	316	"uORF"
"317"	"ENST00000222254.13"	"19"	18155664	18155714	"+"	317	"uORF"
"318"	"ENST00000222254.13"	"19"	18155701	18155709	"+"	318	"uORF"
"319"	"ENST00000222254.13"	"19"	18155723	18155749	"+"	319	"uORF"
"320"	"ENST00000222254.13"	"19"	18155817	18155849	"+"	320	"uORF"
"321"	"ENST00000222286.9"	"19"	35533507	35533521	"+"	321	"uORF"
"322"	"ENST00000222345.11"	"19"	38029089	38029103	"+"	322	"uORF"
"323"	"ENST00000222345.11"	"19"	38081257	38081328	"+"	323	"uORF"
"324"	"ENST00000222345.11"	"19"	38081399	38081497	"+"	324	"uORF"
"325"	"ENST00000222345.11"	"19"	38081490	38081516	"+"	325	"uORF"
"326"	"ENST00000222462.3"	"7"	121329022	121329198	"+"	326	"uORF"
"327"	"ENST00000222462.3"	"7"	121329164	121329217	"+"	327	"uORF"
"328"	"ENST00000222547.8"	"7"	94004298	94004351	"-"	328	"uORF"
"329"	"ENST00000222573.5"	"7"	20331075	20331116	"+"	329	"uORF"
"330"	"ENST00000222573.5"	"7"	20331238	20331285	"+"	330	"uORF"
"331"	"ENST00000222573.5"	"7"	20331285	20331365	"+"	331	"uORF"
"332"	"ENST00000222573.5"	"7"	20331355	20331405	"+"	332	"uORF"
"333"	"ENST00000222573.5"	"7"	20331435	20331620	"+"	333	"uORF"
"334"	"ENST00000222573.5"	"7"	20331622	20331708	"+"	334	"uORF"
"335"	"ENST00000222574.9"	"7"	107169013	107169057	"+"	335	"uORF"
"336"	"ENST00000222644.10"	"7"	24573490	24573519	"+"	336	"uORF"
"337"	"ENST00000222718.7"	"7"	27102522	27102608	"-"	337	"uORF"
"338"	"ENST00000222747.8"	"7"	120857883	120857927	"-"	338	"uORF"
"339"	"ENST00000222747.8"	"7"	120856796	120857886	"-"	339	"uORF"
"340"	"ENST00000222747.8"	"7"	120856796	120856804	"-"	340	"uORF"
"341"	"ENST00000222792.11"	"7"	29194841	29194912	"+"	341	"uORF"
"342"	"ENST00000222803.10"	"7"	30026632	30026649	"-"	342	"uORF"
"343"	"ENST00000222803.10"	"7"	30026534	30026566	"-"	343	"uORF"
"344"	"ENST00000222823.9"	"7"	30478619	30478669	"-"	344	"uORF"
"345"	"ENST00000222823.9"	"7"	30459208	30459999	"-"	345	"uORF"
"346"	"ENST00000222823.9"	"7"	30459208	30459933	"-"	346	"uORF"
"347"	"ENST00000222823.9"	"7"	30459193	30459204	"-"	347	"uORF"
