"transcript" "orf_type" "count"
"140" "ENST00000220676.2" "uORF" 1
"141" "ENST00000220751.5" "uORF" 1
"142" "ENST00000220931.11" "uORF" 2
"143" "ENST00000221232.11" "uORF" 1
"144" "ENST00000221315.10" "uORF" 3
"145" "ENST00000221462.9" "uORF" 2
"146" "ENST00000221466.10" "start-stop" 1
"147" "ENST00000221554.13" "uORF" 2
"148" "ENST00000221665.5" "uORF" 1
"149" "ENST00000221730.8" "uORF" 1
"150" "ENST00000221856.11" "uORF" 2
"151" "ENST00000222033.6" "uORF" 1
"152" "ENST00000222122.10" "uORF" 2
"153" "ENST00000222219.8" "start-stop" 1
"154" "ENST00000222248.4" "uORF" 1
"155" "ENST00000222254.13" "uORF" 8
"156" "ENST00000222286.9" "uORF" 1
"157" "ENST00000222345.11" "uORF" 4
"158" "ENST00000222462.3" "uORF" 2
"159" "ENST00000222547.8" "uORF" 1
"160" "ENST00000222573.5" "uORF" 6
"161" "ENST00000222574.9" "uORF" 1
"162" "ENST00000222644.10" "uORF" 1
"163" "ENST00000222718.7" "uORF" 1
"164" "ENST00000222747.8" "uORF" 3
"165" "ENST00000222792.11" "uORF" 1
"166" "ENST00000222803.10" "uORF" 2
"167" "ENST00000222823.9" "uORF" 6
"168" "ENST00000222969.10" "uORF" 3
"169" "ENST00000223023.5" "uORF" 1
"170" "ENST00000223026.9" "uORF" 9
"171" "ENST00000223127.8" "uORF" 1
"172" "ENST00000223129.8" "start-stop" 3
"173" "ENST00000223129.8" "uORF" 10
"174" "ENST00000223136.5" "uORF" 1
"175" "ENST00000223145.10" "uORF" 1
"176" "ENST00000223167.5" "uORF" 5
"177" "ENST00000223215.10" "uORF" 1
"178" "ENST00000223398.11" "uORF" 2
"179" "ENST00000223428.9" "uORF" 1
"180" "ENST00000223795.3" "uORF" 5
"181" "ENST00000224140.6" "uORF" 4
"182" "ENST00000224337.10" "uORF" 1
"183" "ENST00000224721.12" "uORF" 2
"184" "ENST00000225171.7" "uORF" 3
"185" "ENST00000225275.4" "uORF" 1
"186" "ENST00000225737.11" "uORF" 1
"187" "ENST00000225823.7" "uORF" 3
"188" "ENST00000225873.9" "uORF" 1
"189" "ENST00000225916.10" "uORF" 1
"190" "ENST00000225964.10" "uORF" 2
"191" "ENST00000226067.10" "uORF" 4
"192" "ENST00000226091.3" "uORF" 1
"193" "ENST00000226105.11" "uORF" 2
"194" "ENST00000226225.7" "uORF" 1
"195" "ENST00000226299.9" "uORF" 1
"196" "ENST00000226413.5" "uORF" 1
"197" "ENST00000226574.9" "uORF" 1
"198" "ENST00000226725.11" "uORF" 2
"199" "ENST00000226730.5" "start-stop" 2
"200" "ENST00000226730.5" "uORF" 3
"201" "ENST00000227349.7" "uORF" 2
"202" "ENST00000227451.4" "uORF" 1
"203" "ENST00000227525.8" "uORF" 1
"204" "ENST00000227618.9" "uORF" 1
"205" "ENST00000227638.8" "uORF" 2
"206" "ENST00000227756.5" "uORF" 1
"207" "ENST00000227758.7" "start-stop" 2
"208" "ENST00000227758.7" "uORF" 23
"209" "ENST00000228027.12" "uORF" 1
"210" "ENST00000228425.11" "uORF" 1
"211" "ENST00000228437.10" "uORF" 3
"212" "ENST00000228438.3" "uORF" 1
"213" "ENST00000228506.8" "uORF" 1
"214" "ENST00000228515.6" "uORF" 1
"215" "ENST00000228567.7" "uORF" 3
"216" "ENST00000228705.7" "uORF" 3
"217" "ENST00000228741.8" "uORF" 2
"218" "ENST00000228837.3" "uORF" 2
"219" "ENST00000228850.6" "start-stop" 1
"220" "ENST00000228850.6" "uORF" 4
"221" "ENST00000228865.3" "uORF" 1
"222" "ENST00000228918.9" "uORF" 1
"223" "ENST00000228936.6" "uORF" 2
"224" "ENST00000229030.5" "uORF" 1
"225" "ENST00000229195.8" "uORF" 1
"226" "ENST00000229238.5" "uORF" 1
"227" "ENST00000229307.9" "uORF" 2
"228" "ENST00000229332.12" "uORF" 4
"229" "ENST00000229390.8" "uORF" 1
"230" "ENST00000229395.8" "uORF" 1
"231" "ENST00000229554.10" "uORF" 1
"232" "ENST00000229595.6" "uORF" 1
"233" "ENST00000229955.4" "uORF" 7
"234" "ENST00000230053.11" "start-stop" 1
"235" "ENST00000230053.11" "uORF" 1
"236" "ENST00000230124.8" "uORF" 2
"237" "ENST00000230256.8" "uORF" 4
"238" "ENST00000230321.11" "uORF" 2
"239" "ENST00000230361.4" "uORF" 2
"240" "ENST00000230381.7" "uORF" 1
"241" "ENST00000230859.8" "uORF" 1
"242" "ENST00000230882.9" "uORF" 2
"243" "ENST00000231021.9" "uORF" 2
"244" "ENST00000231121.3" "uORF" 1
"245" "ENST00000231134.8" "uORF" 1
"246" "ENST00000231136.4" "uORF" 2
"247" "ENST00000231137.6" "uORF" 1
"248" "ENST00000231173.6" "uORF" 1
"249" "ENST00000231357.7" "uORF" 2
"250" "ENST00000231461.10" "uORF" 1
"251" "ENST00000231484.4" "uORF" 3
"252" "ENST00000231706.6" "uORF" 2
"253" "ENST00000231749.8" "start-stop" 1
"254" "ENST00000231749.8" "uORF" 1
"255" "ENST00000232003.5" "uORF" 1
"256" "ENST00000232496.5" "uORF" 2
"257" "ENST00000232974.11" "uORF" 2
"258" "ENST00000233027.10" "uORF" 1
"259" "ENST00000233047.9" "uORF" 1
"260" "ENST00000233057.9" "uORF" 1
"261" "ENST00000233072.10" "start-stop" 1
"262" "ENST00000233154.9" "uORF" 1
"263" "ENST00000233468.5" "uORF" 1
"264" "ENST00000233575.7" "uORF" 1
"265" "ENST00000233615.7" "uORF" 4
"266" "ENST00000233638.8" "uORF" 2
"267" "ENST00000233948.4" "uORF" 1
"268" "ENST00000233954.6" "uORF" 3
"269" "ENST00000233969.3" "uORF" 2
"270" "ENST00000234111.9" "uORF" 1
"271" "ENST00000234179.8" "uORF" 10
"272" "ENST00000234198.9" "uORF" 1
"273" "ENST00000234313.8" "uORF" 1
"274" "ENST00000234420.11" "uORF" 1
"275" "ENST00000234453.10" "uORF" 3
"276" "ENST00000234626.11" "start-stop" 1
"277" "ENST00000234739.8" "start-stop" 1
"278" "ENST00000234739.8" "uORF" 7
"279" "ENST00000234816.7" "uORF" 4
"280" "ENST00000235307.7" "uORF" 2
"281" "ENST00000235329.10" "uORF" 4
"282" "ENST00000235332.6" "uORF" 1
"283" "ENST00000236192.12" "uORF" 1
"284" "ENST00000236342.12" "uORF" 1
"285" "ENST00000236709.4" "start-stop" 1
"286" "ENST00000236826.8" "uORF" 2
"287" "ENST00000237172.12" "uORF" 1
"288" "ENST00000237264.9" "start-stop" 1
"289" "ENST00000237264.9" "uORF" 1
"290" "ENST00000237275.9" "uORF" 2
"291" "ENST00000237353.15" "uORF" 2
"292" "ENST00000237455.5" "uORF" 4
"293" "ENST00000237536.9" "uORF" 1
"294" "ENST00000237596.7" "uORF" 1
"295" "ENST00000237612.8" "uORF" 1
"296" "ENST00000237654.9" "uORF" 4
"297" "ENST00000237853.9" "uORF" 2
"298" "ENST00000238112.8" "uORF" 1
"299" "ENST00000238156.8" "uORF" 2
"300" "ENST00000238647.5" "uORF" 1
"301" "ENST00000238682.8" "uORF" 10
"302" "ENST00000238714.8" "uORF" 1
"303" "ENST00000238721.9" "uORF" 1
"304" "ENST00000238738.9" "uORF" 2
"305" "ENST00000238789.10" "uORF" 1
"306" "ENST00000238823.13" "uORF" 1
"307" "ENST00000238831.9" "uORF" 1
"308" "ENST00000238936.8" "uORF" 2
"309" "ENST00000239144.5" "start-stop" 1
"310" "ENST00000239144.5" "uORF" 8
"311" "ENST00000239367.7" "uORF" 1
"312" "ENST00000239440.9" "uORF" 1
"313" "ENST00000239446.6" "uORF" 4
"314" "ENST00000239859.8" "uORF" 1
"315" "ENST00000239882.7" "uORF" 2
"316" "ENST00000239906.10" "uORF" 2
"317" "ENST00000239926.9" "uORF" 1
"318" "ENST00000239938.5" "start-stop" 1
"319" "ENST00000240050.9" "uORF" 4
"320" "ENST00000240093.8" "start-stop" 1
"321" "ENST00000240093.8" "uORF" 8
"322" "ENST00000240100.7" "start-stop" 1
"323" "ENST00000240123.12" "uORF" 1
"324" "ENST00000240285.10" "uORF" 1
"325" "ENST00000240306.5" "uORF" 3
"326" "ENST00000240328.4" "start-stop" 1
"327" "ENST00000240333.12" "uORF" 2
"328" "ENST00000240499.8" "uORF" 1
"329" "ENST00000240615.3" "uORF" 4
"330" "ENST00000240619.3" "start-stop" 1
"331" "ENST00000240619.3" "uORF" 1
"332" "ENST00000240662.3" "uORF" 1
"333" "ENST00000240687.2" "uORF" 1
"334" "ENST00000241071.11" "uORF" 1
"335" "ENST00000241125.4" "uORF" 1
"336" "ENST00000241356.5" "uORF" 3
"337" "ENST00000241416.12" "uORF" 1
"338" "ENST00000241891.10" "uORF" 1
"339" "ENST00000242067.11" "uORF" 2
"340" "ENST00000242104.6" "uORF" 2
"341" "ENST00000242108.9" "uORF" 2
"342" "ENST00000242159.5" "uORF" 1
"343" "ENST00000242208.5" "uORF" 2
"344" "ENST00000242275.7" "uORF" 3
"345" "ENST00000242577.11" "uORF" 1
"346" "ENST00000242591.10" "uORF" 3
"347" "ENST00000242719.4" "uORF" 2
"348" "ENST00000242804.9" "uORF" 5
"349" "ENST00000242810.11" "start-stop" 1
"350" "ENST00000242810.11" "uORF" 1
"351" "ENST00000242819.7" "uORF" 2
"352" "ENST00000242994.4" "uORF" 2
"353" "ENST00000243077.8" "uORF" 2
"354" "ENST00000243213.2" "uORF" 1
"355" "ENST00000243349.13" "uORF" 1
"356" "ENST00000243389.8" "uORF" 1
"357" "ENST00000243457.4" "uORF" 6
"358" "ENST00000243501.10" "uORF" 1
"359" "ENST00000243578.8" "uORF" 1
"360" "ENST00000243918.10" "uORF" 1
"361" "ENST00000243938.9" "uORF" 1
"362" "ENST00000244040.4" "uORF" 2
"363" "ENST00000244230.7" "uORF" 1
"364" "ENST00000244289.9" "uORF" 4
"365" "ENST00000244458.7" "uORF" 2
"366" "ENST00000244519.7" "uORF" 3
"367" "ENST00000244534.7" "uORF" 1
"368" "ENST00000244576.9" "uORF" 6
"369" "ENST00000244745.4" "uORF" 3
"370" "ENST00000244766.7" "uORF" 2
"371" "ENST00000245105.8" "start-stop" 1
"372" "ENST00000245222.9" "start-stop" 1
"373" "ENST00000245222.9" "uORF" 1
"374" "ENST00000245255.7" "uORF" 1
"375" "ENST00000245304.5" "uORF" 1
"376" "ENST00000245312.5" "uORF" 1
"377" "ENST00000245407.8" "start-stop" 1
"378" "ENST00000245451.9" "uORF" 3
"379" "ENST00000245663.9" "uORF" 1
"380" "ENST00000245680.7" "uORF" 1
"381" "ENST00000245787.9" "uORF" 2
"382" "ENST00000245796.11" "uORF" 1
"383" "ENST00000245908.11" "uORF" 1
"384" "ENST00000245923.9" "uORF" 1
"385" "ENST00000245932.11" "uORF" 1
"386" "ENST00000245934.12" "uORF" 1
"387" "ENST00000246012.2" "uORF" 2
"388" "ENST00000246090.6" "uORF" 1
"389" "ENST00000246117.9" "uORF" 1
"390" "ENST00000246166.3" "uORF" 1
"391" "ENST00000246229.5" "uORF" 4
"392" "ENST00000246529.4" "uORF" 4
"393" "ENST00000246553.4" "uORF" 27
"394" "ENST00000246672.4" "uORF" 2
"395" "ENST00000246949.10" "uORF" 1
"396" "ENST00000247005.8" "uORF" 15
"397" "ENST00000247271.5" "uORF" 1
"398" "ENST00000247706.4" "start-stop" 1
"399" "ENST00000247706.4" "uORF" 1
"400" "ENST00000247815.9" "uORF" 3
"401" "ENST00000247829.8" "uORF" 2
"402" "ENST00000247843.7" "uORF" 1
"403" "ENST00000247879.2" "uORF" 1
"404" "ENST00000247881.4" "start-stop" 3
"405" "ENST00000247881.4" "uORF" 30
"406" "ENST00000247930.5" "uORF" 1
"407" "ENST00000247956.11" "uORF" 3
"408" "ENST00000248211.11" "uORF" 1
"409" "ENST00000248248.8" "uORF" 1
"410" "ENST00000248378.6" "uORF" 1
"411" "ENST00000248484.9" "uORF" 5
"412" "ENST00000248572.10" "uORF" 1
"413" "ENST00000248668.5" "uORF" 1
"414" "ENST00000248879.8" "uORF" 1
"415" "ENST00000248929.14" "uORF" 2
"416" "ENST00000249007.4" "uORF" 3
"417" "ENST00000249014.5" "uORF" 2
"418" "ENST00000249075.4" "uORF" 1
"419" "ENST00000249363.4" "uORF" 4
"420" "ENST00000249373.8" "uORF" 3
"421" "ENST00000249601.9" "start-stop" 1
"422" "ENST00000249601.9" "uORF" 6
"423" "ENST00000249700.9" "uORF" 3
"424" "ENST00000249842.8" "uORF" 2
"425" "ENST00000250024.9" "uORF" 2
"426" "ENST00000250055.3" "uORF" 1
"427" "ENST00000250160.11" "uORF" 1
"428" "ENST00000250383.11" "uORF" 3
"429" "ENST00000250405.10" "uORF" 1
"430" "ENST00000250535.5" "uORF" 1
"431" "ENST00000250693.2" "uORF" 1
"432" "ENST00000250831.6" "uORF" 1
"433" "ENST00000250838.6" "uORF" 4
"434" "ENST00000251127.11" "uORF" 1
"435" "ENST00000251268.11" "uORF" 7
"436" "ENST00000251296.4" "uORF" 1
"437" "ENST00000251334.7" "uORF" 2
"438" "ENST00000251372.8" "uORF" 3
"439" "ENST00000251412.8" "uORF" 2
"440" "ENST00000251607.11" "uORF" 1
"441" "ENST00000251636.10" "start-stop" 1
"442" "ENST00000251691.5" "uORF" 1
"443" "ENST00000251822.7" "start-stop" 1
"444" "ENST00000251822.7" "uORF" 3
"445" "ENST00000251849.9" "start-stop" 1
"446" "ENST00000251849.9" "uORF" 2
"447" "ENST00000251900.9" "uORF" 1
"448" "ENST00000252037.5" "uORF" 3
"449" "ENST00000252085.4" "uORF" 3
"450" "ENST00000252108.8" "uORF" 1
"451" "ENST00000252136.12" "uORF" 1
"452" "ENST00000252211.7" "uORF" 1
"453" "ENST00000252318.7" "uORF" 1
"454" "ENST00000252338.5" "uORF" 4
"455" "ENST00000252505.4" "uORF" 2
"456" "ENST00000252519.8" "start-stop" 1
"457" "ENST00000252575.11" "uORF" 1
"458" "ENST00000252674.9" "uORF" 1
"459" "ENST00000252723.3" "uORF" 2
"460" "ENST00000252729.7" "uORF" 2
"461" "ENST00000252840.11" "uORF" 1
"462" "ENST00000252936.8" "uORF" 1
"463" "ENST00000252951.3" "uORF" 1
"464" "ENST00000252971.11" "uORF" 1
"465" "ENST00000252998.2" "uORF" 2
"466" "ENST00000253024.10" "uORF" 2
"467" "ENST00000253055.8" "uORF" 3
"468" "ENST00000253063.4" "uORF" 1
"469" "ENST00000253079.11" "uORF" 1
"470" "ENST00000253115.7" "uORF" 4
"471" "ENST00000253122.10" "uORF" 2
"472" "ENST00000253193.9" "uORF" 1
"473" "ENST00000253363.11" "start-stop" 1
"474" "ENST00000253363.11" "uORF" 1
"475" "ENST00000253407.4" "uORF" 1
"476" "ENST00000253410.3" "uORF" 7
"477" "ENST00000253697.8" "uORF" 6
"478" "ENST00000253699.7" "start-stop" 1
"479" "ENST00000253699.7" "uORF" 12
"480" "ENST00000253727.10" "uORF" 1
"481" "ENST00000253807.3" "uORF" 2
"482" "ENST00000253812.8" "uORF" 1
"483" "ENST00000253928.14" "uORF" 2
"484" "ENST00000253968.11" "uORF" 1
"485" "ENST00000254051.11" "uORF" 1
"486" "ENST00000254066.10" "uORF" 2
"487" "ENST00000254166.4" "uORF" 1
"488" "ENST00000254181.9" "uORF" 6
"489" "ENST00000254190.4" "uORF" 4
"490" "ENST00000254250.7" "uORF" 3
"491" "ENST00000254442.8" "uORF" 2
"492" "ENST00000254579.11" "uORF" 2
"493" "ENST00000254624.10" "uORF" 1
"494" "ENST00000254667.8" "uORF" 1
"495" "ENST00000254765.4" "uORF" 4
"496" "ENST00000254770.3" "uORF" 2
"497" "ENST00000254853.10" "uORF" 3
"498" "ENST00000254958.10" "uORF" 1
"499" "ENST00000254976.7" "uORF" 1
"500" "ENST00000255006.12" "uORF" 3
"501" "ENST00000255039.6" "uORF" 1
"502" "ENST00000255040.3" "uORF" 1
"503" "ENST00000255082.8" "uORF" 1
"504" "ENST00000255108.8" "uORF" 1
"505" "ENST00000255198.3" "uORF" 3
"506" "ENST00000255226.11" "uORF" 1
"507" "ENST00000255266.10" "uORF" 1
"508" "ENST00000255304.9" "uORF" 1
"509" "ENST00000255613.8" "uORF" 2
"510" "ENST00000255641.13" "uORF" 4
"511" "ENST00000255977.7" "start-stop" 1
"512" "ENST00000256015.5" "start-stop" 1
"513" "ENST00000256015.5" "uORF" 2
"514" "ENST00000256079.9" "uORF" 1
"515" "ENST00000256084.8" "uORF" 1
"516" "ENST00000256178.8" "uORF" 1
"517" "ENST00000256190.13" "uORF" 1
"518" "ENST00000256261.9" "start-stop" 1
"519" "ENST00000256261.9" "uORF" 4
"520" "ENST00000256319.7" "uORF" 1
"521" "ENST00000256324.15" "uORF" 2
"522" "ENST00000256343.8" "uORF" 1
"523" "ENST00000256362.5" "uORF" 3
"524" "ENST00000256367.3" "uORF" 1
"525" "ENST00000256383.11" "uORF" 1
"526" "ENST00000256389.5" "uORF" 4
"527" "ENST00000256412.8" "start-stop" 1
"528" "ENST00000256412.8" "uORF" 4
"529" "ENST00000256447.5" "uORF" 1
"530" "ENST00000256495.4" "uORF" 1
"531" "ENST00000256544.8" "uORF" 1
"532" "ENST00000256649.9" "uORF" 2
"533" "ENST00000256689.10" "uORF" 1
"534" "ENST00000256707.8" "uORF" 1
"535" "ENST00000256785.5" "uORF" 1
"536" "ENST00000256854.10" "uORF" 1
"537" "ENST00000256906.5" "start-stop" 1
"538" "ENST00000256925.12" "uORF" 1
"539" "ENST00000256953.6" "uORF" 2
"540" "ENST00000256969.7" "uORF" 2
"541" "ENST00000256996.9" "uORF" 2
"542" "ENST00000257177.9" "uORF" 2
"543" "ENST00000257181.10" "start-stop" 1
"544" "ENST00000257181.10" "uORF" 1
"545" "ENST00000257192.5" "start-stop" 2
"546" "ENST00000257215.10" "uORF" 1
"547" "ENST00000257287.5" "uORF" 1
"548" "ENST00000257290.10" "uORF" 1
"549" "ENST00000257336.6" "uORF" 5
"550" "ENST00000257527.9" "uORF" 1
"551" "ENST00000257536.13" "uORF" 1
"552" "ENST00000257555.11" "start-stop" 1
"553" "ENST00000257575.9" "uORF" 4
"554" "ENST00000257627.5" "uORF" 2
"555" "ENST00000257637.8" "uORF" 3
"556" "ENST00000257663.4" "start-stop" 1
"557" "ENST00000257694.13" "uORF" 6
"558" "ENST00000257749.9" "start-stop" 1
"559" "ENST00000257749.9" "uORF" 10
"560" "ENST00000257765.10" "uORF" 1
"561" "ENST00000257818.3" "uORF" 3
"562" "ENST00000257831.8" "uORF" 1
"563" "ENST00000257836.4" "uORF" 1
"564" "ENST00000257894.2" "uORF" 1
"565" "ENST00000257904.11" "uORF" 2
"566" "ENST00000257915.10" "uORF" 2
"567" "ENST00000257940.7" "uORF" 1
"568" "ENST00000257981.7" "uORF" 2
"569" "ENST00000258042.2" "uORF" 7
"570" "ENST00000258111.5" "uORF" 1
"571" "ENST00000258149.11" "uORF" 2
"572" "ENST00000258168.7" "start-stop" 2
"573" "ENST00000258214.3" "uORF" 1
"574" "ENST00000258229.14" "uORF" 1
"575" "ENST00000258281.7" "uORF" 1
"576" "ENST00000258399.8" "uORF" 2
"577" "ENST00000258400.4" "uORF" 9
"578" "ENST00000258411.8" "uORF" 1
"579" "ENST00000258443.7" "uORF" 1
"580" "ENST00000258456.3" "uORF" 1
"581" "ENST00000258484.11" "uORF" 4
"582" "ENST00000258499.8" "uORF" 3
"583" "ENST00000258526.9" "uORF" 2
"584" "ENST00000258538.8" "uORF" 2
"585" "ENST00000258613.5" "uORF" 1
"586" "ENST00000258729.8" "uORF" 1
"587" "ENST00000258770.8" "uORF" 1
"588" "ENST00000258781.11" "start-stop" 1
"589" "ENST00000258796.12" "uORF" 2
"590" "ENST00000258829.6" "uORF" 2
"591" "ENST00000259056.5" "uORF" 5
"592" "ENST00000259089.9" "uORF" 4
"593" "ENST00000259119.9" "uORF" 6
"594" "ENST00000259199.9" "start-stop" 1
"595" "ENST00000259199.9" "uORF" 1
"596" "ENST00000259211.7" "uORF" 2
"597" "ENST00000259216.6" "uORF" 2
"598" "ENST00000259241.7" "uORF" 1
"599" "ENST00000259351.10" "uORF" 1
"600" "ENST00000259400.11" "uORF" 1
"601" "ENST00000259407.7" "start-stop" 1
"602" "ENST00000259455.4" "uORF" 1
"603" "ENST00000259605.11" "uORF" 1
"604" "ENST00000259608.8" "uORF" 1
"605" "ENST00000259711.11" "uORF" 1
"606" "ENST00000259750.9" "uORF" 2
"607" "ENST00000259782.9" "uORF" 1
"608" "ENST00000259803.8" "uORF" 1
"609" "ENST00000259881.10" "uORF" 3
"610" "ENST00000259895.9" "uORF" 1
"611" "ENST00000259939.4" "uORF" 1
"612" "ENST00000260061.9" "uORF" 1
"613" "ENST00000260113.7" "uORF" 1
"614" "ENST00000260126.9" "uORF" 4
"615" "ENST00000260187.7" "uORF" 1
"616" "ENST00000260323.16" "uORF" 15
"617" "ENST00000260327.9" "uORF" 2
"618" "ENST00000260361.9" "uORF" 1
"619" "ENST00000260402.8" "uORF" 3
"620" "ENST00000260408.8" "uORF" 1
"621" "ENST00000260502.11" "uORF" 1
"622" "ENST00000260505.13" "uORF" 2
"623" "ENST00000260526.11" "uORF" 2
"624" "ENST00000260598.10" "uORF" 1
"625" "ENST00000260643.7" "uORF" 2
"626" "ENST00000260653.5" "uORF" 3
"627" "ENST00000260723.6" "start-stop" 1
"628" "ENST00000260723.6" "uORF" 2
"629" "ENST00000260743.10" "uORF" 3
"630" "ENST00000260818.11" "uORF" 1
"631" "ENST00000260843.5" "uORF" 5
"632" "ENST00000260950.5" "uORF" 1
