"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_start" "aug_end" "cadd_start" "stop" "stop_end" "cadd_stop"
"52" "ENST00000057513.8" "4" 121164246 121164278 "-" 52 "uORF" 121164276 121164278 0.127016222222222 121164246 121164248 0.315559111111111
"53" "ENST00000057513.8" "4" 121164241 121164249 "-" 53 "uORF" 121164247 121164249 0.275306444444445 121164241 121164243 0.405172222222222
"54" "ENST00000057513.8" "4" 121164221 121164235 "-" 54 "uORF" 121164233 121164235 -0.168290222222222 121164221 121164223 -0.010238888888889
"55" "ENST00000060969.6" "1" 114780643 114780684 "-" 55 "uORF" 114780682 114780684 0.452614888888889 114780643 114780645 0.671391777777778
"60" "ENST00000064571.3" "20" 56005036 56005092 "-" 60 "uORF" 56005090 56005092 1.07136566666667 56005036 56005038 0.908947999999999
"61" "ENST00000064571.3" "20" 56004677 56004730 "-" 61 "uORF" 56004728 56004730 1.10073177777778 56004677 56004679 1.02280444444444
"62" "ENST00000064571.3" "20" 56004395 56004490 "-" 62 "uORF" 56004488 56004490 0.266086333333334 56004395 56004397 1.89820066666667
"63" "ENST00000064571.3" "20" 56004435 56004479 "-" 63 "uORF" 56004477 56004479 1.08025611111111 56004435 56004437 1.30418366666667
"64" "ENST00000064571.3" "20" 56004267 56004398 "-" 64 "uORF" 56004396 56004398 1.882325 56004267 56004269 1.33507155555556
"65" "ENST00000066544.8" "17" 47189182 47189250 "-" 65 "uORF" 47189248 47189250 2.40677933333333 47189182 47189184 1.694306
"66" "ENST00000072644.7" "1" 53889353 53889463 "-" 66 "uORF" 53889461 53889463 1.95127333333333 53889353 53889355 0.862853999999999
"68" "ENST00000075120.12" "12" 7936175 7936183 "-" 68 "uORF" 7936181 7936183 0.509322111111111 7936175 7936177 0.0777546666666666
"69" "ENST00000075120.12" "12" 7936125 7936175 "-" 69 "uORF" 7936173 7936175 0.161263555555556 7936125 7936127 0.481715555555556
"70" "ENST00000075503.8" "12" 10637129 10637140 "-" 70 "uORF" 10637138 10637140 -0.0663991111111112 10637129 10637131 0.299619333333333
"71" "ENST00000075503.8" "12" 10634644 10637123 "-" 71 "uORF" 10637121 10637123 -0.062148111111111 10634644 10634646 0.314252777777778
"72" "ENST00000075503.8" "12" 10637092 10637100 "-" 72 "uORF" 10637098 10637100 0.759153 10637092 10637094 -0.109289777777778
"73" "ENST00000080059.12" "12" 47819802 47819819 "-" 73 "uORF" 47819817 47819819 1.95803511111111 47819802 47819804 1.99443122222222
"74" "ENST00000084798.9" "19" 48645936 48646025 "-" 74 "uORF" 48646023 48646025 1.24135988888889 48645936 48645938 1.10123822222222
"75" "ENST00000084798.9" "19" 48646001 48646018 "-" 75 "uORF" 48646016 48646018 1.60053122222222 48646001 48646003 1.80313277777778
"76" "ENST00000084798.9" "19" 48645950 48645982 "-" 76 "uORF" 48645980 48645982 1.38350855555556 48645950 48645952 1.04147422222222
"81" "ENST00000159087.7" "19" 17334688 17334732 "-" 81 "uORF" 17334730 17334732 1.718627 17334688 17334690 2.01463744444444
"84" "ENST00000162749.7" "12" 6341824 6341955 "-" 84 "uORF" 6341953 6341955 0.519538666666667 6341824 6341826 1.59646155555556
"85" "ENST00000162749.7" "12" 6341834 6341845 "-" 85 "uORF" 6341843 6341845 2.39202033333334 6341834 6341836 2.38195433333333
"86" "ENST00000164024.5" "3" 48662790 48662852 "-" 86 "uORF" 48662850 48662852 2.24906388888889 48662790 48662792 2.19898977777778
"95" "ENST00000168712.3" "11" 69775250 69775264 "-" 95 "uORF" 69775262 69775264 0.982794111111111 69775250 69775252 0.710774
"106" "ENST00000170168.9" "19" 1848413 1848466 "-" 106 "uORF" 1848464 1848466 1.84378844444445 1848413 1848415 2.09966977777778
"115" "ENST00000181796.7" "10" 14774833 14774868 "-" 115 "uORF" 14774866 14774868 0.519186666666667 14774833 14774835 0.335399111111111
"116" "ENST00000181796.7" "10" 14774689 14774724 "-" 116 "uORF" 14774722 14774724 0.296241 14774689 14774691 0.617789666666667
"119" "ENST00000186436.10" "2" 97995902 97995922 "-" 119 "uORF" 97995920 97995922 2.22900933333333 97995902 97995904 1.98339311111111
"120" "ENST00000186436.10" "2" 97995847 97995867 "-" 120 "uORF" 97995865 97995867 2.12210855555555 97995847 97995849 2.18193866666667
"127" "ENST00000193391.8" "3" 101320455 101320517 "-" 127 "uORF" 101320515 101320517 1.42933522222222 101320455 101320457 0.716942444444444
"128" "ENST00000193391.8" "3" 101320412 101320474 "-" 128 "uORF" 101320472 101320474 0.709135777777778 101320412 101320414 1.06487966666667
"130" "ENST00000196489.4" "19" 57578841 57578888 "-" 130 "uORF" 57578886 57578888 0.310765888888889 57578841 57578843 0.394824555555556
"142" "ENST00000202677.12" "20" 20712539 20712547 "-" 142 "uORF" 20712545 20712547 1.27394466666666 20712539 20712541 1.73222611111111
"144" "ENST00000203630.10" "12" 6752956 6752967 "-" 144 "uORF" 6752965 6752967 2.54766966666667 6752956 6752958 2.51061644444444
"149" "ENST00000205214.11" "4" 56387431 56387487 "-" 149 "uORF" 56387485 56387487 0.344895222222222 56387431 56387433 0.524124888888889
"150" "ENST00000205214.11" "4" 56387362 56387394 "-" 150 "uORF" 56387392 56387394 0.465753555555556 56387362 56387364 0.772398777777778
"151" "ENST00000205214.11" "4" 56384311 56384322 "-" 151 "uORF" 56384320 56384322 0.672719333333333 56384311 56384313 1.05457255555556
"153" "ENST00000206262.2" "6" 153131192 153131215 "-" 153 "uORF" 153131213 153131215 2.40778333333333 153131192 153131194 2.02356266666667
"154" "ENST00000206423.8" "3" 112641060 112641101 "-" 154 "uORF" 112641099 112641101 1.95666233333334 112641060 112641062 2.09531977777778
"155" "ENST00000206423.8" "3" 112640738 112640776 "-" 155 "uORF" 112640774 112640776 1.90829355555556 112640738 112640740 1.67946955555555
"156" "ENST00000206423.8" "3" 112640560 112640622 "-" 156 "uORF" 112640620 112640622 2.26125511111111 112640560 112640562 2.54143255555556
"158" "ENST00000209718.8" "17" 40937409 40937579 "-" 158 "uORF" 40937577 40937579 -0.153081888888889 40937409 40937411 0.592676111111111
"159" "ENST00000209718.8" "17" 40937450 40937542 "-" 159 "uORF" 40937540 40937542 0.728244333333334 40937450 40937452 0.0926392222222222
"160" "ENST00000209718.8" "17" 40936946 40937370 "-" 160 "uORF" 40937368 40937370 2.10278177777778 40936946 40936948 0.312871666666667
"161" "ENST00000209718.8" "17" 40936917 40936949 "-" 161 "uORF" 40936947 40936949 0.418846666666667 40936917 40936919 1.19237988888889
"162" "ENST00000209718.8" "17" 40936829 40936942 "-" 162 "uORF" 40936940 40936942 0.714128777777778 40936829 40936831 0.387287555555555
"163" "ENST00000209718.8" "17" 40936829 40936888 "-" 163 "uORF" 40936886 40936888 0.338609777777778 40936829 40936831 0.387287555555555
"164" "ENST00000209718.8" "17" 40936818 40936829 "-" 164 "uORF" 40936827 40936829 0.691702888888889 40936818 40936820 1.70192544444445
"165" "ENST00000209718.8" "17" 40936692 40936751 "-" 165 "uORF" 40936749 40936751 1.84892733333333 40936692 40936694 1.968315
"177" "ENST00000212355.9" "1" 91885998 91886006 "-" 177 "uORF" 91886004 91886006 2.54957411111111 91885998 91886000 2.30462855555556
"178" "ENST00000215057.7" "19" 58573195 58573296 "-" 178 "uORF" 58573294 58573296 0.559093555555556 58573195 58573197 0.720331444444445
"179" "ENST00000215057.7" "19" 58573195 58573266 "-" 179 "uORF" 58573264 58573266 0.843653666666667 58573195 58573197 0.720331444444445
"180" "ENST00000215057.7" "19" 58573236 58573244 "-" 180 "uORF" 58573242 58573244 0.786306888888889 58573236 58573238 1.10435222222222
"182" "ENST00000215742.9" "22" 21002082 21002096 "-" 182 "uORF" 21002094 21002096 2.255653 21002082 21002084 3.22331466666667
"183" "ENST00000215742.9" "22" 21001930 21001956 "-" 183 "uORF" 21001954 21001956 0.789626555555556 21001930 21001932 1.24039555555556
"186" "ENST00000215886.6" "22" 37579954 37580064 "-" 186 "uORF" 37580062 37580064 0.501580666666667 37579954 37579956 0.712944666666667
"187" "ENST00000215886.6" "22" 37579954 37580001 "-" 187 "uORF" 37579999 37580001 1.86033944444444 37579954 37579956 0.712944666666667
"190" "ENST00000216085.12" "22" 29267809 29267898 "-" 190 "uORF" 29267896 29267898 0.837893888888889 29267809 29267811 0.771477666666667
"191" "ENST00000216085.12" "22" 29267801 29267845 "-" 191 "uORF" 29267843 29267845 0.974136555555557 29267801 29267803 0.71247788888889
"195" "ENST00000216133.10" "22" 39152545 39152622 "-" 195 "uORF" 39152620 39152622 2.29209888888889 39152545 39152547 2.22518011111111
"212" "ENST00000216445.8" "14" 57493837 57493845 "-" 212 "uORF" 57493843 57493845 0.283289777777778 57493837 57493839 0.769224777777777
"213" "ENST00000216445.8" "14" 57493817 57493840 "-" 213 "uORF" 57493838 57493840 0.290087555555556 57493817 57493819 0.221970444444445
"214" "ENST00000216445.8" "14" 57493817 57493831 "-" 214 "uORF" 57493829 57493831 0.203482 57493817 57493819 0.221970444444445
"215" "ENST00000216445.8" "14" 57493788 57493796 "-" 215 "uORF" 57493794 57493796 0.275020222222222 57493788 57493790 0.606658888888889
"216" "ENST00000216445.8" "14" 57493717 57493731 "-" 216 "uORF" 57493729 57493731 0.723246555555556 57493717 57493719 1.53982122222222
"218" "ENST00000216513.5" "14" 60724270 60724341 "-" 218 "uORF" 60724339 60724341 2.11005766666666 60724270 60724272 2.19451066666667
"219" "ENST00000216513.5" "14" 60724142 60724258 "-" 219 "uORF" 60724256 60724258 2.30187877777778 60724142 60724144 1.98702755555556
"221" "ENST00000216733.8" "14" 23365078 23365101 "-" 221 "uORF" 23365099 23365101 1.92870777777778 23365078 23365080 2.21595033333333
"222" "ENST00000216840.11" "14" 24271551 24271577 "-" 222 "uORF" 24271575 24271577 0.863339888888888 24271551 24271553 1.78739888888889
"223" "ENST00000216862.8" "20" 54173783 54173986 "-" 223 "uORF" 54173984 54173986 0.386045888888889 54173783 54173785 0.549811777777778
"224" "ENST00000216862.8" "20" 54173783 54173791 "-" 224 "uORF" 54173789 54173791 0.458403888888889 54173783 54173785 0.549811777777778
"225" "ENST00000217086.9" "20" 51802483 51802509 "-" 225 "uORF" 51802507 51802509 2.32815577777778 51802483 51802485 2.215595
"228" "ENST00000217244.9" "20" 527952 528014 "-" 228 "uORF" 528012 528014 0.412875666666667 527952 527954 0.288020555555556
"229" "ENST00000217244.9" "20" 527984 528004 "-" 229 "uORF" 528002 528004 0.282994666666667 527984 527986 0.488366555555556
"231" "ENST00000217455.9" "20" 45857316 45857369 "-" 231 "uORF" 45857367 45857369 0.335295222222222 45857316 45857318 0.922757777777778
"232" "ENST00000217893.10" "5" 69365750 69369490 "-" 232 "uORF" 69369488 69369490 3.33596577777778 69365750 69365752 1.75540511111111
"233" "ENST00000217893.10" "5" 69366512 69366526 "-" 233 "uORF" 69366524 69366526 3.22463833333334 69366512 69366514 4.00557444444445
"234" "ENST00000217939.7" "X" 3346584 3346610 "-" 234 "uORF" 3346608 3346610 1.34802911111111 3346584 3346586 1.31909622222222
"235" "ENST00000218006.3" "X" 109482033 109482065 "-" 235 "uORF" 109482063 109482065 1.00464555555556 109482033 109482035 0.116922888888889
"236" "ENST00000218006.3" "X" 109481967 109482008 "-" 236 "uORF" 109482006 109482008 1.04384933333334 109481967 109481969 0.53531
"237" "ENST00000218006.3" "X" 109481928 109481966 "-" 237 "uORF" 109481964 109481966 -0.0653555555555554 109481928 109481930 0.545871333333333
"238" "ENST00000218006.3" "X" 109481896 109481955 "-" 238 "uORF" 109481953 109481955 0.343020777777778 109481896 109481898 0.353056888888889
"239" "ENST00000218006.3" "X" 109481928 109481945 "-" 239 "uORF" 109481943 109481945 1.03538388888889 109481928 109481930 0.545871333333333
"240" "ENST00000218006.3" "X" 109481896 109481925 "-" 240 "uORF" 109481923 109481925 0.480730555555556 109481896 109481898 0.353056888888889
"241" "ENST00000218006.3" "X" 109481896 109481910 "-" 241 "uORF" 109481908 109481910 0.00906 109481896 109481898 0.353056888888889
"249" "ENST00000218176.4" "X" 48971088 48971570 "-" 249 "uORF" 48971568 48971570 0.754375333333333 48971088 48971090 0.140075333333333
"250" "ENST00000218176.4" "X" 48971332 48971553 "-" 250 "uORF" 48971551 48971553 0.858815555555556 48971332 48971334 0.207279111111111
"251" "ENST00000218176.4" "X" 48970858 48970917 "-" 251 "uORF" 48970915 48970917 0.354023 48970858 48970860 0.558576777777778
"252" "ENST00000218176.4" "X" 48970878 48970892 "-" 252 "uORF" 48970890 48970892 -0.207928777777778 48970878 48970880 0.163223
"253" "ENST00000218176.4" "X" 48970685 48970870 "-" 253 "uORF" 48970868 48970870 0.0396298888888887 48970685 48970687 0.703701222222222
"254" "ENST00000218176.4" "X" 48970636 48970743 "-" 254 "uORF" 48970741 48970743 0.503952444444444 48970636 48970638 0.298798888888889
"255" "ENST00000218176.4" "X" 48970426 48970518 "-" 255 "uORF" 48970516 48970518 0.162524333333333 48970426 48970428 0.620081888888889
"256" "ENST00000218176.4" "X" 48970394 48970456 "-" 256 "uORF" 48970454 48970456 0.385922777777778 48970394 48970396 1.39030544444444
"260" "ENST00000219197.11" "16" 49281683 49281721 "-" 260 "uORF" 49281719 49281721 2.29773477777778 49281683 49281685 1.99033777777778
"262" "ENST00000219320.9" "16" 58684162 58684765 "-" 262 "uORF" 58684763 58684765 0.867015 58684162 58684164 0.546052222222222
"263" "ENST00000219320.9" "16" 58684074 58684761 "-" 263 "uORF" 58684759 58684761 0.488768777777778 58684074 58684076 0.549603777777778
"264" "ENST00000219320.9" "16" 58684074 58684169 "-" 264 "uORF" 58684167 58684169 0.52189311111111 58684074 58684076 0.549603777777778
"265" "ENST00000219320.9" "16" 58680169 58680180 "-" 265 "uORF" 58680178 58680180 1.21581455555556 58680169 58680171 0.91652
"266" "ENST00000219334.10" "16" 68372344 68372367 "-" 266 "uORF" 68372365 68372367 1.01849966666667 68372344 68372346 1.57952588888889
"267" "ENST00000219334.10" "16" 68372288 68372347 "-" 267 "uORF" 68372345 68372347 1.64085111111111 68372288 68372290 1.95087644444445
"273" "ENST00000219689.12" "16" 23149292 23149342 "-" 273 "uORF" 23149340 23149342 1.453655 23149292 23149294 1.67007688888889
"274" "ENST00000219789.11" "16" 29862929 29863027 "-" 274 "uORF" 29863025 29863027 0.578224222222221 29862929 29862931 1.24452377777778
"275" "ENST00000219789.11" "16" 29862929 29862949 "-" 275 "uORF" 29862947 29862949 0.945979111111111 29862929 29862931 1.24452377777778
"291" "ENST00000220597.4" "8" 81111742 81111765 "-" 291 "uORF" 81111763 81111765 1.02805366666667 81111742 81111744 0.800540666666666
"292" "ENST00000220597.4" "8" 80993265 80993288 "-" 292 "uORF" 80993286 80993288 1.83432355555556 80993265 80993267 1.53986188888889
"295" "ENST00000220931.11" "8" 101790863 101790946 "-" 295 "uORF" 101790944 101790946 1.92261233333333 101790863 101790865 1.69061544444445
"296" "ENST00000220931.11" "8" 101790885 101790896 "-" 296 "uORF" 101790894 101790896 1.64629455555556 101790885 101790887 1.17689433333334
"298" "ENST00000221315.10" "19" 52047017 52048824 "-" 298 "uORF" 52048822 52048824 0.779534666666666 52047017 52047019 0.514424666666666
"299" "ENST00000221315.10" "19" 52046991 52047020 "-" 299 "uORF" 52047018 52047020 0.428840111111111 52046991 52046993 0.238450666666667
"300" "ENST00000221315.10" "19" 52046959 52046988 "-" 300 "uORF" 52046986 52046988 0.0790213333333332 52046959 52046961 0.0923799999999998
"305" "ENST00000221665.5" "19" 55597900 55599495 "-" 305 "uORF" 55599493 55599495 2.26552277777778 55597900 55597902 1.03659166666667
"306" "ENST00000221730.8" "19" 15232286 15232297 "-" 306 "uORF" 15232295 15232297 0.702573333333333 15232286 15232288 0.549209
"310" "ENST00000222122.10" "19" 48637147 48637215 "-" 310 "uORF" 48637213 48637215 1.60829544444444 48637147 48637149 2.00903588888889
"311" "ENST00000222122.10" "19" 48637017 48637028 "-" 311 "uORF" 48637026 48637028 2.20652955555556 48637017 48637019 2.20505022222222
"328" "ENST00000222547.8" "7" 94004298 94004351 "-" 328 "uORF" 94004349 94004351 1.74015466666667 94004298 94004300 1.910218
"337" "ENST00000222718.7" "7" 27102522 27102608 "-" 337 "uORF" 27102606 27102608 2.01255722222222 27102522 27102524 1.912162
"338" "ENST00000222747.8" "7" 120857883 120857927 "-" 338 "uORF" 120857925 120857927 1.28022522222222 120857883 120857885 1.85787022222222
"339" "ENST00000222747.8" "7" 120856796 120857886 "-" 339 "uORF" 120857884 120857886 1.78859644444444 120856796 120856798 2.249625
"340" "ENST00000222747.8" "7" 120856796 120856804 "-" 340 "uORF" 120856802 120856804 2.26714933333333 120856796 120856798 2.249625
"342" "ENST00000222803.10" "7" 30026632 30026649 "-" 342 "uORF" 30026647 30026649 1.36772511111111 30026632 30026634 0.795995777777777
"343" "ENST00000222803.10" "7" 30026534 30026566 "-" 343 "uORF" 30026564 30026566 1.07216411111111 30026534 30026536 0.990503666666667
"344" "ENST00000222823.9" "7" 30478619 30478669 "-" 344 "uORF" 30478667 30478669 0.535798555555556 30478619 30478621 0.491072444444444
"345" "ENST00000222823.9" "7" 30459208 30459999 "-" 345 "uORF" 30459997 30459999 0.354517111111111 30459208 30459210 0.766278777777778
"346" "ENST00000222823.9" "7" 30459208 30459933 "-" 346 "uORF" 30459931 30459933 0.856444555555555 30459208 30459210 0.766278777777778
"347" "ENST00000222823.9" "7" 30459193 30459204 "-" 347 "uORF" 30459202 30459204 0.771285666666667 30459193 30459195 1.08718033333333
"348" "ENST00000222823.9" "7" 30459156 30459173 "-" 348 "uORF" 30459171 30459173 0.368335888888889 30459156 30459158 0.649996222222222
"349" "ENST00000222823.9" "7" 30459156 30459170 "-" 349 "uORF" 30459168 30459170 0.313905777777778 30459156 30459158 0.649996222222222
"353" "ENST00000223023.5" "7" 123748833 123748847 "-" 353 "uORF" 123748845 123748847 2.11072677777778 123748833 123748835 1.93471422222222
"363" "ENST00000223127.8" "7" 101217412 101217579 "-" 363 "uORF" 101217577 101217579 0.692389555555557 101217412 101217414 1.49139822222222
"364" "ENST00000223129.8" "7" 7715206 7718556 "-" 364 "uORF" 7718554 7718556 0.245942333333334 7715206 7715208 0.916502333333333
"365" "ENST00000223129.8" "7" 7687238 7715200 "-" 365 "uORF" 7715198 7715200 0.678302111111111 7687238 7687240 0.805058333333334
"366" "ENST00000223129.8" "7" 7687270 7687284 "-" 366 "uORF" 7687282 7687284 0.559736666666667 7687270 7687272 0.165760222222222
"367" "ENST00000223129.8" "7" 7687238 7687273 "-" 367 "uORF" 7687271 7687273 0.088227333333333 7687238 7687240 0.805058333333334
"368" "ENST00000223129.8" "7" 7685938 7687241 "-" 368 "uORF" 7687239 7687241 0.668690555555555 7685938 7685940 0.0810885555555557
"369" "ENST00000223129.8" "7" 7685963 7687230 "-" 369 "uORF" 7687228 7687230 1.13949955555556 7685963 7685965 0.383042222222222
"370" "ENST00000223129.8" "7" 7685908 7685922 "-" 370 "uORF" 7685920 7685922 0.0284 7685908 7685910 -0.0509803333333334
"371" "ENST00000223129.8" "7" 7641149 7685850 "-" 371 "uORF" 7685848 7685850 0.225264333333334 7641149 7641151 1.19769222222222
"372" "ENST00000223129.8" "7" 7640852 7641076 "-" 372 "uORF" 7641074 7641076 0.437925777777778 7640852 7640854 1.04848888888889
"373" "ENST00000223129.8" "7" 7640852 7640866 "-" 373 "uORF" 7640864 7640866 0.746984888888889 7640852 7640854 1.04848888888889
"374" "ENST00000223136.5" "7" 101245037 101245057 "-" 374 "uORF" 101245055 101245057 2.06814822222222 101245037 101245039 1.87241655555555
"376" "ENST00000223167.5" "7" 101629257 101629277 "-" 376 "uORF" 101629275 101629277 0.340672333333333 101629257 101629259 0.312984
"377" "ENST00000223167.5" "7" 101629163 101629246 "-" 377 "uORF" 101629244 101629246 0.212137111111111 101629163 101629165 0.222224222222222
"378" "ENST00000223167.5" "7" 101629167 101629217 "-" 378 "uORF" 101629215 101629217 0.291997888888889 101629167 101629169 0.117522222222222
"379" "ENST00000223167.5" "7" 101629163 101629210 "-" 379 "uORF" 101629208 101629210 0.0365534444444445 101629163 101629165 0.222224222222222
"380" "ENST00000223167.5" "7" 101629163 101629174 "-" 380 "uORF" 101629172 101629174 0.12699 101629163 101629165 0.222224222222222
"384" "ENST00000223428.9" "9" 96776127 96776159 "-" 384 "uORF" 96776157 96776159 0.236157555555555 96776127 96776129 0.480593666666667
"385" "ENST00000223795.3" "9" 114930352 114930513 "-" 385 "uORF" 114930511 114930513 1.96012822222222 114930352 114930354 1.47981833333333
"386" "ENST00000223795.3" "9" 114930405 114930506 "-" 386 "uORF" 114930504 114930506 2.126651 114930405 114930407 2.20673233333333
"387" "ENST00000223795.3" "9" 114930352 114930408 "-" 387 "uORF" 114930406 114930408 2.12463611111111 114930352 114930354 1.47981833333333
"388" "ENST00000223795.3" "9" 114930326 114930367 "-" 388 "uORF" 114930365 114930367 1.81361788888889 114930326 114930328 2.00096422222222
"389" "ENST00000223795.3" "9" 114930326 114930346 "-" 389 "uORF" 114930344 114930346 2.09074366666667 114930326 114930328 2.00096422222222
"390" "ENST00000224140.6" "9" 132354940 132354954 "-" 390 "uORF" 132354952 132354954 1.53373988888889 132354940 132354942 0.959644333333334
"391" "ENST00000224140.6" "9" 132353691 132353753 "-" 391 "uORF" 132353751 132353753 1.54695066666667 132353691 132353693 1.70104144444444
"392" "ENST00000224140.6" "9" 132353681 132353722 "-" 392 "uORF" 132353720 132353722 0.734193777777778 132353681 132353683 1.32966511111111
"393" "ENST00000224140.6" "9" 132353662 132353718 "-" 393 "uORF" 132353716 132353718 0.539484666666667 132353662 132353664 1.39866611111111
"394" "ENST00000224337.10" "10" 96271446 96271478 "-" 394 "uORF" 96271476 96271478 1.63630055555556 96271446 96271448 1.62935066666667
"397" "ENST00000225171.7" "10" 67838088 67838168 "-" 397 "uORF" 67838166 67838168 1.48140188888889 67838088 67838090 1.063005
"398" "ENST00000225171.7" "10" 67838099 67838119 "-" 398 "uORF" 67838117 67838119 0.615680444444445 67838099 67838101 0.731563333333333
"399" "ENST00000225171.7" "10" 67838099 67838110 "-" 399 "uORF" 67838108 67838110 0.464294333333333 67838099 67838101 0.731563333333333
"400" "ENST00000225275.4" "17" 58280856 58280891 "-" 400 "uORF" 58280889 58280891 0.498444444444444 58280856 58280858 0.370084555555556
"401" "ENST00000225737.11" "17" 19977723 19977800 "-" 401 "uORF" 19977798 19977800 2.28068988888889 19977723 19977725 1.62716977777778
"402" "ENST00000225823.7" "17" 33292533 33292598 "-" 402 "uORF" 33292596 33292598 1.71527466666667 33292533 33292535 1.93025322222222
"403" "ENST00000225823.7" "17" 33292533 33292583 "-" 403 "uORF" 33292581 33292583 1.934375 33292533 33292535 1.93025322222222
"404" "ENST00000225823.7" "17" 33292116 33292172 "-" 404 "uORF" 33292170 33292172 1.85618177777778 33292116 33292118 1.68123033333333
"405" "ENST00000225873.9" "17" 35578116 35578136 "-" 405 "uORF" 35578134 35578136 0.387443666666667 35578116 35578118 0.929406444444445
"406" "ENST00000225916.10" "17" 42121345 42121356 "-" 406 "uORF" 42121354 42121356 2.28737533333333 42121345 42121347 2.29629833333334
"407" "ENST00000225964.10" "17" 50201558 50201572 "-" 407 "uORF" 50201570 50201572 2.59704477777778 50201558 50201560 2.53977822222222
"408" "ENST00000225964.10" "17" 50201516 50201530 "-" 408 "uORF" 50201528 50201530 2.62199711111111 50201516 50201518 2.65842533333333
"418" "ENST00000226413.5" "4" 67754355 67754378 "-" 418 "uORF" 67754376 67754378 0.419400333333333 67754355 67754357 0.349399333333333
"422" "ENST00000226730.5" "4" 122456561 122456617 "-" 422 "uORF" 122456615 122456617 1.62593255555556 122456561 122456563 1.99606777777778
"423" "ENST00000226730.5" "4" 122456561 122456608 "-" 423 "uORF" 122456606 122456608 1.77391911111111 122456561 122456563 1.99606777777778
"424" "ENST00000226730.5" "4" 122456561 122456575 "-" 424 "uORF" 122456573 122456575 1.91239266666667 122456561 122456563 1.99606777777778
"429" "ENST00000227618.9" "11" 72111464 72111496 "-" 429 "uORF" 72111494 72111496 1.72648244444444 72111464 72111466 1.87578833333333
"432" "ENST00000227756.5" "11" 11621864 11621950 "-" 432 "uORF" 11621948 11621950 1.71529555555555 11621864 11621866 1.35718044444444
"458" "ENST00000228437.10" "12" 107760611 107761008 "-" 458 "uORF" 107761006 107761008 2.25417077777778 107760611 107760613 1.50280066666667
