"chr" "start" "end" "strand" "transcript_id" "exon_number"
"52" "7" 38178245 38178420 "+" "ENST00000009041.12" 1
"53" "12" 6200400 6200499 "+" "ENST00000009180.10" 1
"54" "5" 150412750 150412910 "-" "ENST00000009530.13" 1
"55" "8" 56074384 56074506 "-" "ENST00000009589.8" 1
"56" "7" 130380494 130380520 "+" "ENST00000011292.8" 1
"57" "6" 13711506 13711835 "-" "ENST00000011619.6" 1
"58" "12" 6789528 6789662 "+" "ENST00000011653.9" 1
"59" "12" 6800072 6800138 "+" "ENST00000011653.9" 2
"60" "3" 42590860 42590897 "+" "ENST00000011691.6" 1
"61" "12" 3077379 3077453 "+" "ENST00000011898.10" 1
"62" "12" 3201177 3201193 "+" "ENST00000011898.10" 3
"63" "12" 3083653 3083719 "+" "ENST00000011898.10" 2
"64" "19" 45692666 45692703 "+" "ENST00000012049.10" 1
"65" "19" 46347087 46347096 "+" "ENST00000012443.9" 1
"66" "14" 93207256 93207291 "+" "ENST00000013070.11" 1
"67" "7" 30752135 30752150 "+" "ENST00000013222.5" 1
"68" "12" 12908243 12908249 "+" "ENST00000014914.6" 2
"69" "12" 12891562 12891664 "+" "ENST00000014914.6" 1
"70" "12" 13000115 13000265 "-" "ENST00000014930.9" 1
"71" "10" 99732050 99732127 "-" "ENST00000016171.6" 1
"72" "11" 60497313 60497318 "+" "ENST00000016913.8" 2
"73" "11" 60492778 60492828 "+" "ENST00000016913.8" 1
"74" "2" 109794305 109794465 "+" "ENST00000016946.8" 1
"75" "17" 50346126 50346140 "+" "ENST00000017003.7" 1
"76" "2" 119524227 119524483 "-" "ENST00000019103.8" 1
"77" "10" 102417039 102417121 "-" "ENST00000020673.6" 2
"78" "10" 102418701 102418785 "-" "ENST00000020673.6" 1
"79" "11" 45286208 45286341 "-" "ENST00000020926.8" 1
"80" "8" 48921266 48921429 "-" "ENST00000020945.4" 1
"81" "8" 42393845 42393884 "+" "ENST00000022615.9" 2
"82" "8" 42394210 42394211 "+" "ENST00000022615.9" 3
"83" "8" 42391880 42391928 "+" "ENST00000022615.9" 1
"84" "19" 32868535 32868645 "-" "ENST00000023064.9" 2
"85" "19" 32869686 32869767 "-" "ENST00000023064.9" 1
"86" "8" 52685470 52685520 "-" "ENST00000025008.10" 3
"87" "8" 52714075 52714435 "-" "ENST00000025008.10" 1
"88" "8" 52686853 52686967 "-" "ENST00000025008.10" 2
"89" "13" 42285986 42286035 "+" "ENST00000025301.4" 2
"90" "13" 42286300 42286348 "+" "ENST00000025301.4" 3
"91" "13" 42272152 42272228 "+" "ENST00000025301.4" 1
"92" "8" 94208483 94208555 "-" "ENST00000027335.8" 1
"93" "8" 94194686 94194705 "-" "ENST00000027335.8" 2
"94" "5" 177600132 177600210 "+" "ENST00000029410.10" 1
"95" "7" 151232483 151234011 "+" "ENST00000035307.7" 1
"96" "16" 75566379 75566486 "+" "ENST00000037243.7" 1
"97" "1" 171652612 171652688 "-" "ENST00000037502.11" 1
"98" "8" 58659632 58659853 "-" "ENST00000038176.8" 1
"99" "X" 38352604 38352696 "+" "ENST00000039007.5" 1
"100" "11" 43358920 43358954 "+" "ENST00000039989.9" 1
"101" "12" 54008985 54009284 "+" "ENST00000040584.6" 1
"102" "19" 13764522 13764588 "+" "ENST00000040663.8" 1
"103" "4" 13627588 13627725 "-" "ENST00000040738.10" 1
"104" "1" 234479104 234479179 "-" "ENST00000040877.2" 1
"105" "16" 67528829 67528914 "+" "ENST00000042381.9" 1
"106" "16" 67538424 67538446 "+" "ENST00000042381.9" 2
"107" "22" 20268093 20268318 "-" "ENST00000043402.8" 1
"108" "15" 78540444 78540539 "+" "ENST00000044462.12" 1
"109" "15" 78541905 78541927 "+" "ENST00000044462.12" 2
"110" "7" 50093195 50093246 "-" "ENST00000046087.7" 1
"111" "17" 3636760 3636831 "+" "ENST00000046640.9" 1
"112" "17" 3637107 3637316 "+" "ENST00000046640.9" 2
"113" "17" 3640188 3640206 "+" "ENST00000046640.9" 3
"114" "5" 170297612 170297777 "-" "ENST00000046794.10" 1
"115" "12" 91178553 91178585 "-" "ENST00000052754.10" 2
"116" "12" 91182655 91182817 "-" "ENST00000052754.10" 1
"117" "16" 11965210 11965324 "+" "ENST00000053243.6" 1
"118" "6" 42217850 42217861 "-" "ENST00000053468.4" 1
"119" "17" 44349158 44349164 "+" "ENST00000053867.8" 2
"120" "17" 44345302 44345334 "+" "ENST00000053867.8" 1
"121" "1" 6624868 6624954 "+" "ENST00000054650.9" 1
"122" "1" 6625150 6625218 "+" "ENST00000054650.9" 2
"123" "1" 7771296 7771383 "+" "ENST00000054666.11" 1
"124" "11" 32091074 32091196 "+" "ENST00000054950.4" 1
"125" "7" 74254384 74254399 "-" "ENST00000055077.8" 1
"126" "X" 49269793 49269869 "+" "ENST00000055335.11" 1
"127" "X" 74924883 74925452 "-" "ENST00000055682.12" 1
"128" "X" 74745651 74745697 "-" "ENST00000055682.12" 2
"129" "7" 144362658 144362669 "+" "ENST00000056217.10" 2
"130" "7" 144355402 144355501 "+" "ENST00000056217.10" 1
"131" "7" 26152198 26152498 "+" "ENST00000056233.4" 1
"132" "4" 121164126 121164321 "-" "ENST00000057513.8" 1
"133" "1" 114780608 114780685 "-" "ENST00000060969.6" 1
"134" "4" 165873237 165873904 "+" "ENST00000061240.7" 1
"135" "20" 56004172 56005519 "-" "ENST00000064571.3" 1
"136" "3" 170418868 170419066 "+" "ENST00000064724.8" 1
"137" "11" 73389112 73389136 "+" "ENST00000064780.7" 2
"138" "11" 73376399 73376499 "+" "ENST00000064780.7" 1
"139" "17" 47189173 47189295 "-" "ENST00000066544.8" 1
"140" "1" 53889244 53889463 "-" "ENST00000072644.7" 2
"141" "1" 53889713 53889797 "-" "ENST00000072644.7" 1
"142" "1" 53888938 53888986 "-" "ENST00000072644.7" 3
"143" "7" 140672945 140673330 "+" "ENST00000072869.9" 1
"144" "12" 7936035 7936187 "-" "ENST00000075120.12" 1
"145" "8" 119638781 119638839 "-" "ENST00000075322.11" 1
"146" "12" 10673966 10674052 "-" "ENST00000075503.8" 1
"147" "12" 10634619 10634686 "-" "ENST00000075503.8" 3
"148" "12" 10637071 10637196 "-" "ENST00000075503.8" 2
"149" "19" 3094362 3094651 "+" "ENST00000078429.9" 1
"150" "19" 4153631 4153747 "+" "ENST00000078445.7" 1
"151" "12" 47819786 47819903 "-" "ENST00000080059.12" 1
"152" "12" 27710832 27710843 "+" "ENST00000081029.8" 1
"153" "17" 60525932 60526242 "-" "ENST00000083182.8" 1
"154" "19" 48645633 48646187 "-" "ENST00000084798.9" 1
"155" "19" 35332019 35332040 "+" "ENST00000085219.10" 2
"156" "19" 35329187 35329230 "+" "ENST00000085219.10" 1
"157" "22" 19150284 19150292 "-" "ENST00000086933.3" 1
"158" "Y" 2935381 2935769 "+" "ENST00000155093.8" 1
"159" "Y" 2953909 2953936 "+" "ENST00000155093.8" 2
"160" "11" 2445008 2445098 "+" "ENST00000155840.12" 1
"161" "2" 12716936 12718307 "+" "ENST00000155926.9" 1
"162" "X" 49123723 49123735 "-" "ENST00000156109.7" 1
"163" "15" 34969614 34969742 "-" "ENST00000156471.10" 1
"164" "17" 76643639 76643757 "-" "ENST00000156626.12" 1
"165" "3" 8501823 8501938 "+" "ENST00000157600.8" 1
"166" "19" 39971165 39971202 "+" "ENST00000157812.7" 1
"167" "17" 35121615 35121693 "+" "ENST00000158009.6" 1
"168" "17" 7336529 7336734 "+" "ENST00000158762.8" 1
"169" "17" 5486162 5486178 "-" "ENST00000158771.9" 1
"170" "6" 155455801 155455839 "-" "ENST00000159060.3" 1
"171" "19" 17334671 17334855 "-" "ENST00000159087.7" 1
"172" "19" 5016257 5016339 "+" "ENST00000159111.9" 2
"173" "19" 5032866 5032890 "+" "ENST00000159111.9" 3
"174" "19" 4969113 4969230 "+" "ENST00000159111.9" 1
"175" "19" 10339615 10339624 "-" "ENST00000160262.10" 1
"176" "19" 7595863 7596002 "+" "ENST00000160298.9" 1
"177" "7" 117873416 117873441 "-" "ENST00000160373.8" 1
"178" "7" 100656355 100656448 "-" "ENST00000160382.10" 1
"179" "16" 29790751 29790759 "+" "ENST00000160827.9" 1
"180" "16" 2858105 2858170 "-" "ENST00000161006.8" 1
"181" "19" 42528375 42528481 "-" "ENST00000161559.11" 1
"182" "5" 113513694 113513895 "+" "ENST00000161863.9" 1
"183" "19" 19138429 19138478 "-" "ENST00000162044.14" 1
"184" "16" 75251483 75251624 "-" "ENST00000162330.10" 1
"185" "12" 8039819 8039832 "+" "ENST00000162391.8" 2
"186" "12" 8032716 8033833 "+" "ENST00000162391.8" 1
"187" "12" 6341815 6342076 "-" "ENST00000162749.7" 1
"188" "14" 92797408 92797437 "+" "ENST00000163416.7" 2
"189" "14" 92794305 92794456 "+" "ENST00000163416.7" 1
"190" "3" 48662635 48662886 "-" "ENST00000164024.5" 1
"191" "11" 64924689 64925028 "+" "ENST00000164133.7" 1
"192" "11" 64925471 64925734 "+" "ENST00000164133.7" 2
"193" "11" 64759899 64759974 "-" "ENST00000164139.4" 1
"194" "19" 44748708 44748790 "+" "ENST00000164227.10" 1
"195" "15" 55319222 55319250 "+" "ENST00000164305.10" 1
"196" "19" 676392 676423 "+" "ENST00000166139.9" 1
"197" "1" 22563489 22563635 "+" "ENST00000166244.8" 1
"198" "5" 892884 892998 "+" "ENST00000166345.8" 1
"199" "14" 76761468 76762821 "+" "ENST00000167106.9" 1
"200" "17" 41586835 41586895 "-" "ENST00000167586.7" 1
"201" "17" 40885186 40885242 "-" "ENST00000167588.4" 1
"202" "2" 234050702 234050786 "+" "ENST00000168148.8" 1
"203" "X" 53434346 53434370 "-" "ENST00000168216.11" 1
"204" "11" 69775085 69775341 "-" "ENST00000168712.3" 1
"205" "19" 3933069 3933178 "+" "ENST00000168977.7" 1
"206" "19" 3933458 3933671 "+" "ENST00000168977.7" 2
"207" "3" 187042654 187042703 "+" "ENST00000169298.8" 4
"208" "3" 187038742 187038873 "+" "ENST00000169298.8" 3
"209" "3" 186930526 186930834 "+" "ENST00000169298.8" 1
"210" "3" 186963785 186963926 "+" "ENST00000169298.8" 2
"211" "18" 74148523 74148808 "+" "ENST00000169551.11" 1
"212" "20" 33007704 33007760 "+" "ENST00000170150.4" 1
"213" "20" 33008541 33008574 "+" "ENST00000170150.4" 2
"214" "19" 1848359 1848483 "-" "ENST00000170168.9" 1
"215" "3" 12557087 12557150 "+" "ENST00000170447.12" 1
"216" "19" 33081181 33081193 "+" "ENST00000170564.7" 1
"217" "19" 10503241 10503356 "-" "ENST00000171111.10" 1
"218" "19" 10500034 10500080 "-" "ENST00000171111.10" 2
"219" "X" 78952193 78952335 "+" "ENST00000171757.3" 3
"220" "X" 78945391 78945495 "+" "ENST00000171757.3" 1
"221" "X" 78960508 78960520 "+" "ENST00000171757.3" 4
"222" "X" 78947815 78947863 "+" "ENST00000171757.3" 2
"223" "17" 49495293 49495417 "+" "ENST00000172229.8" 1
"224" "17" 9021510 9021585 "+" "ENST00000173229.7" 1
"225" "17" 9022311 9022373 "+" "ENST00000173229.7" 2
"226" "5" 129094749 129094766 "+" "ENST00000173527.6" 1
"227" "X" 54920824 54920878 "+" "ENST00000173898.12" 1
"228" "X" 54922203 54922246 "+" "ENST00000173898.12" 2
"229" "17" 2400713 2401060 "-" "ENST00000174618.5" 1
"230" "2" 20051521 20051628 "-" "ENST00000175091.5" 1
"231" "8" 24441026 24441108 "+" "ENST00000175238.10" 1
"232" "2" 130356056 130356107 "+" "ENST00000175756.10" 1
"233" "11" 637269 637304 "+" "ENST00000176183.6" 1
"234" "11" 627144 627181 "-" "ENST00000176195.4" 1
"235" "17" 19648751 19648971 "+" "ENST00000176643.11" 1
"236" "5" 172188043 172188224 "-" "ENST00000176763.10" 1
"237" "17" 47733236 47733454 "+" "ENST00000177694.2" 1
"238" "15" 63381721 63381846 "-" "ENST00000178638.8" 1
"239" "15" 67542703 67543335 "+" "ENST00000178640.10" 1
"240" "12" 4321213 4321271 "+" "ENST00000179259.6" 1
"241" "8" 17002033 17002345 "-" "ENST00000180166.6" 1
"242" "8" 17413293 17413351 "-" "ENST00000180173.10" 1
"243" "13" 46105010 46105033 "-" "ENST00000181383.10" 1
"244" "10" 14774664 14774897 "-" "ENST00000181796.7" 1
"245" "7" 39950256 39950641 "+" "ENST00000181839.10" 1
"246" "11" 2302013 2302149 "+" "ENST00000182290.9" 1
"247" "6" 52576916 52577060 "-" "ENST00000182527.4" 1
"248" "3" 138010165 138010225 "+" "ENST00000183605.10" 1
"249" "3" 120596336 120596359 "+" "ENST00000184266.3" 1
"250" "17" 60078915 60078921 "-" "ENST00000184956.11" 1
"251" "2" 53787044 53787210 "+" "ENST00000185150.9" 1
"252" "2" 97995663 97995948 "-" "ENST00000186436.10" 1
"253" "19" 16661139 16661217 "+" "ENST00000187762.7" 1
"254" "19" 42917793 42917894 "-" "ENST00000187910.7" 1
"255" "12" 100200815 100200851 "+" "ENST00000188312.7" 1
"256" "2" 162243328 162243445 "-" "ENST00000188790.9" 1
"257" "9" 976655 977001 "+" "ENST00000190165.3" 1
"258" "2" 178284927 178285121 "+" "ENST00000190611.9" 2
"259" "2" 178306030 178306184 "+" "ENST00000190611.9" 3
"260" "2" 178194512 178194674 "+" "ENST00000190611.9" 1
"261" "20" 44715369 44715390 "+" "ENST00000190983.5" 1
"262" "2" 241776822 241776955 "+" "ENST00000192314.7" 1
"263" "6" 34792083 34792250 "+" "ENST00000192788.6" 1
"264" "6" 108074652 108074741 "-" "ENST00000193322.8" 1
"265" "3" 101320373 101320575 "-" "ENST00000193391.8" 1
"266" "7" 123199947 123199969 "-" "ENST00000194130.7" 1
"267" "5" 141121818 141121998 "+" "ENST00000194152.4" 1
"268" "5" 141094615 141094790 "+" "ENST00000194155.7" 1
"269" "1" 53940083 53940097 "-" "ENST00000194214.10" 2
"270" "1" 53945555 53945699 "-" "ENST00000194214.10" 1
"271" "2" 201451740 201451938 "+" "ENST00000194530.8" 1
"272" "2" 201454746 201454840 "+" "ENST00000194530.8" 2
"273" "1" 11934717 11934779 "+" "ENST00000196061.5" 1
"274" "5" 41870359 41870425 "-" "ENST00000196371.10" 1
"275" "19" 58469180 58469185 "+" "ENST00000196482.4" 2
"276" "19" 58467080 58467183 "+" "ENST00000196482.4" 1
"277" "19" 57578705 57578911 "-" "ENST00000196489.4" 1
"278" "19" 58388137 58388137 "+" "ENST00000196551.8" 2
"279" "19" 58387269 58387339 "+" "ENST00000196551.8" 1
"280" "12" 13044381 13044403 "+" "ENST00000197268.13" 1
"281" "7" 100373487 100373656 "+" "ENST00000198536.7" 1
"282" "16" 15094234 15094272 "-" "ENST00000198767.11" 1
"283" "11" 75717838 75717888 "+" "ENST00000198801.10" 1
"284" "12" 49950737 49950830 "+" "ENST00000199280.4" 1
"285" "5" 62403773 62403905 "-" "ENST00000199320.9" 1
"286" "7" 6059084 6059175 "-" "ENST00000199389.11" 1
"287" "7" 37848597 37848728 "+" "ENST00000199447.9" 1
"288" "7" 37848824 37849056 "+" "ENST00000199447.9" 2
"289" "7" 37850260 37850266 "+" "ENST00000199447.9" 3
"290" "7" 37920640 37920939 "+" "ENST00000199448.9" 1
"291" "16" 370499 370538 "-" "ENST00000199706.13" 1
"292" "16" 370219 370225 "-" "ENST00000199706.13" 2
"293" "16" 180459 180486 "+" "ENST00000199708.3" 1
"294" "19" 41755530 41755638 "+" "ENST00000199764.7" 1
"295" "5" 150700986 150701062 "-" "ENST00000199814.9" 1
"296" "16" 82035253 82035424 "+" "ENST00000199936.9" 1
"297" "11" 113773667 113773692 "-" "ENST00000200135.8" 1
"298" "17" 75724694 75724703 "+" "ENST00000200181.8" 2
"299" "17" 75721459 75721612 "+" "ENST00000200181.8" 1
"300" "19" 48872421 48872651 "+" "ENST00000200453.6" 1
"301" "19" 48873225 48873233 "+" "ENST00000200453.6" 2
"302" "7" 100867387 100867497 "+" "ENST00000200457.9" 1
"303" "17" 44758988 44759199 "+" "ENST00000200557.11" 1
"304" "X" 120469170 120469296 "-" "ENST00000200639.9" 1
"305" "5" 132294394 132294616 "+" "ENST00000200652.4" 1
"306" "16" 56961950 56961979 "+" "ENST00000200676.8" 1
"307" "16" 56589528 56589590 "+" "ENST00000200691.5" 1
"308" "20" 56629306 56629544 "+" "ENST00000201031.3" 1
"309" "19" 48552172 48552252 "+" "ENST00000201586.7" 1
"310" "19" 55076408 55076444 "+" "ENST00000201647.11" 2
"311" "19" 55075869 55075919 "+" "ENST00000201647.11" 1
"312" "20" 31476227 31476445 "+" "ENST00000201979.3" 2
"313" "20" 31475288 31475366 "+" "ENST00000201979.3" 1
"314" "20" 31951962 31952046 "-" "ENST00000202017.6" 1
"315" "14" 103847308 103847575 "-" "ENST00000202556.14" 1
"316" "20" 2380901 2380968 "+" "ENST00000202625.7" 1
"317" "20" 20712481 20712644 "-" "ENST00000202677.12" 1
"318" "12" 112409587 112409605 "-" "ENST00000202773.14" 1
"319" "12" 112906962 112907039 "+" "ENST00000202917.10" 1
"320" "12" 120303561 120303561 "+" "ENST00000202967.4" 2
"321" "12" 120302321 120302378 "+" "ENST00000202967.4" 1
"322" "20" 5950406 5950533 "-" "ENST00000203001.7" 1
"323" "19" 35612735 35612794 "+" "ENST00000203166.10" 1
"324" "3" 48609621 48609646 "-" "ENST00000203407.6" 1
"325" "19" 19643530 19643657 "-" "ENST00000203556.9" 1
"326" "12" 6772520 6772852 "+" "ENST00000203629.3" 1
"327" "12" 6752335 6752362 "-" "ENST00000203630.10" 2
"328" "12" 6752939 6753141 "-" "ENST00000203630.10" 1
"329" "14" 94026340 94026537 "+" "ENST00000203664.10" 1
"330" "16" 4272747 4273023 "-" "ENST00000204517.11" 1
"331" "15" 65133782 65133808 "-" "ENST00000204549.9" 1
"332" "15" 64989665 64989914 "-" "ENST00000204566.7" 1
"333" "15" 64983570 64983593 "-" "ENST00000204566.7" 2
"334" "3" 184380054 184380318 "+" "ENST00000204604.6" 1
"335" "16" 1351931 1351965 "+" "ENST00000204679.9" 1
"336" "X" 68829021 68829776 "+" "ENST00000204961.5" 1
"337" "19" 55485661 55485708 "+" "ENST00000205194.5" 2
"338" "19" 55485188 55485258 "+" "ENST00000205194.5" 1
"339" "4" 56384300 56384341 "-" "ENST00000205214.11" 2
"340" "4" 56387362 56387491 "-" "ENST00000205214.11" 1
"341" "7" 107891183 107891250 "+" "ENST00000205402.10" 1
"342" "16" 16223435 16223494 "-" "ENST00000205557.12" 1
"343" "3" 32502746 32502852 "-" "ENST00000205636.4" 1
"344" "17" 66229380 66229415 "-" "ENST00000205948.11" 1
"345" "17" 4967805 4967817 "-" "ENST00000206020.8" 1
"346" "6" 151807682 151807912 "+" "ENST00000206249.8" 1
"347" "6" 153044019 153044043 "-" "ENST00000206262.2" 2
"348" "6" 153131124 153131282 "-" "ENST00000206262.2" 1
"349" "17" 44014953 44014963 "-" "ENST00000206380.8" 1
"350" "3" 112639906 112639916 "-" "ENST00000206423.8" 2
"351" "3" 112640327 112641143 "-" "ENST00000206423.8" 1
"352" "14" 24136194 24136262 "+" "ENST00000206451.11" 1
"353" "14" 23119092 23119255 "-" "ENST00000206513.6" 1
"354" "14" 20454684 20454812 "-" "ENST00000206542.9" 1
"355" "14" 30559158 30559272 "+" "ENST00000206595.11" 1
"356" "14" 30581076 30581079 "+" "ENST00000206595.11" 2
"357" "14" 24263089 24263177 "-" "ENST00000206765.11" 1
"358" "14" 24262353 24262354 "-" "ENST00000206765.11" 2
"359" "1" 36084094 36084149 "+" "ENST00000207457.8" 1
"360" "1" 36084870 36084921 "+" "ENST00000207457.8" 2
"361" "17" 75844338 75844404 "-" "ENST00000207549.9" 1
"362" "3" 38346785 38346868 "+" "ENST00000207870.8" 1
"363" "4" 99290915 99290985 "-" "ENST00000209668.3" 1
"364" "17" 40936604 40936953 "-" "ENST00000209718.8" 2
"365" "17" 40937346 40937646 "-" "ENST00000209718.8" 1
"366" "17" 40287879 40288090 "+" "ENST00000209728.9" 1
"367" "17" 40289408 40289420 "+" "ENST00000209728.9" 2
"368" "12" 53321466 53321610 "-" "ENST00000209873.9" 1
"369" "12" 54280008 54280122 "-" "ENST00000209875.9" 1
"370" "12" 54257651 54257692 "-" "ENST00000209875.9" 2
"371" "1" 173714981 173715078 "+" "ENST00000209884.5" 1
"372" "1" 173716003 173716043 "+" "ENST00000209884.5" 2
"373" "1" 171185708 171185713 "+" "ENST00000209929.10" 2
"374" "1" 171185300 171185359 "+" "ENST00000209929.10" 1
"375" "19" 12681767 12681880 "-" "ENST00000210060.12" 1
"376" "16" 2148625 2148783 "+" "ENST00000210187.11" 1
"377" "9" 120842910 120842922 "-" "ENST00000210313.8" 1
"378" "9" 98056732 98056808 "+" "ENST00000210444.6" 1
"379" "10" 100969504 100969591 "+" "ENST00000210633.4" 1
"380" "10" 100972529 100972912 "+" "ENST00000210633.4" 2
"381" "16" 1256069 1256280 "+" "ENST00000211076.5" 1
"382" "6" 52905835 52905855 "-" "ENST00000211122.4" 2
"383" "6" 52909641 52909698 "-" "ENST00000211122.4" 1
"384" "6" 36130513 36130582 "+" "ENST00000211287.9" 1
"385" "6" 52671113 52671245 "+" "ENST00000211314.5" 1
"386" "6" 52677087 52677102 "+" "ENST00000211314.5" 2
"387" "6" 32151828 32151939 "-" "ENST00000211413.10" 1
"388" "10" 73998116 73998207 "+" "ENST00000211998.10" 1
"389" "10" 67884656 67884721 "+" "ENST00000212015.11" 1
"390" "1" 91885878 91886151 "-" "ENST00000212355.9" 1
"391" "1" 91861532 91861644 "-" "ENST00000212355.9" 2
"392" "19" 10836192 10836212 "-" "ENST00000214869.7" 1
"393" "19" 58573055 58573335 "-" "ENST00000215057.7" 1
"394" "19" 58571390 58571429 "-" "ENST00000215057.7" 2
"395" "19" 17226226 17226247 "+" "ENST00000215061.9" 1
"396" "19" 38374571 38374601 "+" "ENST00000215071.9" 1
"397" "16" 31010397 31010638 "-" "ENST00000215095.11" 1
"398" "16" 30893945 30894077 "-" "ENST00000215115.5" 1
"399" "19" 1285873 1286168 "+" "ENST00000215368.4" 1
"400" "19" 1241751 1241850 "+" "ENST00000215375.7" 1
"401" "19" 639879 639925 "+" "ENST00000215530.7" 1
"402" "19" 3480464 3480525 "-" "ENST00000215531.6" 1
"403" "16" 1793653 1793705 "-" "ENST00000215539.4" 1
"404" "19" 8421789 8421840 "+" "ENST00000215555.7" 2
"405" "19" 8413305 8413420 "+" "ENST00000215555.7" 1
"406" "19" 14572001 14572066 "-" "ENST00000215565.3" 1
"407" "19" 14529594 14529696 "+" "ENST00000215567.10" 1
"408" "19" 2427534 2427586 "-" "ENST00000215570.8" 1
"409" "19" 531760 531931 "+" "ENST00000215574.9" 1
"410" "19" 751112 751171 "+" "ENST00000215582.8" 1
"411" "19" 756890 756946 "+" "ENST00000215582.8" 2
"412" "19" 2476127 2476358 "+" "ENST00000215631.9" 1
"413" "19" 496486 496499 "+" "ENST00000215637.8" 1
"414" "22" 50261510 50261683 "-" "ENST00000215659.13" 1
"415" "22" 20779297 20779312 "+" "ENST00000215727.10" 2
"416" "22" 20774113 20774145 "+" "ENST00000215727.10" 1
"417" "22" 20859007 20859110 "+" "ENST00000215730.12" 1
"418" "22" 21001912 21002118 "-" "ENST00000215742.9" 1
"419" "22" 23772849 23772870 "+" "ENST00000215743.8" 1
"420" "22" 23894383 23894474 "+" "ENST00000215754.8" 1
"421" "22" 23966888 23966914 "+" "ENST00000215770.6" 1
"422" "22" 30266800 30266851 "-" "ENST00000215781.3" 1
"423" "22" 30326882 30326941 "-" "ENST00000215790.12" 1
"424" "22" 30356793 30356894 "-" "ENST00000215793.13" 1
"425" "22" 18157558 18157663 "+" "ENST00000215794.8" 2
"426" "22" 18150170 18150222 "+" "ENST00000215794.8" 1
"427" "22" 30471959 30472017 "-" "ENST00000215812.9" 1
"428" "22" 24555999 24556071 "+" "ENST00000215829.8" 1
"429" "22" 24557657 24557674 "+" "ENST00000215829.8" 2
"430" "22" 21867441 21867645 "-" "ENST00000215832.11" 1
"431" "22" 30607174 30607331 "+" "ENST00000215838.8" 1
"432" "22" 25201377 25201396 "+" "ENST00000215855.7" 2
"433" "22" 25199858 25199909 "+" "ENST00000215855.7" 1
"434" "22" 19178674 19178736 "-" "ENST00000215882.10" 1
"435" "22" 31140355 31140508 "-" "ENST00000215885.4" 1
"436" "22" 37579906 37580087 "-" "ENST00000215886.6" 1
