"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_end" "one_two_three" "phylop2" "start"
"48" "ENST00000052754.10" "chr12" 91178556 91178564 "-" 48 "uORF" 91178564 3 2.66666666666667 "CAT"
"50" "ENST00000055682.12" "chrX" 74925019 74925060 "-" 50 "uORF" 74925060 3 0.833333333333333 "CAT"
"51" "ENST00000055682.12" "chrX" 74745663 74745674 "-" 51 "uORF" 74745674 3 4.33333333333333 "CAT"
"52" "ENST00000057513.8" "chr4" 121164246 121164278 "-" 52 "uORF" 121164278 3 0.5 "CAT"
"53" "ENST00000057513.8" "chr4" 121164241 121164249 "-" 53 "uORF" 121164249 3 -0.166666666666667 "CAT"
"54" "ENST00000057513.8" "chr4" 121164221 121164235 "-" 54 "uORF" 121164235 3 -1.33333333333333 "CAT"
"55" "ENST00000060969.6" "chr1" 114780643 114780684 "-" 55 "uORF" 114780684 3 -0.833333333333333 "CAT"
"60" "ENST00000064571.3" "chr20" 56005036 56005092 "-" 60 "uORF" 56005092 3 -0.166666666666667 "CAT"
"61" "ENST00000064571.3" "chr20" 56004677 56004730 "-" 61 "uORF" 56004730 3 0.333333333333333 "CAT"
"62" "ENST00000064571.3" "chr20" 56004395 56004490 "-" 62 "uORF" 56004490 3 -0.5 "CAT"
"63" "ENST00000064571.3" "chr20" 56004435 56004479 "-" 63 "uORF" 56004479 3 2 "CAT"
"64" "ENST00000064571.3" "chr20" 56004267 56004398 "-" 64 "uORF" 56004398 3 2.5 "CAT"
"65" "ENST00000066544.8" "chr17" 47189182 47189250 "-" 65 "uORF" 47189250 3 3.66666666666667 "CAT"
"66" "ENST00000072644.7" "chr1" 53889353 53889463 "-" 66 "uORF" 53889463 3 1.66666666666667 "CAT"
"68" "ENST00000075120.12" "chr12" 7936175 7936183 "-" 68 "uORF" 7936183 3 -0.333333333333333 "CAT"
"69" "ENST00000075120.12" "chr12" 7936125 7936175 "-" 69 "uORF" 7936175 3 -1.33333333333333 "CAT"
"70" "ENST00000075503.8" "chr12" 10637129 10637140 "-" 70 "uORF" 10637140 3 -0.666666666666667 "CAT"
"71" "ENST00000075503.8" "chr12" 10634644 10637123 "-" 71 "uORF" 10637123 3 -1 "CAT"
"72" "ENST00000075503.8" "chr12" 10637092 10637100 "-" 72 "uORF" 10637100 3 0.333333333333333 "CAT"
"73" "ENST00000080059.12" "chr12" 47819802 47819819 "-" 73 "uORF" 47819819 3 1.66666666666667 "CAT"
"74" "ENST00000084798.9" "chr19" 48645936 48646025 "-" 74 "uORF" 48646025 3 -0.666666666666667 "CAT"
"75" "ENST00000084798.9" "chr19" 48646001 48646018 "-" 75 "uORF" 48646018 3 0 "CAT"
"76" "ENST00000084798.9" "chr19" 48645950 48645982 "-" 76 "uORF" 48645982 3 0.333333333333333 "CAT"
"81" "ENST00000159087.7" "chr19" 17334688 17334732 "-" 81 "uORF" 17334732 3 0 "CAT"
"84" "ENST00000162749.7" "chr12" 6341824 6341955 "-" 84 "uORF" 6341955 3 -0.5 "CAT"
"85" "ENST00000162749.7" "chr12" 6341834 6341845 "-" 85 "uORF" 6341845 3 3.33333333333333 "CAT"
"86" "ENST00000164024.5" "chr3" 48662790 48662852 "-" 86 "uORF" 48662852 3 3.33333333333333 "CAT"
"95" "ENST00000168712.3" "chr11" 69775250 69775264 "-" 95 "uORF" 69775264 3 -0.666666666666667 "CAT"
"106" "ENST00000170168.9" "chr19" 1848413 1848466 "-" 106 "uORF" 1848466 3 0.666666666666667 "CAT"
"115" "ENST00000181796.7" "chr10" 14774833 14774868 "-" 115 "uORF" 14774868 3 0.5 "CAT"
"116" "ENST00000181796.7" "chr10" 14774689 14774724 "-" 116 "uORF" 14774724 3 0 "CAT"
"119" "ENST00000186436.10" "chr2" 97995902 97995922 "-" 119 "uORF" 97995922 3 2.5 "CAT"
"120" "ENST00000186436.10" "chr2" 97995847 97995867 "-" 120 "uORF" 97995867 3 1.66666666666667 "CAT"
"127" "ENST00000193391.8" "chr3" 101320455 101320517 "-" 127 "uORF" 101320517 3 1.33333333333333 "CAT"
"128" "ENST00000193391.8" "chr3" 101320412 101320474 "-" 128 "uORF" 101320474 3 -0.166666666666667 "CAT"
"130" "ENST00000196489.4" "chr19" 57578841 57578888 "-" 130 "uORF" 57578888 3 -2 "CAT"
"142" "ENST00000202677.12" "chr20" 20712539 20712547 "-" 142 "uORF" 20712547 3 0 "CAT"
"144" "ENST00000203630.10" "chr12" 6752956 6752967 "-" 144 "uORF" 6752967 3 1.66666666666667 "CAT"
"149" "ENST00000205214.11" "chr4" 56387431 56387487 "-" 149 "uORF" 56387487 3 -1.5 "CAT"
"150" "ENST00000205214.11" "chr4" 56387362 56387394 "-" 150 "uORF" 56387394 3 -0.833333333333333 "CAT"
"151" "ENST00000205214.11" "chr4" 56384311 56384322 "-" 151 "uORF" 56384322 3 0.166666666666667 "CAT"
"153" "ENST00000206262.2" "chr6" 153131192 153131215 "-" 153 "uORF" 153131215 3 3 "CAT"
"154" "ENST00000206423.8" "chr3" 112641060 112641101 "-" 154 "uORF" 112641101 3 2.5 "CAT"
"155" "ENST00000206423.8" "chr3" 112640738 112640776 "-" 155 "uORF" 112640776 3 1.33333333333333 "CAT"
"156" "ENST00000206423.8" "chr3" 112640560 112640622 "-" 156 "uORF" 112640622 3 5.33333333333333 "CAT"
"158" "ENST00000209718.8" "chr17" 40937409 40937579 "-" 158 "uORF" 40937579 3 -1.16666666666667 "CAT"
"159" "ENST00000209718.8" "chr17" 40937450 40937542 "-" 159 "uORF" 40937542 3 -0.333333333333333 "CAT"
"160" "ENST00000209718.8" "chr17" 40936946 40937370 "-" 160 "uORF" 40937370 3 2 "CAT"
"161" "ENST00000209718.8" "chr17" 40936917 40936949 "-" 161 "uORF" 40936949 3 0 "CAT"
"162" "ENST00000209718.8" "chr17" 40936829 40936942 "-" 162 "uORF" 40936942 3 0.166666666666667 "CAT"
"163" "ENST00000209718.8" "chr17" 40936829 40936888 "-" 163 "uORF" 40936888 3 0 "CAT"
"164" "ENST00000209718.8" "chr17" 40936818 40936829 "-" 164 "uORF" 40936829 3 1.16666666666667 "CAT"
"165" "ENST00000209718.8" "chr17" 40936692 40936751 "-" 165 "uORF" 40936751 3 3.66666666666667 "CAT"
"177" "ENST00000212355.9" "chr1" 91885998 91886006 "-" 177 "uORF" 91886006 3 3.33333333333333 "CAT"
"178" "ENST00000215057.7" "chr19" 58573195 58573296 "-" 178 "uORF" 58573296 3 -0.333333333333333 "CAT"
"179" "ENST00000215057.7" "chr19" 58573195 58573266 "-" 179 "uORF" 58573266 3 0 "CAT"
"180" "ENST00000215057.7" "chr19" 58573236 58573244 "-" 180 "uORF" 58573244 3 0.166666666666667 "CAT"
"182" "ENST00000215742.9" "chr22" 21002082 21002096 "-" 182 "uORF" 21002096 3 2 "CAT"
"183" "ENST00000215742.9" "chr22" 21001930 21001956 "-" 183 "uORF" 21001956 3 -0.166666666666667 "CAT"
"186" "ENST00000215886.6" "chr22" 37579954 37580064 "-" 186 "uORF" 37580064 3 -0.666666666666667 "CAT"
"187" "ENST00000215886.6" "chr22" 37579954 37580001 "-" 187 "uORF" 37580001 3 1.66666666666667 "CAT"
"190" "ENST00000216085.12" "chr22" 29267809 29267898 "-" 190 "uORF" 29267898 3 0 "CAT"
"191" "ENST00000216085.12" "chr22" 29267801 29267845 "-" 191 "uORF" 29267845 3 0.333333333333333 "CAT"
"195" "ENST00000216133.10" "chr22" 39152545 39152622 "-" 195 "uORF" 39152622 3 1.83333333333333 "CAT"
"212" "ENST00000216445.8" "chr14" 57493837 57493845 "-" 212 "uORF" 57493845 3 0.333333333333333 "CAT"
"213" "ENST00000216445.8" "chr14" 57493817 57493840 "-" 213 "uORF" 57493840 3 0 "CAT"
"214" "ENST00000216445.8" "chr14" 57493817 57493831 "-" 214 "uORF" 57493831 3 -0.5 "CAT"
"215" "ENST00000216445.8" "chr14" 57493788 57493796 "-" 215 "uORF" 57493796 3 -0.5 "CAT"
"216" "ENST00000216445.8" "chr14" 57493717 57493731 "-" 216 "uORF" 57493731 3 -0.166666666666667 "CAT"
"218" "ENST00000216513.5" "chr14" 60724270 60724341 "-" 218 "uORF" 60724341 3 2.83333333333333 "CAT"
"219" "ENST00000216513.5" "chr14" 60724142 60724258 "-" 219 "uORF" 60724258 3 4 "CAT"
"221" "ENST00000216733.8" "chr14" 23365078 23365101 "-" 221 "uORF" 23365101 3 1.33333333333333 "CAT"
"222" "ENST00000216840.11" "chr14" 24271551 24271577 "-" 222 "uORF" 24271577 3 -0.666666666666667 "CAT"
"223" "ENST00000216862.8" "chr20" 54173783 54173986 "-" 223 "uORF" 54173986 3 -1.5 "CAT"
"224" "ENST00000216862.8" "chr20" 54173783 54173791 "-" 224 "uORF" 54173791 3 -0.666666666666667 "CAT"
"225" "ENST00000217086.9" "chr20" 51802483 51802509 "-" 225 "uORF" 51802509 3 8.33333333333333 "CAT"
"228" "ENST00000217244.9" "chr20" 527952 528014 "-" 228 "uORF" 528014 3 0 "CAT"
"229" "ENST00000217244.9" "chr20" 527984 528004 "-" 229 "uORF" 528004 3 0.166666666666667 "CAT"
"231" "ENST00000217455.9" "chr20" 45857316 45857369 "-" 231 "uORF" 45857369 3 -1 "CAT"
"232" "ENST00000217893.10" "chr5" 69365750 69369490 "-" 232 "uORF" 69369490 3 3.66666666666667 "CAT"
"233" "ENST00000217893.10" "chr5" 69366512 69366526 "-" 233 "uORF" 69366526 3 3.16666666666667 "CAT"
"234" "ENST00000217939.7" "chrX" 3346584 3346610 "-" 234 "uORF" 3346610 3 1 "CAT"
"235" "ENST00000218006.3" "chrX" 109482033 109482065 "-" 235 "uORF" 109482065 3 1.33333333333333 "CAT"
"236" "ENST00000218006.3" "chrX" 109481967 109482008 "-" 236 "uORF" 109482008 3 1.33333333333333 "CAT"
"237" "ENST00000218006.3" "chrX" 109481928 109481966 "-" 237 "uORF" 109481966 3 -1 "CAT"
"238" "ENST00000218006.3" "chrX" 109481896 109481955 "-" 238 "uORF" 109481955 3 0.833333333333333 "CAT"
"239" "ENST00000218006.3" "chrX" 109481928 109481945 "-" 239 "uORF" 109481945 3 2.83333333333333 "CAT"
"240" "ENST00000218006.3" "chrX" 109481896 109481925 "-" 240 "uORF" 109481925 3 0.833333333333333 "CAT"
"241" "ENST00000218006.3" "chrX" 109481896 109481910 "-" 241 "uORF" 109481910 3 -0.166666666666667 "CAT"
"249" "ENST00000218176.4" "chrX" 48971088 48971570 "-" 249 "uORF" 48971570 3 0.5 "CAT"
"250" "ENST00000218176.4" "chrX" 48971332 48971553 "-" 250 "uORF" 48971553 3 0.166666666666667 "CAT"
"251" "ENST00000218176.4" "chrX" 48970858 48970917 "-" 251 "uORF" 48970917 3 0 "CAT"
"252" "ENST00000218176.4" "chrX" 48970878 48970892 "-" 252 "uORF" 48970892 3 -1.16666666666667 "CAT"
"253" "ENST00000218176.4" "chrX" 48970685 48970870 "-" 253 "uORF" 48970870 3 0 "CAT"
"254" "ENST00000218176.4" "chrX" 48970636 48970743 "-" 254 "uORF" 48970743 3 -0.333333333333333 "CAT"
"255" "ENST00000218176.4" "chrX" 48970426 48970518 "-" 255 "uORF" 48970518 3 -0.5 "CAT"
"256" "ENST00000218176.4" "chrX" 48970394 48970456 "-" 256 "uORF" 48970456 3 0.833333333333333 "CAT"
"260" "ENST00000219197.11" "chr16" 49281683 49281721 "-" 260 "uORF" 49281721 3 1.66666666666667 "CAT"
"262" "ENST00000219320.9" "chr16" 58684162 58684765 "-" 262 "uORF" 58684765 3 0.5 "CAT"
"263" "ENST00000219320.9" "chr16" 58684074 58684761 "-" 263 "uORF" 58684761 3 -0.833333333333333 "CAT"
"264" "ENST00000219320.9" "chr16" 58684074 58684169 "-" 264 "uORF" 58684169 3 -0.833333333333333 "CAT"
"265" "ENST00000219320.9" "chr16" 58680169 58680180 "-" 265 "uORF" 58680180 3 3 "CAT"
"266" "ENST00000219334.10" "chr16" 68372344 68372367 "-" 266 "uORF" 68372367 3 0.666666666666667 "CAT"
"267" "ENST00000219334.10" "chr16" 68372288 68372347 "-" 267 "uORF" 68372347 3 3 "CAT"
"273" "ENST00000219689.12" "chr16" 23149292 23149342 "-" 273 "uORF" 23149342 3 0.666666666666667 "CAT"
"274" "ENST00000219789.11" "chr16" 29862929 29863027 "-" 274 "uORF" 29863027 3 -0.833333333333333 "CAT"
"275" "ENST00000219789.11" "chr16" 29862929 29862949 "-" 275 "uORF" 29862949 3 0.333333333333333 "CAT"
"291" "ENST00000220597.4" "chr8" 81111742 81111765 "-" 291 "uORF" 81111765 3 0.5 "CAT"
"292" "ENST00000220597.4" "chr8" 80993265 80993288 "-" 292 "uORF" 80993288 3 4.33333333333333 "CAT"
"295" "ENST00000220931.11" "chr8" 101790863 101790946 "-" 295 "uORF" 101790946 3 3.83333333333333 "CAT"
"296" "ENST00000220931.11" "chr8" 101790885 101790896 "-" 296 "uORF" 101790896 3 6 "CAT"
"298" "ENST00000221315.10" "chr19" 52047017 52048824 "-" 298 "uORF" 52048824 3 -0.166666666666667 "CAT"
"299" "ENST00000221315.10" "chr19" 52046991 52047020 "-" 299 "uORF" 52047020 3 0.5 "CAT"
"300" "ENST00000221315.10" "chr19" 52046959 52046988 "-" 300 "uORF" 52046988 3 -0.166666666666667 "CAT"
"305" "ENST00000221665.5" "chr19" 55597900 55599495 "-" 305 "uORF" 55599495 3 0.5 "CAT"
"306" "ENST00000221730.8" "chr19" 15232286 15232297 "-" 306 "uORF" 15232297 3 -0.333333333333333 "CAT"
"310" "ENST00000222122.10" "chr19" 48637147 48637215 "-" 310 "uORF" 48637215 3 1 "CAT"
"311" "ENST00000222122.10" "chr19" 48637017 48637028 "-" 311 "uORF" 48637028 3 1.16666666666667 "CAT"
"328" "ENST00000222547.8" "chr7" 94004298 94004351 "-" 328 "uORF" 94004351 3 2.33333333333333 "CAT"
"337" "ENST00000222718.7" "chr7" 27102522 27102608 "-" 337 "uORF" 27102608 3 3.66666666666667 "CAT"
"338" "ENST00000222747.8" "chr7" 120857883 120857927 "-" 338 "uORF" 120857927 3 0.833333333333333 "CAT"
"339" "ENST00000222747.8" "chr7" 120856796 120857886 "-" 339 "uORF" 120857886 3 1.16666666666667 "CAT"
"340" "ENST00000222747.8" "chr7" 120856796 120856804 "-" 340 "uORF" 120856804 3 5 "CAT"
"342" "ENST00000222803.10" "chr7" 30026632 30026649 "-" 342 "uORF" 30026649 3 0.666666666666667 "CAT"
"343" "ENST00000222803.10" "chr7" 30026534 30026566 "-" 343 "uORF" 30026566 3 1.66666666666667 "CAT"
"344" "ENST00000222823.9" "chr7" 30478619 30478669 "-" 344 "uORF" 30478669 3 -1 "CAT"
"345" "ENST00000222823.9" "chr7" 30459208 30459999 "-" 345 "uORF" 30459999 3 -0.5 "CAT"
"346" "ENST00000222823.9" "chr7" 30459208 30459933 "-" 346 "uORF" 30459933 3 0.333333333333333 "CAT"
"347" "ENST00000222823.9" "chr7" 30459193 30459204 "-" 347 "uORF" 30459204 3 0.166666666666667 "CAT"
"348" "ENST00000222823.9" "chr7" 30459156 30459173 "-" 348 "uORF" 30459173 3 0.166666666666667 "CAT"
"349" "ENST00000222823.9" "chr7" 30459156 30459170 "-" 349 "uORF" 30459170 3 0.5 "CAT"
"353" "ENST00000223023.5" "chr7" 123748833 123748847 "-" 353 "uORF" 123748847 3 2.16666666666667 "CAT"
"363" "ENST00000223127.8" "chr7" 101217412 101217579 "-" 363 "uORF" 101217579 3 -0.666666666666667 "CAT"
"364" "ENST00000223129.8" "chr7" 7715206 7718556 "-" 364 "uORF" 7718556 3 0.166666666666667 "CAT"
"365" "ENST00000223129.8" "chr7" 7687238 7715200 "-" 365 "uORF" 7715200 3 0.666666666666667 "CAT"
"366" "ENST00000223129.8" "chr7" 7687270 7687284 "-" 366 "uORF" 7687284 3 -0.166666666666667 "CAT"
"367" "ENST00000223129.8" "chr7" 7687238 7687273 "-" 367 "uORF" 7687273 3 -0.166666666666667 "CAT"
"368" "ENST00000223129.8" "chr7" 7685938 7687241 "-" 368 "uORF" 7687241 3 -0.333333333333333 "CAT"
"369" "ENST00000223129.8" "chr7" 7685963 7687230 "-" 369 "uORF" 7687230 3 0.5 "CAT"
"370" "ENST00000223129.8" "chr7" 7685908 7685922 "-" 370 "uORF" 7685922 3 -0.333333333333333 "CAT"
"371" "ENST00000223129.8" "chr7" 7641149 7685850 "-" 371 "uORF" 7685850 3 0.333333333333333 "CAT"
"372" "ENST00000223129.8" "chr7" 7640852 7641076 "-" 372 "uORF" 7641076 3 -0.5 "CAT"
"373" "ENST00000223129.8" "chr7" 7640852 7640866 "-" 373 "uORF" 7640866 3 0 "CAT"
"374" "ENST00000223136.5" "chr7" 101245037 101245057 "-" 374 "uORF" 101245057 3 1.83333333333333 "CAT"
"376" "ENST00000223167.5" "chr7" 101629257 101629277 "-" 376 "uORF" 101629277 3 0 "CAT"
"377" "ENST00000223167.5" "chr7" 101629163 101629246 "-" 377 "uORF" 101629246 3 -1.33333333333333 "CAT"
"378" "ENST00000223167.5" "chr7" 101629167 101629217 "-" 378 "uORF" 101629217 3 0.5 "CAT"
"379" "ENST00000223167.5" "chr7" 101629163 101629210 "-" 379 "uORF" 101629210 3 -1 "CAT"
"380" "ENST00000223167.5" "chr7" 101629163 101629174 "-" 380 "uORF" 101629174 3 -0.166666666666667 "CAT"
"384" "ENST00000223428.9" "chr9" 96776127 96776159 "-" 384 "uORF" 96776159 3 -0.166666666666667 "CAT"
"385" "ENST00000223795.3" "chr9" 114930352 114930513 "-" 385 "uORF" 114930513 3 1.83333333333333 "CAT"
"386" "ENST00000223795.3" "chr9" 114930405 114930506 "-" 386 "uORF" 114930506 3 5 "CAT"
"387" "ENST00000223795.3" "chr9" 114930352 114930408 "-" 387 "uORF" 114930408 3 4.33333333333333 "CAT"
"388" "ENST00000223795.3" "chr9" 114930326 114930367 "-" 388 "uORF" 114930367 3 3.33333333333333 "CAT"
"389" "ENST00000223795.3" "chr9" 114930326 114930346 "-" 389 "uORF" 114930346 3 2.5 "CAT"
"390" "ENST00000224140.6" "chr9" 132354940 132354954 "-" 390 "uORF" 132354954 3 1.5 "CAT"
"391" "ENST00000224140.6" "chr9" 132353691 132353753 "-" 391 "uORF" 132353753 3 0.666666666666667 "CAT"
"392" "ENST00000224140.6" "chr9" 132353681 132353722 "-" 392 "uORF" 132353722 3 0.666666666666667 "CAT"
"393" "ENST00000224140.6" "chr9" 132353662 132353718 "-" 393 "uORF" 132353718 3 0.333333333333333 "CAT"
"394" "ENST00000224337.10" "chr10" 96271446 96271478 "-" 394 "uORF" 96271478 3 1.33333333333333 "CAT"
"397" "ENST00000225171.7" "chr10" 67838088 67838168 "-" 397 "uORF" 67838168 3 1.5 "CAT"
"398" "ENST00000225171.7" "chr10" 67838099 67838119 "-" 398 "uORF" 67838119 3 -0.166666666666667 "CAT"
"399" "ENST00000225171.7" "chr10" 67838099 67838110 "-" 399 "uORF" 67838110 3 -0.666666666666667 "CAT"
"400" "ENST00000225275.4" "chr17" 58280856 58280891 "-" 400 "uORF" 58280891 3 0.5 "CAT"
"401" "ENST00000225737.11" "chr17" 19977723 19977800 "-" 401 "uORF" 19977800 3 2.33333333333333 "CAT"
"402" "ENST00000225823.7" "chr17" 33292533 33292598 "-" 402 "uORF" 33292598 3 0.833333333333333 "CAT"
"403" "ENST00000225823.7" "chr17" 33292533 33292583 "-" 403 "uORF" 33292583 3 0.666666666666667 "CAT"
"404" "ENST00000225823.7" "chr17" 33292116 33292172 "-" 404 "uORF" 33292172 3 -0.166666666666667 "CAT"
"405" "ENST00000225873.9" "chr17" 35578116 35578136 "-" 405 "uORF" 35578136 3 -0.5 "CAT"
"406" "ENST00000225916.10" "chr17" 42121345 42121356 "-" 406 "uORF" 42121356 3 2.33333333333333 "CAT"
"407" "ENST00000225964.10" "chr17" 50201558 50201572 "-" 407 "uORF" 50201572 3 8.33333333333333 "CAT"
"408" "ENST00000225964.10" "chr17" 50201516 50201530 "-" 408 "uORF" 50201530 3 8.33333333333333 "CAT"
"418" "ENST00000226413.5" "chr4" 67754355 67754378 "-" 418 "uORF" 67754378 3 0.5 "CAT"
"422" "ENST00000226730.5" "chr4" 122456561 122456617 "-" 422 "uORF" 122456617 3 1.33333333333333 "CAT"
"423" "ENST00000226730.5" "chr4" 122456561 122456608 "-" 423 "uORF" 122456608 3 2.5 "CAT"
"424" "ENST00000226730.5" "chr4" 122456561 122456575 "-" 424 "uORF" 122456575 3 3 "CAT"
"429" "ENST00000227618.9" "chr11" 72111464 72111496 "-" 429 "uORF" 72111496 3 0.666666666666667 "CAT"
"432" "ENST00000227756.5" "chr11" 11621864 11621950 "-" 432 "uORF" 11621950 3 1.16666666666667 "CAT"
"458" "ENST00000228437.10" "chr12" 107760611 107761008 "-" 458 "uORF" 107761008 3 0.666666666666667 "CAT"
"459" "ENST00000228437.10" "chr12" 107760611 107760715 "-" 459 "uORF" 107760715 3 2.5 "CAT"
"460" "ENST00000228437.10" "chr12" 107760597 107760605 "-" 460 "uORF" 107760605 3 1.66666666666667 "CAT"
"461" "ENST00000228438.3" "chr12" 9869238 9869255 "-" 461 "uORF" 9869255 3 -0.333333333333333 "CAT"
"463" "ENST00000228515.6" "chr12" 51076617 51076640 "-" 463 "uORF" 51076640 3 3 "CAT"
"464" "ENST00000228567.7" "chr12" 33439800 33439814 "-" 464 "uORF" 33439814 3 -0.666666666666667 "CAT"
"465" "ENST00000228567.7" "chr12" 33439668 33439691 "-" 465 "uORF" 33439691 3 1.33333333333333 "CAT"
"466" "ENST00000228567.7" "chr12" 33439605 33439613 "-" 466 "uORF" 33439613 3 3 "CAT"
"467" "ENST00000228705.7" "chr12" 62935131 62935148 "-" 467 "uORF" 62935148 3 0.5 "CAT"
"468" "ENST00000228705.7" "chr12" 62934881 62934973 "-" 468 "uORF" 62934973 3 0.833333333333333 "CAT"
"469" "ENST00000228705.7" "chr12" 62934738 62934809 "-" 469 "uORF" 62934809 3 0.666666666666667 "CAT"
"472" "ENST00000228837.3" "chr12" 4445661 4445711 "-" 472 "uORF" 4445711 3 0.5 "CAT"
"473" "ENST00000228837.3" "chr12" 4445610 4445648 "-" 473 "uORF" 4445648 3 6 "CAT"
"474" "ENST00000228850.6" "chr12" 4648793 4648837 "-" 474 "uORF" 4648837 3 -1.66666666666667 "CAT"
"475" "ENST00000228850.6" "chr12" 4648771 4648830 "-" 475 "uORF" 4648830 3 0.166666666666667 "CAT"
"476" "ENST00000228850.6" "chr12" 4641973 4645172 "-" 476 "uORF" 4645172 3 1.5 "CAT"
"477" "ENST00000228850.6" "chr12" 4641973 4641990 "-" 477 "uORF" 4641990 3 4 "CAT"
"480" "ENST00000228936.6" "chr12" 14843453 14843497 "-" 480 "uORF" 14843497 3 0.333333333333333 "CAT"
"481" "ENST00000228936.6" "chr12" 14843172 14843207 "-" 481 "uORF" 14843207 3 0 "CAT"
"484" "ENST00000229238.5" "chr12" 6493209 6493238 "-" 484 "uORF" 6493238 3 1.33333333333333 "CAT"
"491" "ENST00000229390.8" "chr12" 120469706 120469720 "-" 491 "uORF" 120469720 3 1 "CAT"
"495" "ENST00000229955.4" "chr6" 96799785 96837353 "-" 495 "uORF" 96837353 3 3 "CAT"
"496" "ENST00000229955.4" "chr6" 96837269 96837325 "-" 496 "uORF" 96837325 3 -0.333333333333333 "CAT"
"497" "ENST00000229955.4" "chr6" 96799785 96837317 "-" 497 "uORF" 96837317 3 0.833333333333333 "CAT"
"498" "ENST00000229955.4" "chr6" 96799804 96799860 "-" 498 "uORF" 96799860 3 1.5 "CAT"
"499" "ENST00000229955.4" "chr6" 96799736 96799834 "-" 499 "uORF" 96799834 3 0.5 "CAT"
"500" "ENST00000229955.4" "chr6" 96799785 96799814 "-" 500 "uORF" 96799814 3 1.5 "CAT"
"501" "ENST00000229955.4" "chr6" 96799736 96799783 "-" 501 "uORF" 96799783 3 2.16666666666667 "CAT"
"502" "ENST00000230053.11" "chr6" 70956519 70956548 "-" 502 "uORF" 70956548 3 0.333333333333333 "CAT"
"511" "ENST00000230361.4" "chr6" 42194893 42194943 "-" 511 "uORF" 42194943 3 0 "CAT"
"512" "ENST00000230361.4" "chr6" 42194893 42194940 "-" 512 "uORF" 42194940 3 -0.166666666666667 "CAT"
"513" "ENST00000230381.7" "chr6" 42722412 42722474 "-" 513 "uORF" 42722474 3 3.66666666666667 "CAT"
"517" "ENST00000231021.9" "chr5" 27038548 27038580 "-" 517 "uORF" 27038580 3 0.833333333333333 "CAT"
"518" "ENST00000231021.9" "chr5" 27038559 27038576 "-" 518 "uORF" 27038576 3 0.833333333333333 "CAT"
"519" "ENST00000231121.3" "chr5" 154478044 154478058 "-" 519 "uORF" 154478058 3 2.83333333333333 "CAT"
"525" "ENST00000231357.7" "chr5" 1882848 1882859 "-" 525 "uORF" 1882859 3 -0.333333333333333 "CAT"
"526" "ENST00000231357.7" "chr5" 1882774 1882782 "-" 526 "uORF" 1882782 3 1 "CAT"
"527" "ENST00000231461.10" "chr5" 100903095 100903241 "-" 527 "uORF" 100903241 3 -0.166666666666667 "CAT"
"528" "ENST00000231484.4" "chr5" 141957989 141958036 "-" 528 "uORF" 141958036 3 0.166666666666667 "CAT"
"529" "ENST00000231484.4" "chr5" 141957989 141958030 "-" 529 "uORF" 141958030 3 1.5 "CAT"
